"supplier_name","account_name","service","total_value","privilege","trade_cat","service_category"
"ACORN RECOVERY PROJECTS","PH OTHER CONTRACTS","PUBLIC HEALTH","5790","Health","85100000","health"
"BARNARDOS","PH BUSINESS CASES","PUBLIC HEALTH","5516","Health","85300000","health"
"EARLY BREAK","ACTIVITIES","PUBLIC HEALTH","53913","Material","44221000","health"
"EARLY BREAK","ACTIVITIES","PUBLIC HEALTH","49502","Social","98000000","health"
"EARLY BREAK","ACTIVITIES","PUBLIC HEALTH","49502","Social","98000000","health"
"OFFICE DEPOT UK LIMITED","ACTIVITIES","PUBLIC HEALTH","6720","Legal","79800000","health"
"SAFENET DOMESTIC ABUSE SERVICE","PH OTHER CONTRACTS","PUBLIC HEALTH","17867.9","Health","85000000","health"
"SAFENET DOMESTIC ABUSE SERVICE","PH OTHER CONTRACTS","PUBLIC HEALTH","17867.9","Health","85000000","health"
"SAFENET DOMESTIC ABUSE SERVICE","PH OTHER CONTRACTS","PUBLIC HEALTH","17867.9","Health","85000000","health"
"SAFENET DOMESTIC ABUSE SERVICE","PH OTHER CONTRACTS","PUBLIC HEALTH","17867.9","Health","85000000","health"
"SAFENET DOMESTIC ABUSE SERVICE","PH OTHER CONTRACTS","PUBLIC HEALTH","17867.9","Health","85000000","health"
"SAFENET DOMESTIC ABUSE SERVICE","PH OTHER CONTRACTS","PUBLIC HEALTH","17867.9","Health","85000000","health"
"SAFENET DOMESTIC ABUSE SERVICE","PH OTHER CONTRACTS","PUBLIC HEALTH","17867.9","Health","85000000","health"
"SAFENET DOMESTIC ABUSE SERVICE","PH OTHER CONTRACTS","PUBLIC HEALTH","17867.9","Health","85000000","health"
"SAFENET DOMESTIC ABUSE SERVICE","PH OTHER CONTRACTS","PUBLIC HEALTH","17867.9","Health","85000000","health"
"SAFENET DOMESTIC ABUSE SERVICE","PH OTHER CONTRACTS","PUBLIC HEALTH","17133.1","Health","85000000","health"
"SAFENET DOMESTIC ABUSE SERVICE","PH OTHER CONTRACTS","PUBLIC HEALTH","17133.1","Health","85000000","health"
"SAFENET DOMESTIC ABUSE SERVICE","PH OTHER CONTRACTS","PUBLIC HEALTH","15663.5","Health","85000000","health"
"SAFENET DOMESTIC ABUSE SERVICE","PH OTHER CONTRACTS","PUBLIC HEALTH","17133.1","Health","85000000","health"
"SAFENET DOMESTIC ABUSE SERVICE","PH OTHER CONTRACTS","PUBLIC HEALTH","17133.1","Health","85000000","health"
"SAFENET DOMESTIC ABUSE SERVICE","PH OTHER CONTRACTS","PUBLIC HEALTH","17133.1","Health","85000000","health"
"SAFENET DOMESTIC ABUSE SERVICE","PH OTHER CONTRACTS","PUBLIC HEALTH","17133.1","Health","85000000","health"
