Supplier [Name,CpvCodes,,,,,,,,,,,,,,,,
[Vodafone Limited,32412100,,,,,,,,,,,,,,,,
[DWF LLP,79100000,,,,,,,,,,,,,,,,
[Kenyons,79000000,,,,,,,,,,,,,,,,
[Morgan Sindall,38551000,,,,,,,,,,,,,,,,
"[METROBUS LIMITED ,",60112000,,,,,,,,,,,,,,,,
[ACUME,75231100,,,,,,,,,,,,,,,,
[Sodexo Motivation Solutions Ltd,66172000,,,,,,,,,,,,,,,,
[European Electronique,72222300,,,,,,,,,,,,,,,,
[Hobson & Porter Ltd,45210000,45216125,,,,,,,,,,,,,,,
[Wilmott Dixon Housing Ltd,45000000,,,,,,,,,,,,,,,,
[Aldenmat Ltd (t/a Hockley Medical Practice Pharmacy),85323000,,,,,,,,,,,,,,,,
[AI Recruitment Technologies Limited,48100000,,,,,,,,,,,,,,,,
[Brass Age Limited t/a BA Systems Limited,71310000,,,,,,,,,,,,,,,,
[Unit 4 Business software Limited,72000000,,,,,,,,,,,,,,,,
[TAYLOR FRENCH DEVELOPMENTS LIMITED,70333000,,,,,,,,,,,,,,,,
[CORPORATE TRAVEL MANAGEMENT (NORTH) LIMITED,55110000,63516000,,,,,,,,,,,,,,,
[Colas Limited,45000000,,,,,,,,,,,,,,,,
[Mercer Tree Services Ltd,3000000,77000000,,,,,,,,,,,,,,,
[Maid Marrisons Ltd,45261320,,,,,,,,,,,,,,,,
[Broadoak Properties,45000000,,,,,,,,,,,,,,,,
[TUNSTALL HEALTHCARE UK,45215100,,,,,,,,,,,,,,,,
[Enviromental Essentials,90650000,,,,,,,,,,,,,,,,
[MARIE STOPES INTERNATIONAL,75211200,,,,,,,,,,,,,,,,
[Crown Cars (Derby) Ltd,60000000,,,,,,,,,,,,,,,,
[Naweed Razaq,60000000,,,,,,,,,,,,,,,,
[Sajad Hussain,60000000,,,,,,,,,,,,,,,,
[Sajad Hussain,60000000,,,,,,,,,,,,,,,,
[Swift Cabs Midland Ltd,60000000,,,,,,,,,,,,,,,,
[Lower Grove Guest House,55110000,,,,,,,,,,,,,,,,
[The Public Sector leaflet Company,22000000,79800000,,,,,,,,,,,,,,,
[Agilent Technologies LDA UK Ltd,50000000,,,,,,,,,,,,,,,,
[Swift Cabs Midland Ltd,60000000,,,,,,,,,,,,,,,,
[Swift Cabs Midland Ltd,60000000,,,,,,,,,,,,,,,,
[Tarmac Trading Limited,45200000,,,,,,,,,,,,,,,,
[Aebi Schmidt UK Ltd,34000000,50000000,50230000,50232000,50232100,50232110,45316110,,,,,,,,,,
[C R Reynolds Ltd,45000000,,,,,,,,,,,,,,,,
[Association of Directors of Adult Social Services,72221000,,,,,,,,,,,,,,,,
[INSIGHT DIRECT (UK) LTD,72000000,,,,,,,,,,,,,,,,
[Henderson's Insurance Brokers Ltd,66518100,,,,,,,,,,,,,,,,
[NACD Ltd,71310000,,,,,,,,,,,,,,,,
[Basic Concept Architectural Services,45000000,,,,,,,,,,,,,,,,
[Impulse Engineering Ltd,34998000,,,,,,,,,,,,,,,,
[Ernst & Young LLP,73000000,,,,,,,,,,,,,,,,
[PricewaterhouseCoopers Private Limited,73000000,,,,,,,,,,,,,,,,
[KPMG in India (KPMG Advisory Services),73000000,,,,,,,,,,,,,,,,
[Visick Cars Ltd,60120000,,,,,,,,,,,,,,,,
[Air Charter Services Plc,75211200,,,,,,,,,,,,,,,,
[Neopost Limited,79999100,,,,,,,,,,,,,,,,
[Green Park Interim and Executive Ltd.,79000000,,,,,,,,,,,,,,,,
[AFFINITY TRUST,85312400,,,,,,,,,,,,,,,,
[Chemostrat Ltd,73111000,,,,,,,,,,,,,,,,
[Richard Soan Roofing Services,45210000,,,,,,,,,,,,,,,,
[LGC Ltd,72222300,,,,,,,,,,,,,,,,
[P&R Building Contractors Ltd.,45210000,,,,,,,,,,,,,,,,
[NPS PROPERTY CONSULTANTS LIMITED,71315200,,,,,,,,,,,,,,,,
[ESH CONSTRUCTION LIMITED,45213312,,,,,,,,,,,,,,,,
[NEO PROPERTY SOLUTIONS LIMITED,35110000,45300000,,,,,,,,,,,,,,,
[UCL CONSULTANTS LIMITED,73000000,,,,,,,,,,,,,,,,
[abandoned,45233000,,,,,,,,,,,,,,,,
[VENN GROUP LIMITED,79620000,,,,,,,,,,,,,,,,
[SITEL UK LIMITED,79000000,,,,,,,,,,,,,,,,
[DODS PARLIAMENTARY COMMUNICATIONS LIMITED,79950000,,,,,,,,,,,,,,,,
[Dor-2-Dor,22000000,,,,,,,,,,,,,,,,
[Tessa Hunkin,71200000,,,,,,,,,,,,,,,,
[Heritage Solution,73110000,,,,,,,,,,,,,,,,
[Alun Griffiths (Contractors) Ltd.,45233100,,,,,,,,,,,,,,,,
[EOS Web Enterprise Cloud Subscription,72000000,,,,,,,,,,,,,,,,
[PARITY PROFESSIONALS LIMITED,80511000,,,,,,,,,,,,,,,,
[SENATOR INTERNATIONAL LIMITED,39130000,,,,,,,,,,,,,,,,
[CBES Limited,45000000,,,,,,,,,,,,,,,,
[APS GROUP LIMITED,30195910,,,,,,,,,,,,,,,,
[ECORYS UK LIMITED,75211200,,,,,,,,,,,,,,,,
[IPE GLOBAL PRIVATE LIMITED,75211200,,,,,,,,,,,,,,,,
[B & F Mechanical Services Ltd,45232141,,,,,,,,,,,,,,,,
[HEM DES LLP,79413000,79415200,,,,,,,,,,,,,,,
[Agent Marketing,72000000,,,,,,,,,,,,,,,,
[J Cheesmur & Sons (Lewes) Ltd t/a Cheesmur Building Contract,45212000,45215221,71223000,45212230,45215500,45262800,45330000,,,,,,,,,,
[Adam HTT Ltd,60120000,,,,,,,,,,,,,,,,
[Waller Associates Limited,45260000,,,,,,,,,,,,,,,,
[Arup,73000000,,,,,,,,,,,,,,,,
[ALLEN LANE LIMITED,79600000,,,,,,,,,,,,,,,,
[NHS Digital,48000000,,,,,,,,,,,,,,,,
[University Of Warwick,73000000,,,,,,,,,,,,,,,,
[ILX GROUP PLC,80400000,,,,,,,,,,,,,,,,
[AHR Architects Ltd,79000000,79400000,79410000,,,,,,,,,,,,,,
[Renault UK Limited,34136000,,,,,,,,,,,,,,,,
[GM Coachworks,34114400,,,,,,,,,,,,,,,,
[Clad,18100000,,,,,,,,,,,,,,,,
[Aspens Services Ltd,55524000,,,,,,,,,,,,,,,,
[ARKENFORD LIMITED,73110000,,,,,,,,,,,,,,,,
[Institute Of Fiscal Studies,79315000,,,,,,,,,,,,,,,,
[FLEXIFORM BUSINESS FURNITURE LIMITED,39000000,,,,,,,,,,,,,,,,
[KONICA MINOLTA BUSINESS SOLUTIONS (UK) LIMITED,30000000,,,,,,,,,,,,,,,,
[Sure Maintenance Limited,50531200,,,,,,,,,,,,,,,,
[Leaseplan UK Limited,50111100,,,,,,,,,,,,,,,,
[Saint John of God Hospitaller Services,85000000,,,,,,,,,,,,,,,,
[Young Persons Advisory Service,98000000,,,,,,,,,,,,,,,,
[Meeting Place Communications,71310000,,,,,,,,,,,,,,,,
[DELOITTE LLP,79212000,79410000,,,,,,,,,,,,,,,
[Refuse Vehicle Solutions Ltd,34144510,,,,,,,,,,,,,,,,
[Reliance High Tech Limited,71317200,,,,,,,,,,,,,,,,
[Softcat plc,48000000,,,,,,,,,,,,,,,,
[Pendergate Limited t/a Ridge Crest Cleaning Services,98341130,,,,,,,,,,,,,,,,
[BVSC,85311000,75200000,85311100,98000000,85320000,85300000,85310000,85312400,85311300,,,,,,,,
[Brakes,15000000,,,,,,,,,,,,,,,,
[Turner and Townsend Cost Management Ltd,71324000,,,,,,,,,,,,,,,,
[Turner and Townsend Project Management Ltd,72224000,,,,,,,,,,,,,,,,
[HFL Building Solutions Limited,50531200,,,,,,,,,,,,,,,,
[LaserLife,50310000,,,,,,,,,,,,,,,,
[Factory Settings Ltd,45212313,92521100,92521000,,,,,,,,,,,,,,
[Envitia,90700000,,,,,,,,,,,,,,,,
[Price Waterhouse Coopers Llp,79212200,,,,,,,,,,,,,,,,
[Please refer to attachments section for list of successfully awa,30160000,48812000,66000000,72212440,75200000,75300000,79211120,79211200,79411100,79412000,,,,,,,
[Norfolk County Council,73000000,,,,,,,,,,,,,,,,
[,72000000,,,,,,,,,,,,,,,,
[Yorkshire Dales Rivers Trust,73000000,,,,,,,,,,,,,,,,
[Kent Wildlife Trust,73000000,,,,,,,,,,,,,,,,
[,72000000,,,,,,,,,,,,,,,,
[Kent Wildlife Trust,73000000,,,,,,,,,,,,,,,,
[Taziker Industrial Ltd,71530000,,,,,,,,,,,,,,,,
[Cale Briparc Ltd,50000000,,,,,,,,,,,,,,,,
[Various Contractors currently on Aster Livings preferred Contrac,33000000,,,,,,,,,,,,,,,,
[Mistras Group Ltd,71312000,,,,,,,,,,,,,,,,
[Silverfish,32354500,92111250,,,,,,,,,,,,,,,
[HOLOGIC (UK) LTD,33100000,,,,,,,,,,,,,,,,
[,72000000,,,,,,,,,,,,,,,,
[LEICA MICROSYSTEMS (UK) LIMITED,33100000,,,,,,,,,,,,,,,,
