supplier_name,value,department,service_description,PRIVILEGE,trade_cat,,
British Telecommunications Plc,9000,Financial Services,Telephones : Central,Utility,64200000,,
BROXAP LIMITED,5424.52,Parks & Recreation Services,Grounds : R & M : Day to Day : Routine,Material Handling,45233293,,
BUSINESS IN THE COMMUNITY,5000,Economic Development & Tourism,Miscellaneous,Education,80000000,,
Civica Uk Limited,15300,Financial Services,Capital,Data,72000000,,
Civica UK Limited,15510,Financial Services,Capital,Data,72000000,,
Civica UK Limited,21600,Information Services,Capital,Data,48000000,,
CIVICA UK LIMITED,5760,Information Services,Computer Charges,Data,48000000,,
Civica UK Ltd,9300,Information Services,Computer Charges,Data,48000000,,
Civica UK Ltd,12960,Information Services,Computer Charges,Data,48000000,,
CRAEMER UK LIMITED,6080,Operational Services,Capital,Transport,34928480,,
CRAEMER UK LIMITED,6080,Operational Services,Capital,Transport,34928480,,
CRAEMER UK LIMITED,37500,Operational Services,Capital,Transport,34928480,,
CRAEMER UK LIMITED,31000,Operational Services,Capital,Transport,34928480,,
Craemer UK Limited,9120,Operational Services,Capital,Transport,34928480,,
CRAEMER UK LIMITED,5950,Operational Services,Capital,Transport,34928480,,
CRAEMER UK LIMITED,11934,Operational Services,Capital,Transport,34928480,,
CRAEMER UK LIMITED,9180,Operational Services,Capital,Transport,34928480,,
CRAEMER UK LIMITED,11400,Operational Services,Capital,Transport,34928480,,
CRAEMER UK LIMITED,7750,Operational Services,Capital,Transport,34928480,,
Craemer UK Limited,10850,Operational Services,Capital,Transport,34928480,,
CRAEMER UK LIMITED,9960,Operational Services,Capital,Transport,34928480,,
CRAEMER UK LIMITED,6642,Operational Services,Capital,Transport,34928480,,
Gibsons Garden Machinery Ltd,28654,Parks & Recreation Services,Capital,Transport,34113000,,
Gibsons Garden Machinery Ltd,17805,Parks & Recreation Services,Capital,Transport,34113000,,
Go Plant Fleet Services Limited,9840,Operational Services,Tprt : Annual Hire Charge,Equipment,50100000,,
Landscape Engineering Ltd,11465.3,Property Services,Capital,Material Handling,45000000,,
Landscape Engineering Ltd,6855,Property Services,Bldgs : R & M : Day To Day,Material Handling,45000000,,
Landscape Engineering Ltd,14900,Parks & Recreation Services,Grounds : R & M : Day to Day : Routine,Material Handling,45000000,,
Landscape Engineering Ltd,14900,Parks & Recreation Services,Grounds : R & M : Day to Day : Routine,Material Handling,45000000,,
LINK TREASURY SERVICES LIMITED,5850,Financial Services,Seminars etc All Costs,Insurance,66000000,,
Local Government Association,8904,Financial Services,Subscriptions & Donations,Administration,75131000,,
Locata Housing Services Limited,5000,Housing Regeneration Services,Computer Charges,Data,48517000,,
MGB Plastics Limited,6000,Operational Services,Capital,Transport,34928480,,
MGB Plastics Limited,32100,Operational Services,Capital,Transport,34928480,,
MGB Plastics Limited,249900,Operational Services,Capital,Transport,34928480,,
MGB Plastics Limited,29400,Operational Services,Other Expenses,Transport,34928480,,
MGB Plastics Limited,8940,Operational Services,Capital,Transport,34928480,,
MGB Plastics Limited,6240,Parks & Recreation Services,Capital,Transport,34928480,,
MGB Plastics Limited,16400,Operational Services,Capital,Transport,34928480,,
MGB Plastics Limited,6720,Operational Services,Capital,Transport,34928480,,
NORTHGATE PUBLIC SERVICES (UK) LIMITED,7231.8,Information Services,Computer Charges,Data,30238000,,
Northgate Public Services (UK) Ltd,47359.3,Information Services,Other Expenses,Data,48000000,,
Northgate Public Services (UK) Ltd,6275.55,Information Services,Computer Charges,Data,48000000,,
Northgate Public Services UK Ltd,47359.3,Information Services,Other Expenses,Data,48000000,,
Northgate Public Services UK Ltd,6275.55,Information Services,Computer Charges,Data,48000000,,
Softcat,6599.4,Information Services,Computers,Data,30000000,,
Softcat,23771.4,Information Services,Computer Charges,Data,30000000,,
Softcat,8376.46,Information Services,Capital,Data,30000000,,
Softcat,6123.06,Information Services,Capital,Data,30000000,,
Softcat,8376.46,Information Services,Capital,Data,30000000,,
Softcat,5649,Information Services,Computer Charges,Data,30000000,,
Softcat,5847.92,Information Services,Computer Charges,Data,30000000,,
STORM TECHNOLOGIES LIMITED,5525.52,Information Services,Capital,Data,30000000,,
STORM TECHNOLOGIES LIMITED,6576.6,Information Services,Capital,Data,30000000,,
STORM TECHNOLOGIES LIMITED,6999.9,Information Services,Computer Charges,Data,30000000,,
STORM TECHNOLOGIES LIMITED,13999.8,Information Services,Computer Charges,Data,30000000,,
STORM TECHNOLOGIES LIMITED,6199.9,Information Services,Computer Charges,Data,30000000,,
STORM TECHNOLOGIES LIMITED,20999.7,Information Services,Computer Charges,Data,30000000,,
Xpress Software Solutions Ltd,8490.16,Information Services,Computer Charges,Data,48000000,,
Xpress Software Solutions Ltd,8490.16,Information Services,Computer Charges,Data,48000000,,
