"supplier_name","account_name","service","order_date","total_value","cpv_codes"
"ACORN RECOVERY PROJECTS","PH OTHER CONTRACTS","PUBLIC HEALTH","2019-09-26","5790","85100000 85121200 85121270 |98000000 |85144000 |98000000 |85000000 |85000000 "
"ACORN RECOVERY PROJECTS","CONTRACTED SERVICES","CUSTOMERS & CORPORATE SERVICES","2015-06-23","8910","85100000 85121200 85121270 |98000000 |85144000 |98000000 |85000000 |85000000 "
"ADDLESHAW GODDARD LLP","PROFESSIONAL FEES","CUSTOMERS & CORPORATE SERVICES","2015-06-03","20407.5","79100000 |79100000 |79100000 |79100000 |79100000 |79100000 |79100000 |79111000 |79100000 |79100000 |79110000 |79100000 |79100000 |71318000 71240000 71250000 71311000 71313000 71631000 71330000 71317000 75100000 90713000 90712000 79210000 79631000 45246000 79418000 50500000 |79100000 |79100000 |79100000 |79000000 |79111000 |79110000 "
"AEBI SCHMIDT UK LIMITED","PURCHASE OF VEHICLES","ECONOMY AND ENVIRONMENT","2014-11-18","422114","34144430 |34144440 |34921100 |42000000 |34921100 |34921100 |34921100 |34921100 |34144430 |34921100 |34921100 |34144440 |34921100 |34921100 |34921100 |34144430 |34144400 34144430 |34921100 |50117000 34210000 "
"AECOM LIMITED","ROADWORKS","ECONOMY DIRECTORATE","2019-01-15","16684","71352100 |71356000 |71314200 71314300 |71200000 71300000 71500000 71800000 90000000 |45000000 71000000 |71310000 |71313400 71313430 71313450 71313420 |71000000 71200000 71500000 71400000 70000000 71300000 |72224000 |72224000 |72224000 |66122000 |71000000 79000000 98000000 |72224000 |71000000 73000000 71311000 |71240000 |71530000 |71244000 |71410000 |73000000 |45000000 |71310000 |90712000 |71314000 |71311300 |71311000 |70000000 71000000 79300000 90710000 45112450 63712700 |71530000 |71000000 |60000000 71410000 |73110000 |71310000 |71000000 |79410000 |98000000 71300000 |71352100 |71352100 |71352100 |71240000 |71240000 |71240000 |71240000 |71311300 71410000 71530000 |71356000 79415200 |73000000 |71310000 |71320000 |73000000 |71000000 |71311000 |71000000 71315000 71312000 71311000 71315200 71315210 |70000000 71000000 79300000 90710000 45112450 63712700 |71000000 |71315200 |71530000 |48100000 |71324000 |73000000 |90713000 |71300000 71313410 71631000 71340000 90711200 71311100 71311210 71313400 71319000 71315200 90"
"AECOM LIMITED","MINOR BUILDING WORKS","PROPERTY AND HIGHWAYS","2019-02-08","128897","71352100 |71356000 |71314200 71314300 |71200000 71300000 71500000 71800000 90000000 |45000000 71000000 |71310000 |71313400 71313430 71313450 71313420 |71000000 71200000 71500000 71400000 70000000 71300000 |72224000 |72224000 |72224000 |66122000 |71000000 79000000 98000000 |72224000 |71000000 73000000 71311000 |71240000 |71530000 |71244000 |71410000 |73000000 |45000000 |71310000 |90712000 |71314000 |71311300 |71311000 |70000000 71000000 79300000 90710000 45112450 63712700 |71530000 |71000000 |60000000 71410000 |73110000 |71310000 |71000000 |79410000 |98000000 71300000 |71352100 |71352100 |71352100 |71240000 |71240000 |71240000 |71240000 |71311300 71410000 71530000 |71356000 79415200 |73000000 |71310000 |71320000 |73000000 |71000000 |71311000 |71000000 71315000 71312000 71311000 71315200 71315210 |70000000 71000000 79300000 90710000 45112450 63712700 |71000000 |71315200 |71530000 |48100000 |71324000 |73000000 |90713000 |71300000 71313410 71631000 71340000 90711200 71311100 71311210 71313400 71319000 71315200 90"
"AECOM LIMITED","MINOR BUILDING WORKS","PROPERTY AND HIGHWAYS","2019-02-18","27120","71352100 |71356000 |71314200 71314300 |71200000 71300000 71500000 71800000 90000000 |45000000 71000000 |71310000 |71313400 71313430 71313450 71313420 |71000000 71200000 71500000 71400000 70000000 71300000 |72224000 |72224000 |72224000 |66122000 |71000000 79000000 98000000 |72224000 |71000000 73000000 71311000 |71240000 |71530000 |71244000 |71410000 |73000000 |45000000 |71310000 |90712000 |71314000 |71311300 |71311000 |70000000 71000000 79300000 90710000 45112450 63712700 |71530000 |71000000 |60000000 71410000 |73110000 |71310000 |71000000 |79410000 |98000000 71300000 |71352100 |71352100 |71352100 |71240000 |71240000 |71240000 |71240000 |71311300 71410000 71530000 |71356000 79415200 |73000000 |71310000 |71320000 |73000000 |71000000 |71311000 |71000000 71315000 71312000 71311000 71315200 71315210 |70000000 71000000 79300000 90710000 45112450 63712700 |71000000 |71315200 |71530000 |48100000 |71324000 |73000000 |90713000 |71300000 71313410 71631000 71340000 90711200 71311100 71311210 71313400 71319000 71315200 90"
"AECOM LIMITED","MINOR BUILDING WORKS","PROPERTY AND HIGHWAYS","2019-02-19","23000","71352100 |71356000 |71314200 71314300 |71200000 71300000 71500000 71800000 90000000 |45000000 71000000 |71310000 |71313400 71313430 71313450 71313420 |71000000 71200000 71500000 71400000 70000000 71300000 |72224000 |72224000 |72224000 |66122000 |71000000 79000000 98000000 |72224000 |71000000 73000000 71311000 |71240000 |71530000 |71244000 |71410000 |73000000 |45000000 |71310000 |90712000 |71314000 |71311300 |71311000 |70000000 71000000 79300000 90710000 45112450 63712700 |71530000 |71000000 |60000000 71410000 |73110000 |71310000 |71000000 |79410000 |98000000 71300000 |71352100 |71352100 |71352100 |71240000 |71240000 |71240000 |71240000 |71311300 71410000 71530000 |71356000 79415200 |73000000 |71310000 |71320000 |73000000 |71000000 |71311000 |71000000 71315000 71312000 71311000 71315200 71315210 |70000000 71000000 79300000 90710000 45112450 63712700 |71000000 |71315200 |71530000 |48100000 |71324000 |73000000 |90713000 |71300000 71313410 71631000 71340000 90711200 71311100 71311210 71313400 71319000 71315200 90"
"AECOM LIMITED","ROADWORKS","PROPERTY AND HIGHWAYS","2019-07-16","20000","71352100 |71356000 |71314200 71314300 |71200000 71300000 71500000 71800000 90000000 |45000000 71000000 |71310000 |71313400 71313430 71313450 71313420 |71000000 71200000 71500000 71400000 70000000 71300000 |72224000 |72224000 |72224000 |66122000 |71000000 79000000 98000000 |72224000 |71000000 73000000 71311000 |71240000 |71530000 |71244000 |71410000 |73000000 |45000000 |71310000 |90712000 |71314000 |71311300 |71311000 |70000000 71000000 79300000 90710000 45112450 63712700 |71530000 |71000000 |60000000 71410000 |73110000 |71310000 |71000000 |79410000 |98000000 71300000 |71352100 |71352100 |71352100 |71240000 |71240000 |71240000 |71240000 |71311300 71410000 71530000 |71356000 79415200 |73000000 |71310000 |71320000 |73000000 |71000000 |71311000 |71000000 71315000 71312000 71311000 71315200 71315210 |70000000 71000000 79300000 90710000 45112450 63712700 |71000000 |71315200 |71530000 |48100000 |71324000 |73000000 |90713000 |71300000 71313410 71631000 71340000 90711200 71311100 71311210 71313400 71319000 71315200 90"
"AECOM LIMITED","ROADWORKS","PROPERTY AND HIGHWAYS","2019-08-02","40500","71352100 |71356000 |71314200 71314300 |71200000 71300000 71500000 71800000 90000000 |45000000 71000000 |71310000 |71313400 71313430 71313450 71313420 |71000000 71200000 71500000 71400000 70000000 71300000 |72224000 |72224000 |72224000 |66122000 |71000000 79000000 98000000 |72224000 |71000000 73000000 71311000 |71240000 |71530000 |71244000 |71410000 |73000000 |45000000 |71310000 |90712000 |71314000 |71311300 |71311000 |70000000 71000000 79300000 90710000 45112450 63712700 |71530000 |71000000 |60000000 71410000 |73110000 |71310000 |71000000 |79410000 |98000000 71300000 |71352100 |71352100 |71352100 |71240000 |71240000 |71240000 |71240000 |71311300 71410000 71530000 |71356000 79415200 |73000000 |71310000 |71320000 |73000000 |71000000 |71311000 |71000000 71315000 71312000 71311000 71315200 71315210 |70000000 71000000 79300000 90710000 45112450 63712700 |71000000 |71315200 |71530000 |48100000 |71324000 |73000000 |90713000 |71300000 71313410 71631000 71340000 90711200 71311100 71311210 71313400 71319000 71315200 90"
