supplier_name,account_name,service,total_value,Privilege,trade_cat
ACORN RECOVERY PROJECTS,PH OTHER CONTRACTS,PUBLIC HEALTH,5790,Health,85100000
ADDLESHAW GODDARD LLP,PROFESSIONAL FEES,CUSTOMERS & CORPORATE SERVICES,20407.5,Legal,79100000
AECOM LIMITED,ROADWORKS,ECONOMY DIRECTORATE,16684,Buildings,71314200
AECOM LIMITED,MINOR BUILDING WORKS,PROPERTY AND HIGHWAYS,128897,Buildings,71352100
AECOM LIMITED,MINOR BUILDING WORKS,PROPERTY AND HIGHWAYS,27120,Buildings,71352100
AECOM LIMITED,MINOR BUILDING WORKS,PROPERTY AND HIGHWAYS,23000,Buildings,71352100
AECOM LIMITED,ROADWORKS,PROPERTY AND HIGHWAYS,20000,Buildings,71314200
AECOM LIMITED,ROADWORKS,PROPERTY AND HIGHWAYS,40500,Buildings,71314200
AECOM LIMITED,ROADWORKS,PROPERTY AND HIGHWAYS,20000,Buildings,71314200
AECOM LIMITED,MINOR BUILDING WORKS,PROPERTY AND HIGHWAYS,32850,Buildings,71314200
AECOM LIMITED,ROADWORKS,PROPERTY AND HIGHWAYS,42283,Buildings,71314200
AECOM LIMITED,MINOR BUILDING WORKS,PROPERTY AND HIGHWAYS,5489,Buildings,71356000
AECOM LIMITED,MINOR BUILDING WORKS,PROPERTY AND HIGHWAYS,39635,Buildings,71314200
AFTER ADOPTION,ADOPTION PAYMENTS,CHILDREN’S SOCIAL CARE,14333,Health,85311300
AFTER ADOPTION,ADOPTION PAYMENTS,CHILDREN’S SOCIAL CARE,28667,Health,85311300
AFTER ADOPTION,ACTIVITIES,CHILDREN’S SOCIAL CARE,7817.62,Health,85311300
AFTER ADOPTION,SUBSIDISED ADOPTERS PMTS,CHILDREN’S SOCIAL CARE,14333,Health,85000000
AGILISYS LIMITED,AGILISYS CONTRACT,NEIGHBOURHOODS AND ENVIRONMENT,47353,Data,48000000
AGILISYS LIMITED,AGILISYS CONTRACT,NEIGHBOURHOODS AND ENVIRONMENT,586343,Data,48000000
AGILISYS LIMITED,AGILISYS CONTRACT,NEIGHBOURHOODS AND ENVIRONMENT,586343,Data,48000000
AGILISYS LIMITED,AGILISYS CONTRACT,NEIGHBOURHOODS AND ENVIRONMENT,12953.5,Data,72000000
AGILISYS LIMITED,AGILISYS CONTRACT,NEIGHBOURHOODS AND ENVIRONMENT,10457,Data,72000000
AGILISYS LIMITED,AGILISYS CONTRACT,NEIGHBOURHOODS AND ENVIRONMENT,47353,Data,72000000
AGILISYS LIMITED,AGILISYS CONTRACT,NEIGHBOURHOODS AND ENVIRONMENT,586343,Data,72000000
AGILISYS LIMITED,AGILISYS CONTRACT,NEIGHBOURHOODS AND ENVIRONMENT,7322,Data,72000000
AGILISYS LIMITED,AGILISYS CONTRACT,NEIGHBOURHOODS AND ENVIRONMENT,586343,Data,72000000
AGILISYS LIMITED,PRINTING & STATIONERY,FINANCE SERVICES,7000,Insurance,66171000
AGILISYS LIMITED,SOFTWARE,FINANCE SERVICES,14850,Insurance,66171000
AGILISYS LIMITED,AGILISYS CONTRACT,CUSTOMERS & CORPORATE SERVICES,19431,Legal,79418000
AGILISYS LIMITED,AGILISYS CONTRACT,CUSTOMERS & CORPORATE SERVICES,121352,Legal,79418000
AGILISYS LIMITED,AGILISYS CONTRACT,CUSTOMERS & CORPORATE SERVICES,121352,Legal,79418000
AGILISYS LIMITED,AGILISYS CONTRACT,CUSTOMERS & CORPORATE SERVICES,121352,Legal,79418000
AGILISYS LIMITED,DISPOSAL OF FIXED ASSET - ASSET NBV,CUSTOMERS & CORPORATE SERVICES,157560,Legal,79418000
AGILISYS LIMITED,AGILISYS CONTRACT,CUSTOMERS & CORPORATE SERVICES,25836,Legal,79418000
AGILISYS LIMITED,AGILISYS CONTRACT,CUSTOMERS & CORPORATE SERVICES,82710.3,Legal,79418000
AGILISYS LIMITED,AGILISYS CONTRACT,CUSTOMERS & CORPORATE SERVICES,121352,Legal,79418000
AGILISYS LIMITED,AGILISYS CONTRACT,CUSTOMERS & CORPORATE SERVICES,12917.8,Legal,79418000
AGILISYS LIMITED,AGILISYS CONTRACT,CUSTOMERS & CORPORATE SERVICES,91697.9,Legal,79418000
AGILISYS LIMITED,AGILISYS CONTRACT,CUSTOMERS & CORPORATE SERVICES,121352,Legal,79418000
AGILISYS LIMITED,AGILISYS CONTRACT,CUSTOMERS & CORPORATE SERVICES,121352,Legal,79418000
AGILISYS LIMITED,AGILISYS CONTRACT,CUSTOMERS & CORPORATE SERVICES,78780.2,Legal,79418000
AGILISYS LIMITED,AGILISYS CONTRACT,CUSTOMERS & CORPORATE SERVICES,12917.8,Legal,79418000
AGILISYS LIMITED,AGILISYS CONTRACT,CUSTOMERS & CORPORATE SERVICES,63021,Legal,79418000
AGILISYS LIMITED,AGILISYS CONTRACT,CUSTOMERS & CORPORATE SERVICES,40974,Legal,79418000
AGILISYS LIMITED,AGILISYS CONTRACT,CUSTOMERS & CORPORATE SERVICES,12918,Legal,79418000
AGILISYS LIMITED,AGILISYS CONTRACT,CUSTOMERS & CORPORATE SERVICES,121352,Legal,79418000
AGILISYS LIMITED,AGILISYS CONTRACT,CUSTOMERS & CORPORATE SERVICES,78780.2,Legal,79418000
AGILISYS LIMITED,AGILISYS CONTRACT,CUSTOMERS & CORPORATE SERVICES,7192,Legal,79418000
AGILISYS LIMITED,AGILISYS CONTRACT,CUSTOMERS & CORPORATE SERVICES,6444,Legal,79418000
AGILISYS LIMITED,AGILISYS CONTRACT,CUSTOMERS & CORPORATE SERVICES,1456220,Legal,79418000
AGILISYS LIMITED,AGILISYS CONTRACT,CUSTOMERS & CORPORATE SERVICES,945363,Legal,79418000
AGILISYS LIMITED,AGILISYS CONTRACT,CUSTOMERS & CORPORATE SERVICES,155014,Legal,79418000
AGILISYS LIMITED,AGILISYS CONTRACT,NEIGHBOURHOODS AND ENVIRONMENT,14909.3,Data,72221000
AGILISYS LIMITED,AGILISYS CONTRACT,NEIGHBOURHOODS AND ENVIRONMENT,106314,Data,72221000
AGILISYS LIMITED,AGILISYS CONTRACT,NEIGHBOURHOODS AND ENVIRONMENT,106314,Data,72221000
AGILISYS LIMITED,AGILISYS CONTRACT,NEIGHBOURHOODS AND ENVIRONMENT,425254,Data,72221000
AGILISYS LIMITED,AGILISYS CONTRACT,NEIGHBOURHOODS AND ENVIRONMENT,66540,Data,72221000
AGILISYS LIMITED,AGILISYS CONTRACT,NEIGHBOURHOODS AND ENVIRONMENT,94708,Data,72221000
AGILISYS LIMITED,AGILISYS CONTRACT,NEIGHBOURHOODS AND ENVIRONMENT,917514,Data,72221000
AGILISYS LIMITED,AGILISYS CONTRACT,NEIGHBOURHOODS AND ENVIRONMENT,563111,Data,72221000
AGILISYS LIMITED,AGILISYS CONTRACT,NEIGHBOURHOODS AND ENVIRONMENT,5021,Data,72221000
AGILISYS LIMITED,AGILISYS CONTRACT,NEIGHBOURHOODS AND ENVIRONMENT,563111,Data,72000000
AGILISYS LIMITED,AGILISYS CONTRACT,NEIGHBOURHOODS AND ENVIRONMENT,17504,Data,72000000
AGILISYS LIMITED,AGILISYS CONTRACT,NEIGHBOURHOODS AND ENVIRONMENT,54217,Data,72000000
AGILISYS LIMITED,AGILISYS CONTRACT,NEIGHBOURHOODS AND ENVIRONMENT,48775.2,Data,72000000
AGILISYS LIMITED,AGILISYS CONTRACT,NEIGHBOURHOODS AND ENVIRONMENT,586343,Data,72000000
AGILISYS LIMITED,AGILISYS CONTRACT,NEIGHBOURHOODS AND ENVIRONMENT,586343,Data,72000000
AGILISYS LIMITED,AGILISYS CONTRACT,NEIGHBOURHOODS AND ENVIRONMENT,47353,Data,72000000
AGILISYS LIMITED,AGILISYS CONTRACT,NEIGHBOURHOODS AND ENVIRONMENT,20724.5,Data,48000000
ALLIANCE DISPOSABLES LIMITED,EQUIPMENT - GENERAL,NEIGHBOURHOODS AND ENVIRONMENT,32982.5,Consumer Products,39222100
ARCO,EQUIPMENT - GENERAL,ECONOMY AND ENVIRONMENT,8082.3,Data,72000000
ATKINS LIMITED,ROADWORKS,PROPERTY AND HIGHWAYS,41160,Buildings,71320000
ATKINS LIMITED,SITE INVESTIGATION,NEIGHBOURHOODS AND ENVIRONMENT,10000,Development,73000000
ATKINS LIMITED,REPAIRS & ALTS OF BUILDINGS,PROPERTY AND HIGHWAYS,44040,Development,73000000
ATKINS LIMITED,ROADWORKS,PROPERTY AND HIGHWAYS,40488,Development,73000000
ATKINS LIMITED,ROADWORKS,PROPERTY AND HIGHWAYS,100750,Development,73200000
ATKINS LIMITED,ROADWORKS,PROPERTY AND HIGHWAYS,110659,Development,73200000
ATKINS LIMITED,ROADWORKS,PROPERTY AND HIGHWAYS,89040,Development,73200000
ATKINS LIMITED,ROADWORKS,PROPERTY AND HIGHWAYS,89040,Development,73200000
ATKINS LIMITED,ROADWORKS,PROPERTY AND HIGHWAYS,53700,Development,73200000
ATKINS LIMITED,ROADWORKS,PROPERTY AND HIGHWAYS,40000,Development,73200000
ATKINS LIMITED,ROADWORKS,PROPERTY AND HIGHWAYS,5000,Development,73100000
ATKINS LIMITED,FEES / COMMISSION,ECONOMY DIRECTORATE,10250,Buildings,71321100
ATKINS LIMITED,PLANNING APPLICATION FEES,ECONOMY DIRECTORATE,15500,Buildings,71321100
ATKINS LIMITED,FEES / COMMISSION,ECONOMY DIRECTORATE,45600,Buildings,71244000
ATKINS LIMITED,FEES / COMMISSION,ECONOMY DIRECTORATE,13624.7,Buildings,71311200
BALFOUR BEATTY LIVING PLACES,TRANSACTIONS-EXPENDITURE,PROPERTY AND HIGHWAYS,1500000,Material Handling,45232450
BALFOUR BEATTY LIVING PLACES,TRANSACTIONS-EXPENDITURE,PROPERTY AND HIGHWAYS,623206,Material Handling,45232450
BALFOUR BEATTY LIVING PLACES,TRANSACTIONS-EXPENDITURE,PROPERTY AND HIGHWAYS,4191000,Material Handling,45232450
BALFOUR BEATTY LIVING PLACES,TRANSACTIONS-EXPENDITURE,PROPERTY AND HIGHWAYS,2630150,Material Handling,45232450
BALFOUR BEATTY LIVING PLACES,TRANSACTIONS-EXPENDITURE,PROPERTY AND HIGHWAYS,1309990,Material Handling,45232450
BALFOUR BEATTY LIVING PLACES,TRANSACTIONS-EXPENDITURE,PROPERTY AND HIGHWAYS,961662,Material Handling,45232450
BALFOUR BEATTY LIVING PLACES,TRANSACTIONS-EXPENDITURE,PROPERTY AND HIGHWAYS,968572,Material Handling,45233000
BALFOUR BEATTY LIVING PLACES,TRANSACTIONS-EXPENDITURE,PROPERTY AND HIGHWAYS,882134,Material Handling,45233000
BARNARDOS,SUBSCRIPTIONS,EARLY HELP AND SCHOOLS,12750,Education,80000000
BARNARDOS,SUBSCRIPTIONS,EARLY HELP AND SCHOOLS,12750,Education,80000000
BARNARDOS,SUBSCRIPTIONS,EARLY HELP AND SCHOOLS,12750,Education,80000000
BARNARDOS,SUBSCRIPTIONS,EARLY HELP AND SCHOOLS,12750,Education,80000000
BARNARDOS,SUBSCRIPTIONS,EARLY HELP AND SCHOOLS,12750,Health,85322000
BARNARDOS,SUBSCRIPTIONS,EARLY HELP AND SCHOOLS,12750,Health,85000000
BARNARDOS,SUBSCRIPTIONS,EARLY HELP AND SCHOOLS,12750,Health,85000000
BARNARDOS,SUBSCRIPTIONS,EARLY HELP AND SCHOOLS,12750,Health,85000000
BARNARDOS,SUBSCRIPTIONS,EARLY HELP AND SCHOOLS,12750,Health,85000000
BARNARDOS,SUBSCRIPTIONS,EARLY HELP AND SCHOOLS,12750,Health,85000000
BARNARDOS,SUBSCRIPTIONS,EARLY HELP AND SCHOOLS,12750,Health,85000000
BARNARDOS,SUBSCRIPTIONS,EARLY HELP AND SCHOOLS,12750,Health,85000000
BARNARDOS,SUBSCRIPTIONS,EARLY HELP AND SCHOOLS,51000,Health,85000000
BARNARDOS,PH BUSINESS CASES,PUBLIC HEALTH,5516,Health,85300000
BARNARDOS,ADOPTION PAYMENTS,CHILDREN’S SOCIAL CARE,9900,Education,80000000
BARNARDOS,ADOPTION PAYMENTS,CHILDREN’S SOCIAL CARE,28667,Education,80000000
BARNARDOS,ADOPTION PAYMENTS,CHILDREN’S SOCIAL CARE,14333,Health,85311300
BARNARDOS,ADOPTION PAYMENTS,CHILDREN’S SOCIAL CARE,18000,Health,85311300
BARNARDOS,ADOPTION PAYMENTS,CHILDREN’S SOCIAL CARE,9000,Health,85000000
