"supplier_name","account_name","service","order_date","total_value","cpv_codes"
"ACORN RECOVERY PROJECTS","PH OTHER CONTRACTS","PUBLIC HEALTH","2019-09-26","5790","85100000 85121200 85121270 |85144000 |98000000 |85000000 "
"ADDLESHAW GODDARD LLP","PROFESSIONAL FEES","CUSTOMERS & CORPORATE SERVICES","2015-06-03","20407.5","79100000 |79000000 |79111000 "
"AECOM LIMITED","ROADWORKS","ECONOMY DIRECTORATE","2019-01-15","16684","71314200 71314300 |71200000 71300000 71500000 71800000 90000000 |45000000 71000000 |66122000 |71000000 |98000000 71300000 |71352100 |71240000 |71240000 |71240000 |71240000 |71311000 |70000000 71000000 79300000 90710000 45112450 63712700 |71000000 |71315200 |48100000 |73000000 |75211200 |75211200 |71324000 |75211000 |71000000 |66170000 66600000 70333000 71241000 71311000 71314000 71315000 71317000 71351000 71410000 71800000 72000000 73200000 79000000 85000000 90710000 |65000000 "
"AECOM LIMITED","MINOR BUILDING WORKS","PROPERTY AND HIGHWAYS","2019-02-08","128897","71352100 |71314200 71314300 |71200000 71300000 71500000 71800000 90000000 |45000000 71000000 |66122000 |71530000 |71000000 |98000000 71300000 |71352100 |71240000 |71240000 |71240000 |71240000 |71311000 |70000000 71000000 79300000 90710000 45112450 63712700 |71000000 |71315200 |48100000 |71324000 |73000000 |75211200 |75211200 |71324000 |75211000 |71000000 |66170000 66600000 70333000 71241000 71311000 71314000 71315000 71317000 71351000 71410000 71800000 72000000 73200000 79000000 85000000 90710000 |65000000 "
"AECOM LIMITED","MINOR BUILDING WORKS","PROPERTY AND HIGHWAYS","2019-02-18","27120","71352100 |71314200 71314300 |71200000 71300000 71500000 71800000 90000000 |45000000 71000000 |66122000 |71530000 |71000000 |79410000 |98000000 71300000 |71240000 |71240000 |71240000 |71240000 |71311000 |70000000 71000000 79300000 90710000 45112450 63712700 |71000000 |71315200 |48100000 |71324000 |73000000 |75211200 |75211200 |71324000 |75211000 |71000000 |66170000 66600000 70333000 71241000 71311000 71314000 71315000 71317000 71351000 71410000 71800000 72000000 73200000 79000000 85000000 90710000 |65000000 "
"AECOM LIMITED","MINOR BUILDING WORKS","PROPERTY AND HIGHWAYS","2019-02-19","23000","71352100 |71314200 71314300 |71200000 71300000 71500000 71800000 90000000 |45000000 71000000 |66122000 |71530000 |71000000 |79410000 |98000000 71300000 |71240000 |71240000 |71240000 |71240000 |71311000 |70000000 71000000 79300000 90710000 45112450 63712700 |71000000 |71315200 |48100000 |71324000 |73000000 |75211200 |75211200 |71324000 |75211000 |71000000 |66170000 66600000 70333000 71241000 71311000 71314000 71315000 71317000 71351000 71410000 71800000 72000000 73200000 79000000 85000000 90710000 |65000000 "
"AECOM LIMITED","ROADWORKS","PROPERTY AND HIGHWAYS","2019-07-16","20000","71314200 71314300 |71200000 71300000 71500000 71800000 90000000 |45000000 71000000 |66122000 |70000000 71000000 79300000 90710000 45112450 63712700 |60000000 71410000 |73110000 |71310000 |98000000 71300000 |71240000 |71311000 |70000000 71000000 79300000 90710000 45112450 63712700 |71000000 |71315200 |48100000 |71324000 |73000000 |75211200 |75211200 |71324000 |75211000 |71000000 |65000000 "
"AECOM LIMITED","ROADWORKS","PROPERTY AND HIGHWAYS","2019-08-02","40500","71314200 71314300 |71200000 71300000 71500000 71800000 90000000 |45000000 71000000 |66122000 |70000000 71000000 79300000 90710000 45112450 63712700 |60000000 71410000 |73110000 |71310000 |98000000 71300000 |71240000 |71311000 |70000000 71000000 79300000 90710000 45112450 63712700 |71000000 |71315200 |48100000 |71324000 |73000000 |75211200 |75211200 |71324000 |75211000 |71000000 |65000000 "
"AECOM LIMITED","ROADWORKS","PROPERTY AND HIGHWAYS","2019-08-12","20000","71314200 71314300 |71200000 71300000 71500000 71800000 90000000 |45000000 71000000 |66122000 |71311000 |70000000 71000000 79300000 90710000 45112450 63712700 |60000000 71410000 |73110000 |71310000 |98000000 71300000 |71240000 |71311000 |70000000 71000000 79300000 90710000 45112450 63712700 |71000000 |71315200 |48100000 |71324000 |73000000 |75211200 |75211200 |71324000 |75211000 |71000000 |65000000 "
"AECOM LIMITED","MINOR BUILDING WORKS","PROPERTY AND HIGHWAYS","2019-09-10","32850","71314200 71314300 |71200000 71300000 71500000 71800000 90000000 |45000000 71000000 |66122000 |71311000 |70000000 71000000 79300000 90710000 45112450 63712700 |60000000 71410000 |73110000 |71310000 |98000000 71300000 |71240000 |71311000 |70000000 71000000 79300000 90710000 45112450 63712700 |71000000 |71315200 |48100000 |71324000 |73000000 |75211200 |71324000 |75211000 |71000000 |65000000 "
"AECOM LIMITED","ROADWORKS","PROPERTY AND HIGHWAYS","2019-09-20","42283","71314200 71314300 |71200000 71300000 71500000 71800000 90000000 |45000000 71000000 |66122000 |71311000 |70000000 71000000 79300000 90710000 45112450 63712700 |60000000 71410000 |73110000 |71310000 |98000000 71300000 |71240000 |71311000 |70000000 71000000 79300000 90710000 45112450 63712700 |71000000 |71315200 |48100000 |71324000 |73000000 |75211200 |71324000 |75211000 |71000000 |65000000 "
"AECOM LIMITED","MINOR BUILDING WORKS","PROPERTY AND HIGHWAYS","2019-11-28","5489","71356000 |71314200 71314300 |71200000 71300000 71500000 71800000 90000000 |45000000 71000000 |71314000 |71311300 |71311000 |70000000 71000000 79300000 90710000 45112450 63712700 |60000000 71410000 |73110000 |71310000 |98000000 71300000 |71240000 |71311000 |70000000 71000000 79300000 90710000 45112450 63712700 |71000000 |71315200 |71530000 |48100000 |71324000 |73000000 |75211200 |71324000 |75211000 |71000000 |65000000 "
"AECOM LIMITED","MINOR BUILDING WORKS","PROPERTY AND HIGHWAYS","2019-06-07","39635","71314200 71314300 |71200000 71300000 71500000 71800000 90000000 |45000000 71000000 |66122000 |71530000 |73110000 |71310000 |98000000 71300000 |71240000 |71311000 |70000000 71000000 79300000 90710000 45112450 63712700 |71000000 |71315200 |48100000 |71324000 |73000000 |75211200 |75211200 |71324000 |75211000 |71000000 |65000000 "
"AFTER ADOPTION","ADOPTION PAYMENTS","CHILDREN’S SOCIAL CARE","2016-12-02","14333","85311300 85312300 "
"AFTER ADOPTION","ADOPTION PAYMENTS","CHILDREN’S SOCIAL CARE","2016-12-05","28667","85311300 85312300 "
"AFTER ADOPTION","ACTIVITIES","CHILDREN’S SOCIAL CARE","2016-12-05","7817.62","85311300 85312300 "
"AFTER ADOPTION","SUBSIDISED ADOPTERS PMTS","CHILDREN’S SOCIAL CARE","2018-01-31","14333","85000000 |80000000 |85310000 85000000 79315000 85320000 85300000 |85300000 |85300000 |85000000 |85311300 85312300 "
"AGILISYS LIMITED","AGILISYS CONTRACT","NEIGHBOURHOODS AND ENVIRONMENT","2018-04-10","47353","48000000 |79410000 79414000 79415000 79416000 79417000 79418000 79419000 |48000000 |79410000 79414000 79415000 79416000 79417000 79418000 79419000 "
