"supplier_name","pro_class_description","service","expense_area","po_value","cpv_codes"
"Acorn Recovery Projects","Human Resources Training & Conferences ","Services to Place","Learning & Emp Adults","2448","85100000 85121200 85121270 |98000000 |85144000 |98000000 |85000000 |85000000 "
"Acorn Recovery Projects","Human Resources Training & Conferences ","Services to Place","Learning & Emp Adults","2488","85100000 85121200 85121270 |98000000 |85144000 |98000000 |85000000 |85000000 "
"Acorn Recovery Projects","Human Resources Training & Conferences ","Services to Place","Learning & Emp Adults","2488","85100000 85121200 85121270 |98000000 |85144000 |98000000 |85000000 |85000000 "
"Acorn Recovery Projects","Human Resources Training & Conferences ","Services to Place","Learning & Emp Adults","2488","85100000 85121200 85121270 |98000000 |85144000 |98000000 |85000000 |85000000 "
"Acorn Recovery Projects","Human Resources Training & Conferences ","Services to Place","Learning & Emp Adults","612","85100000 85121200 85121270 |98000000 |85144000 |98000000 |85000000 |85000000 "
"Acorn Recovery Projects","Human Resources Training & Conferences ","Services to Place","Learning & Emp Adults","612","85100000 85121200 85121270 |98000000 |85144000 |98000000 |85000000 |85000000 "
"Acorn Recovery Projects","Human Resources Training & Conferences ","Services to Place","Learning & Emp Adults","612","85100000 85121200 85121270 |98000000 |85144000 |98000000 |85000000 |85000000 "
"Acorn Recovery Projects","Human Resources Training & Conferences ","Services to Place","Learning & Emp Adults","4590","85100000 85121200 85121270 |98000000 |85144000 |98000000 |85000000 |85000000 "
"Acorn Recovery Projects","Human Resources Training & Conferences ","Services to Place","Learning & Emp Adults","4590","85100000 85121200 85121270 |98000000 |85144000 |98000000 |85000000 |85000000 "
"Acorn Recovery Projects","Human Resources Training & Conferences ","Services to Place","Learning & Emp Adults","4590","85100000 85121200 85121270 |98000000 |85144000 |98000000 |85000000 |85000000 "
"Acorn Recovery Projects","Human Resources Training & Conferences ","Services to Place","Learning & Emp Adults","1147.5","85100000 85121200 85121270 |98000000 |85144000 |98000000 |85000000 |85000000 "
"Acorn Recovery Projects","Human Resources Training & Conferences ","Services to Place","Learning & Emp Adults","1147.5","85100000 85121200 85121270 |98000000 |85144000 |98000000 |85000000 |85000000 "
"Acorn Recovery Projects","Human Resources Training & Conferences ","Services to Place","Learning & Emp Adults","1147.5","85100000 85121200 85121270 |98000000 |85144000 |98000000 |85000000 |85000000 "
"Acorn Recovery Projects","Human Resources Training & Conferences ","Services to Place","Contin Educ Service","5850","85100000 85121200 85121270 |98000000 |85144000 |98000000 |85000000 |85000000 "
"Acorn Recovery Projects","Human Resources Training & Conferences ","Services to Place","Contin Educ Service","3600","85100000 85121200 85121270 |98000000 |85144000 |98000000 |85000000 |85000000 "
"Acorn Recovery Projects","Human Resources Training & Conferences ","Services to Place","Contin Educ Service","2100","85100000 85121200 85121270 |98000000 |85144000 |98000000 |85000000 |85000000 "
"AECOM Limited","Consultancy   ","Services to Place","Design Frmwk Staff","35251.3","71352100 |71356000 |71314200 71314300 |71200000 71300000 71500000 71800000 90000000 |45000000 71000000 |71310000 |71313400 71313430 71313450 71313420 |71000000 71200000 71500000 71400000 70000000 71300000 |72224000 |72224000 |72224000 |66122000 |71000000 79000000 98000000 |72224000 |71000000 73000000 71311000 |71240000 |71530000 |71244000 |71410000 |73000000 |45000000 |71310000 |90712000 |71314000 |71311300 |71311000 |70000000 71000000 79300000 90710000 45112450 63712700 |71530000 |71000000 |60000000 71410000 |73110000 |71310000 |71000000 |79410000 |98000000 71300000 |71352100 |71352100 |71352100 |71240000 |71240000 |71240000 |71240000 |71311300 71410000 71530000 |71356000 79415200 |73000000 |71310000 |71320000 |73000000 |71000000 |71311000 |71000000 71315000 71312000 71311000 71315200 71315210 |70000000 71000000 79300000 90710000 45112450 63712700 |71000000 |71315200 |71530000 |48100000 |71324000 |73000000 |90713000 |71300000 71313410 71631000 71340000 90711200 71311100 71311210 71313400 71319000 71315200 90"
"AECOM Limited","Consultancy   ","#N/A","#N/A","29211.3","71352100 |71356000 |71314200 71314300 |71200000 71300000 71500000 71800000 90000000 |45000000 71000000 |71310000 |71313400 71313430 71313450 71313420 |71000000 71200000 71500000 71400000 70000000 71300000 |72224000 |72224000 |72224000 |66122000 |71000000 79000000 98000000 |72224000 |71000000 73000000 71311000 |71240000 |71530000 |71244000 |71410000 |73000000 |45000000 |71310000 |90712000 |71314000 |71311300 |71311000 |70000000 71000000 79300000 90710000 45112450 63712700 |71530000 |71000000 |60000000 71410000 |73110000 |71310000 |71000000 |79410000 |98000000 71300000 |71352100 |71352100 |71352100 |71240000 |71240000 |71240000 |71240000 |71311300 71410000 71530000 |71356000 79415200 |73000000 |71310000 |71320000 |73000000 |71000000 |71311000 |71000000 71315000 71312000 71311000 71315200 71315210 |70000000 71000000 79300000 90710000 45112450 63712700 |71000000 |71315200 |71530000 |48100000 |71324000 |73000000 |90713000 |71300000 71313410 71631000 71340000 90711200 71311100 71311210 71313400 71319000 71315200 90"
"AECOM Limited","Consultancy   ","Services to Place","Design Frmwk Staff","17968","71352100 |71356000 |71314200 71314300 |71200000 71300000 71500000 71800000 90000000 |45000000 71000000 |71310000 |71313400 71313430 71313450 71313420 |71000000 71200000 71500000 71400000 70000000 71300000 |72224000 |72224000 |72224000 |66122000 |71000000 79000000 98000000 |72224000 |71000000 73000000 71311000 |71240000 |71530000 |71244000 |71410000 |73000000 |45000000 |71310000 |90712000 |71314000 |71311300 |71311000 |70000000 71000000 79300000 90710000 45112450 63712700 |71530000 |71000000 |60000000 71410000 |73110000 |71310000 |71000000 |79410000 |98000000 71300000 |71352100 |71352100 |71352100 |71240000 |71240000 |71240000 |71240000 |71311300 71410000 71530000 |71356000 79415200 |73000000 |71310000 |71320000 |73000000 |71000000 |71311000 |71000000 71315000 71312000 71311000 71315200 71315210 |70000000 71000000 79300000 90710000 45112450 63712700 |71000000 |71315200 |71530000 |48100000 |71324000 |73000000 |90713000 |71300000 71313410 71631000 71340000 90711200 71311100 71311210 71313400 71319000 71315200 90"
"AECOM Limited","Consultancy   ","Services to Place","Design Frmwk Staff","41600","71352100 |71356000 |71314200 71314300 |71200000 71300000 71500000 71800000 90000000 |45000000 71000000 |71310000 |71313400 71313430 71313450 71313420 |71000000 71200000 71500000 71400000 70000000 71300000 |72224000 |72224000 |72224000 |66122000 |71000000 79000000 98000000 |72224000 |71000000 73000000 71311000 |71240000 |71530000 |71244000 |71410000 |73000000 |45000000 |71310000 |90712000 |71314000 |71311300 |71311000 |70000000 71000000 79300000 90710000 45112450 63712700 |71530000 |71000000 |60000000 71410000 |73110000 |71310000 |71000000 |79410000 |98000000 71300000 |71352100 |71352100 |71352100 |71240000 |71240000 |71240000 |71240000 |71311300 71410000 71530000 |71356000 79415200 |73000000 |71310000 |71320000 |73000000 |71000000 |71311000 |71000000 71315000 71312000 71311000 71315200 71315210 |70000000 71000000 79300000 90710000 45112450 63712700 |71000000 |71315200 |71530000 |48100000 |71324000 |73000000 |90713000 |71300000 71313410 71631000 71340000 90711200 71311100 71311210 71313400 71319000 71315200 90"
