supplier_name,pro_class_description,service,expense_area,po_value,Privilege,trade_cat
Acorn Recovery Projects,Human Resources Training & Conferences ,Services to Place,Contin Educ Service,5850,Social,98000000
Acorn Recovery Projects,Human Resources Training & Conferences ,Services to Place,Contin Educ Service,3600,Social,98000000
Acorn Recovery Projects,Human Resources Training & Conferences ,Services to Place,Contin Educ Service,2100,Social,98000000
AECOM Limited,Consultancy   ,Services to Place,Design Frmwk Staff,35251.3,Buildings,71314200
AECOM Limited,Consultancy   ,#N/A,#N/A,29211.3,Buildings,71314200
AECOM Limited,Consultancy   ,Services to Place,Design Frmwk Staff,17968,Buildings,71314200
AECOM Limited,Consultancy   ,Services to Place,Design Frmwk Staff,41600,Buildings,71314200
AECOM Limited,Consultancy   ,#N/A,#N/A,24813.2,Buildings,71314200
AECOM Limited,Consultancy   ,Capital Expenditure,Highway Drainage Investment Programme - Design,8667,Buildings,71324000
AECOM Limited,Consultancy   ,Capital Expenditure,STCAP 402 Knightsbridge and Great Portwood St - Fe,8310,Insurance,66122000
AECOM Limited,Consultancy   ,Services to Place,Investing in Growth,15878,Insurance,66122000
AECOM Limited,Consultancy   ,Services to Place,Investing in Growth,19278,Insurance,66122000
AECOM Limited,Consultancy   ,Capital Expenditure,097 Cheadle Lane Culvert,9916,Insurance,66122000
AECOM Limited,Consultancy   ,Services to Place,Investing in Growth,12442.5,Material Handling,45000000
AECOM Limited,Consultancy   ,Capital Expenditure,Flood Event 07/16 - Structures - Feasibility,23187,Buildings,71314200
AECOM Limited,Consultancy   ,Capital Expenditure,TAMP Development & Monitoring - Feasibility,5000,Buildings,71314200
AECOM Limited,Consultancy   ,Services to Place,Highways-Network Management,34684,Buildings,71314200
AECOM Limited,Consultancy   ,Capital Expenditure,Principal Inspections - Feasibility,0,Buildings,71314200
AECOM Limited,"Works - Construction, Repair & Maintenance Engineering ",Services to Place,ECS-Buildings Team,35487.4,Buildings,71314200
AECOM Limited,Consultancy   ,Capital Expenditure,STCAP 801 Travis Brow/ A6 Link and George’s Rd - F,7750,Buildings,71314200
AECOM Limited,Consultancy   ,Services to Place,Design Framework Staff,41284,Buildings,71314200
AECOM Limited,Consultancy   ,Services to Place,Retail Planning appeals,23769.5,Buildings,71314200
AECOM Limited,Consultancy   ,Capital Expenditure,STCAP 801 Travis Brow/ A6 Link and George’s Rd - F,8771.4,Buildings,71314200
AECOM Limited,Supplies and services,Capital Expenditure,SEMMMS Prep Costs - On Site,28990.4,Buildings,71314200
AECOM Limited,Consultancy   ,Services to Place,Highways-Network Management,23860,Buildings,71314200
AECOM Limited,Consultancy   ,Capital Expenditure,Principal Inspections - Feasibility,48187.2,Buildings,71314200
AECOM Limited,Consultancy   ,Services to Place,Highways-Road Safety,6776,Buildings,71314200
AECOM Limited,Consultancy   ,Capital Expenditure,1300 Greenspace Infrastructure - On Site,24594,Buildings,71314200
AECOM Limited,Consultancy   ,Capital Expenditure,STCAP 801 Travis Brow/ A6 Link and George’s Rd - D,8300,Buildings,71314200
AECOM Limited,Consultancy   ,#N/A,#N/A,28309,Buildings,71352100
AECOM Limited,Consultancy   ,#N/A,#N/A,137608,Buildings,71352100
AECOM Limited,Consultancy   ,Services to Place,Car Parks Admin,10534.4,Buildings,71352100
AECOM Limited,Consultancy   ,Services to Place,Highway Structs R+R,17032.2,Buildings,71352100
AECOM Limited,Consultancy   ,Services to Place,Highways-Road Safety,39545.9,Buildings,71352100
AECOM Limited,Consultancy   ,Services to Place,Rechargeable work,12632,Buildings,71314200
AECOM Limited,Consultancy   ,Services to Place,Rechargeable work,10659,Buildings,71314200
AECOM Limited,Consultancy   ,Services to Place,Network Assets Staff,15000,Buildings,71314200
AECOM Limited,Consultancy   ,Services to Place,Network Assets Staff,15000,Buildings,71314200
AECOM Limited,Consultancy   ,Services to Place,Network Assets Staff,15000,Buildings,71314200
AECOM Limited,"Works - Construction, Repair & Maintenance  ",#N/A,#N/A,55292.2,Buildings,71314200
