"supplier_name","pro_class_description","service","expense_area","po_value","cpv_codes"
"Acorn Recovery Projects","Human Resources Training & Conferences ","Services to Place","Contin Educ Service","5850","98000000 |98000000 |85000000 "
"Acorn Recovery Projects","Human Resources Training & Conferences ","Services to Place","Contin Educ Service","3600","98000000 |98000000 |85000000 "
"Acorn Recovery Projects","Human Resources Training & Conferences ","Services to Place","Contin Educ Service","2100","98000000 |98000000 |85000000 "
"AECOM Limited","Consultancy   ","Services to Place","Design Frmwk Staff","35251.3","71314200 71314300 |71200000 71300000 71500000 71800000 90000000 |45000000 71000000 |66122000 |71530000 |73110000 |71310000 |98000000 71300000 |71240000 |71311000 |70000000 71000000 79300000 90710000 45112450 63712700 |71000000 |71315200 |48100000 |71324000 |73000000 |75211200 |75211200 |71324000 |75211000 |71000000 |65000000 "
"AECOM Limited","Consultancy   ","#N/A","#N/A","29211.3","71314200 71314300 |71200000 71300000 71500000 71800000 90000000 |45000000 71000000 |66122000 |71530000 |60000000 71410000 |73110000 |71310000 |98000000 71300000 |71240000 |71311000 |70000000 71000000 79300000 90710000 45112450 63712700 |71000000 |71315200 |48100000 |71324000 |73000000 |75211200 |75211200 |71324000 |75211000 |71000000 |65000000 "
"AECOM Limited","Consultancy   ","Services to Place","Design Frmwk Staff","17968","71314200 71314300 |71200000 71300000 71500000 71800000 90000000 |45000000 71000000 |66122000 |70000000 71000000 79300000 90710000 45112450 63712700 |60000000 71410000 |73110000 |71310000 |98000000 71300000 |71240000 |71311000 |70000000 71000000 79300000 90710000 45112450 63712700 |71000000 |71315200 |48100000 |71324000 |73000000 |75211200 |75211200 |71324000 |75211000 |71000000 |65000000 "
"AECOM Limited","Consultancy   ","Services to Place","Design Frmwk Staff","41600","71314200 71314300 |71200000 71300000 71500000 71800000 90000000 |45000000 71000000 |66122000 |70000000 71000000 79300000 90710000 45112450 63712700 |60000000 71410000 |73110000 |71310000 |98000000 71300000 |71240000 |71311000 |70000000 71000000 79300000 90710000 45112450 63712700 |71000000 |71315200 |48100000 |71324000 |73000000 |75211200 |75211200 |71324000 |75211000 |71000000 |65000000 "
"AECOM Limited","Consultancy   ","#N/A","#N/A","24813.2","71314200 71314300 |71200000 71300000 71500000 71800000 90000000 |45000000 71000000 |66122000 |71311000 |70000000 71000000 79300000 90710000 45112450 63712700 |60000000 71410000 |73110000 |71310000 |98000000 71300000 |71240000 |71311000 |70000000 71000000 79300000 90710000 45112450 63712700 |71000000 |71315200 |48100000 |71324000 |73000000 |75211200 |75211200 |71324000 |75211000 |71000000 |65000000 "
"AECOM Limited","Consultancy   ","Capital Expenditure","Highway Drainage Investment Programme - Design","8667","66122000 |79000000 |75211200 |71324000 |75211000 |71000000 |66170000 66600000 70333000 71241000 71311000 71314000 71315000 71317000 71351000 71410000 71800000 72000000 73200000 79000000 85000000 90710000 "
"AECOM Limited","Consultancy   ","Capital Expenditure","STCAP 402 Knightsbridge and Great Portwood St - Fe","8310","66122000 |71311000 |75211200 |71324000 |75211000 |71000000 |66170000 66600000 70333000 71241000 71311000 71314000 71315000 71317000 71351000 71410000 71800000 72000000 73200000 79000000 85000000 90710000 "
"AECOM Limited","Consultancy   ","Services to Place","Investing in Growth","15878","66122000 |71311000 |75211200 |71324000 |75211000 |71000000 |66170000 66600000 70333000 71241000 71311000 71314000 71315000 71317000 71351000 71410000 71800000 72000000 73200000 79000000 85000000 90710000 "
"AECOM Limited","Consultancy   ","Services to Place","Investing in Growth","19278","71314200 71314300 |66122000 |71311000 |75211200 |71324000 |75211000 |71000000 |66170000 66600000 70333000 71241000 71311000 71314000 71315000 71317000 71351000 71410000 71800000 72000000 73200000 79000000 85000000 90710000 "
"AECOM Limited","Consultancy   ","Capital Expenditure","097 Cheadle Lane Culvert","9916","71314200 71314300 |45000000 71000000 |66122000 |73000000 |71000000 |71311000 |75211200 |71324000 |75211000 |71000000 |66170000 66600000 70333000 71241000 71311000 71314000 71315000 71317000 71351000 71410000 71800000 72000000 73200000 79000000 85000000 90710000 |65000000 "
"AECOM Limited","Consultancy   ","Services to Place","Investing in Growth","12442.5","71314200 71314300 |45000000 71000000 |66122000 |73000000 |73000000 |71000000 |71311000 |75211200 |71324000 |75211000 |71000000 |66170000 66600000 70333000 71241000 71311000 71314000 71315000 71317000 71351000 71410000 71800000 72000000 73200000 79000000 85000000 90710000 |65000000 "
"AECOM Limited","Consultancy   ","Capital Expenditure","Flood Event 07/16 - Structures - Feasibility","23187","71314200 71314300 |45000000 71000000 |66122000 |73000000 |73000000 |71000000 |71311000 |75211200 |71324000 |75211000 |71000000 |66170000 66600000 70333000 71241000 71311000 71314000 71315000 71317000 71351000 71410000 71800000 72000000 73200000 79000000 85000000 90710000 |65000000 "
"AECOM Limited","Consultancy   ","Capital Expenditure","TAMP Development & Monitoring - Feasibility","5000","71314200 71314300 |45000000 71000000 |66122000 |73000000 |71310000 |71320000 |73000000 |71311000 |48100000 |75211200 |71324000 |75211000 |71000000 |66170000 66600000 70333000 71241000 71311000 71314000 71315000 71317000 71351000 71410000 71800000 72000000 73200000 79000000 85000000 90710000 |65000000 "
"AECOM Limited","Consultancy   ","Services to Place","Highways-Network Management","34684","71314200 71314300 |45000000 71000000 |66122000 |71356000 79415200 |71310000 |71320000 |71311000 |48100000 |75211200 |71324000 |75211000 |71000000 |66170000 66600000 70333000 71241000 71311000 71314000 71315000 71317000 71351000 71410000 71800000 72000000 73200000 79000000 85000000 90710000 |65000000 "
