"organisation_name","reference_number","department","service_description","quantity","price","value","supplier_name","tender_process"
"Pendle Borough Council","AAS000817","Financial Services","Telephones : Central","1","9000","9000","BRITISH TELECOMMUNICATIONS PLC","Purchase Order"
"Pendle Borough Council","AAS000823","Financial Services","Capital : Payments","1","6000","6000","INFORM CPI LIMITED","Purchase Order"
"Pendle Borough Council","AAS000835","Financial Services","Other Services","1","53087","53087","RIBBLE VALLEY BOROUGH COUNCIL","Purchase Order"
"Pendle Borough Council","AAS000849","Financial Services","Subscriptions & Donations","1","8904","8904","LOCAL GOVERNMENT ASSOCIATION","Purchase Order"
"Pendle Borough Council","AAS000852","Financial Services","Capital","1","15300","15300","CIVICA UK LIMITED","Purchase Order"
"Pendle Borough Council","AAS000862","Financial Services","Supplies and Services","1","10000","10000","CANAL & RIVER TRUST","Purchase Order"
"Pendle Borough Council","AAS000865","Financial Services","Capital","1","15510","15510","CIVICA UK LIMITED","Purchase Order"
"Pendle Borough Council","AAS000874","Financial Services","Levies","1","51820","51820","RIBBLE VALLEY BOROUGH COUNCIL","Purchase Order"
"Pendle Borough Council","AAS000884","Financial Services","Seminars etc All Costs","1","5850","5850","LINK TREASURY SERVICES LIMITED","Purchase Order"
"Pendle Borough Council","AAS000912","Financial Services","Subscription & Donations","1","5035","5035","L G FUTURES LIMITED","Purchase Order"
"Pendle Borough Council","DAL003142","Democratic & Legal Services","Subscriptions and Donations","1","5099","5099","SITEIMPROVE LIMITED","Purchase Order"
"Pendle Borough Council","DAL003277","Democratic & Legal Services","Supplies and Services","1","5241.77","5241.77","SITEIMPROVE LIMITED","Purchase Order"
"Pendle Borough Council","DAL003349","Democratic & Legal Services","Publicity and Advertisements","1","10000","10000","PENDLE SIGNS & PLASTICS LIMITED","Purchase Order"
"Pendle Borough Council","DAL003366","Democratic & Legal Services","Publicity and Advertisements","1","6721.33","6721.33","THE DIRECT MAIL COMPANY","Purchase Order"
"Pendle Borough Council","DAL003402","Democratic & Legal Services","Capital","1","9250","9250","SPACECRAFT CREATIVE LIMITED","Purchase Order"
"Pendle Borough Council","DAL003468","Democratic & Legal Services","Subscriptions & Donations","1","5453.49","5453.49","SITEIMPROVE LIMITED","Purchase Order"
"Pendle Borough Council","DLP002927","Democratic & Legal Services","EFM : Other Equipment","1","5035","5035","PGL GRAPHICS LIMITED","Purchase Order"
"Pendle Borough Council","ENV002045","Environmental Health Services","Capital : Payments","1","5695","5695","MINI CAM LTD","Purchase Order"
"Pendle Borough Council","EST003258","Property Services","Buildings : Repair and Maintenance","0.92","6000","5500","SPEAKMAN CONTRACTORS LTD","Purchase Order"
"Pendle Borough Council","EST003289","Property Services","Buildings : Repair and Maintenance","1","5183.07","5183.07","SPEAKMAN CONTRACTORS LTD","Purchase Order"
"Pendle Borough Council","EST003340","Property Services","Capital : Payments","1","9213.9","9213.9","SPEAKMAN CONTRACTORS LTD","Purchase Order"
"Pendle Borough Council","EST003365","Property Services","Capital : Payments","1","5289","5289","SPEEDFLEX UK LIMITED","Purchase Order"
"Pendle Borough Council","EST003376","Property Services","Capital : Payments","1","12504.8","12504.8","ASKEW REFRIGERATION SERVICES LTD","Purchase Order"
"Pendle Borough Council","EST003503","Property Services","Miscellaneous","1","8231.55","8231.55","SPEAKMAN CONTRACTORS LTD","Purchase Order"
"Pendle Borough Council","EST003550","Property Services","Capital : Payments","1","5963.77","5963.77","SPEAKMAN CONTRACTORS LTD","Purchase Order"
"Pendle Borough Council","EST003710","Property Services","Capital","1","5155.33","5155.33","SPEAKMAN CONTRACTORS LTD","Purchase Order"
"Pendle Borough Council","EST003717","Property Services","Capital","1","7350","7350","F NUTTER & SONS","Purchase Order"
"Pendle Borough Council","EST003769","Property Services","Capital","1","6665","6665","SPEAKMAN CONTRACTORS LTD","Purchase Order"
"Pendle Borough Council","EST003770","Property Services","Capital","1","8840","8840","SPEAKMAN CONTRACTORS LTD","Purchase Order"
"Pendle Borough Council","EST003977","Property Services","Capital","1","10498","10498","GEORGE BOOCOCK DECORATORS LTD","Purchase Order"
"Pendle Borough Council","EST004008","Property Services","Capital","1","5000","5000","J DRIVER LTD","Purchase Order"
"Pendle Borough Council","EST004035","Property Services","Capital","1","10498","10498","GEORGE BOOCOCK DECORATORS LTD","Purchase Order"
"Pendle Borough Council","EST004095","Property Services","Capital","1","19557.1","19557.1","SPEAKMAN CONTRACTORS LTD","Purchase Order"
"Pendle Borough Council","EST004119","Property Services","Capital","1","9409","9409","SPEAKMAN CONTRACTORS LTD","Purchase Order"
"Pendle Borough Council","EST004151","Property Services","Capital","1","12790","12790","J DRIVER LTD","Purchase Order"
"Pendle Borough Council","EST004267","Property Services","Capital","1","5180","5180","SPEAKMAN CONTRACTORS LTD","Purchase Order"
"Pendle Borough Council","EST004282","Property Services","Capital","1","15275","15275","SPEAKMAN CONTRACTORS LTD","Purchase Order"
"Pendle Borough Council","EST004309","Property Services","Capital","1","5100","5100","BAXTERS OF LANCASHIRE LIMITED","Purchase Order"
"Pendle Borough Council","EST004334","Property Services","Capital","1","20766.1","20766.1","SPEAKMAN CONTRACTORS LTD","Purchase Order"
"Pendle Borough Council","EST004335","Property Services","Capital","1","19678.5","19678.5","SPEAKMAN CONTRACTORS LTD","Purchase Order"
"Pendle Borough Council","EST004336","Property Services","Capital","1","5190","5190","SPEAKMAN CONTRACTORS LTD","Purchase Order"
"Pendle Borough Council","EST004356","Property Services","Capital","1","8148","8000","GEORGE BOOCOCK DECORATORS LTD","Purchase Order"
"Pendle Borough Council","EST004363","Property Services","Capital","1","9723","9723","DALE CONTRACTORS LIMITED","Purchase Order"
"Pendle Borough Council","EST004398","Property Services","Capital","1","33667.3","33667.3","CRT FLOORING SPECIALISTS LIMITED","Purchase Order"
"Pendle Borough Council","EST004407","Property Services","Capital","1","11465.3","11465.3","LANDSCAPE ENGINEERING LTD","Purchase Order"
"Pendle Borough Council","EST004436","Property Services","Capital","1","8683","8683","J DRIVER LTD","Purchase Order"
"Pendle Borough Council","EST004437","Property Services","Capital","1","25497","25497","CRAFTSMAN RESTORATION LTD","Purchase Order"
"Pendle Borough Council","EST004468","Property Services","Capital","1","103583","103583","SPEAKMAN CONTRACTORS LTD","Purchase Order"
"Pendle Borough Council","EST004486","Property Services","Capital","1","7638","7638","SPEAKMAN CONTRACTORS LTD","Purchase Order"
"Pendle Borough Council","EST004506","Property Services","Bldgs : R & M : Day To Day","1","6855","6855","LANDSCAPE ENGINEERING LTD","Purchase Order"
"Pendle Borough Council","EST004522","Property Services","Funded Grounds Mtnce Works","1","6995","6995","GEORGE BOOCOCK DECORATORS LTD","Purchase Order"
