"organisation_name","purchase_order_number","order_date","total_value","supplier_name","account_name","service"
"Rochdale Borough Council","d1045186","2014-10-01","54450","PETRUS","SERVICES - GENERAL","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","d1045192","2014-10-01","5760","EMO OIL LIMITED","OIL","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","d1045193","2014-10-01","6865.4","NORTHGATE VEHICLE HIRE LIMITED","TRANSACTIONS-EXPENDITURE","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","d1045201","2014-10-01","7800","CP DAVIDSON & SONS LTD","TRANSACTIONS-EXPENDITURE","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","d1045202","2014-10-01","9100","CP DAVIDSON & SONS LTD","TRANSACTIONS-EXPENDITURE","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","e1014643","2014-10-01","5066.08","ROSS CARE","PURCHASE OF OTHER EQUIPMENT","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","q1002661","2014-10-01","10249","BINDMONT PRINT SERVICES LTD","PRINTING & STATIONERY","CUSTOMERS & CORPORATE SERVICES"
"Rochdale Borough Council","d1045235","2014-10-02","9600","CITY OF BRADFORD METROPOLITAN DISTRICT COUNCIL","CHRISTMAS DECORATIONS","PROPERTY AND HIGHWAYS"
"Rochdale Borough Council","d1045238","2014-10-02","0","CHRISTMAS PLUS LTD","CHRISTMAS DECORATIONS","PROPERTY AND HIGHWAYS"
"Rochdale Borough Council","d1045241","2014-10-02","6316.5","F W SHERRATT LTD","REPAIRS & ALTS OF BUILDINGS","PROPERTY AND HIGHWAYS"
"Rochdale Borough Council","ph100542","2014-10-02","16490","ICE LIMITED","ACTIVITIES","PUBLIC HEALTH"
"Rochdale Borough Council","ph100543","2014-10-02","141620","ICE LIMITED","ACTIVITIES","PUBLIC HEALTH"
"Rochdale Borough Council","q1002682","2014-10-02","16800","STHREE PARTNERSHIP LLP","CAPITAL SALARIES","CUSTOMERS & CORPORATE SERVICES"
"Rochdale Borough Council","q1002686","2014-10-02","5800","UPDATA INFRASTRUCTURE UK LTD","PURCHASE OF OTHER EQUIPMENT","CUSTOMERS & CORPORATE SERVICES"
"Rochdale Borough Council","d1045250","2014-10-03","7362.37","ELECTRICITY NORTH WEST LTD","REWIRING AND ELECTRICAL UPGRADES","PROPERTY AND HIGHWAYS"
"Rochdale Borough Council","d1045253","2014-10-03","5000","UNITY PARTNERSHIP LTD","CONSULTANT FEES","PROPERTY AND HIGHWAYS"
"Rochdale Borough Council","d1045269","2014-10-03","8560","EMO OIL LIMITED","TRANSACTIONS-EXPENDITURE","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","f1003729","2014-10-03","35353.5","MERITEC LIMITED","AGENCY STAFF","FINANCE SERVICES"
"Rochdale Borough Council","q1002690","2014-10-03","5000","ROCHDALE TOWN CENTRE MANAGEMENT CO","EVENTS","CUSTOMERS & CORPORATE SERVICES"
"Rochdale Borough Council","q1002692","2014-10-03","5000","ROCHDALE MEDIATION SERVICE LIMITED","GRANTS TO THE NON VOLUNTARY SECTOR","CUSTOMERS & CORPORATE SERVICES"
"Rochdale Borough Council","d1045300","2014-10-06","8344.06","BURNT TREE GROUP","TRANSACTIONS-EXPENDITURE","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","d1045306","2014-10-06","7525","MACE LIMITED","BASIC SALARIES","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","e1014675","2014-10-06","6000","EARLY BREAK","ACTIVITIES","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","ph100547","2014-10-06","6504.24","NHS HEYWOOD MIDDLETON AND ROCHDALE CCG","AGENCY STAFF","PUBLIC HEALTH"
"Rochdale Borough Council","q1002697","2014-10-06","8639.37","POLICE AND CRIME COMMISSIONER FOR GTR MANCHESTER","SERVICES - GENERAL","CUSTOMERS & CORPORATE SERVICES"
"Rochdale Borough Council","q1002698","2014-10-06","8724.21","POLICE AND CRIME COMMISSIONER FOR GTR MANCHESTER","SERVICES - GENERAL","CUSTOMERS & CORPORATE SERVICES"
"Rochdale Borough Council","d1045350","2014-10-07","12736","URBAN VISION PARTNERSHIP LTD","AGENCY STAFF","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","f1003731","2014-10-07","9750","OVERDRIVE  INC","PURCHASE OF ICT SOFTWARE","CUSTOMERS & CORPORATE SERVICES"
"Rochdale Borough Council","q1002713","2014-10-07","5600","HEMMING GROUP LIMITED","ADVERTISING/PUBLICITY","FINANCE SERVICES"
"Rochdale Borough Council","q1002716","2014-10-07","19500","STHREE PARTNERSHIP LLP","CAPITAL SALARIES","CUSTOMERS & CORPORATE SERVICES"
"Rochdale Borough Council","d1045355","2014-10-08","10093","JONES LANG LASALLE","SECURITY","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","d1045366","2014-10-08","5000","LUDUS LEISURE LTD","IMPROVEMENTS-MODERNISATION","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","d1045366","2014-10-08","5000","LUDUS LEISURE LTD","IMPROVEMENTS-MODERNISATION","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","d1045376","2014-10-08","22470.7","BRAHM FUNDCO 2 LTD","EQUIPMENT - GENERAL","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","f1003735","2014-10-08","205160","GRANT THORNTON UK LLP","FEES / COMMISSION","FINANCE SERVICES"
"Rochdale Borough Council","q1002723","2014-10-08","6602.4","TG EVENTS LTD","PRINTING & STATIONERY","CUSTOMERS & CORPORATE SERVICES"
"Rochdale Borough Council","q1002733","2014-10-08","98354.1","H BELL & SONS ROCHDALE LTD","REPAIRS & ALTS OF BUILDINGS","CUSTOMERS & CORPORATE SERVICES"
"Rochdale Borough Council","d1045396","2014-10-09","9330.66","NATIONAL FLOOD FORUM","ACTIVITIES","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","e1014703","2014-10-09","108072","DIOCESE OF SALFORD","IMPROVEMENTS-EXTENSIONS & ALTERATIONS","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","e1014719","2014-10-09","13448","OLDHAM METROPOLITAN BOROUGH COUNCIL","OTHER EST - SEN PROVISION","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","e1014725","2014-10-09","40546.6","INSPIREDSPACES ROCHDALE LTD","PURCHASE OF ICT HARDWARE","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","e1014729","2014-10-09","13618.9","INSPIREDSPACES ROCHDALE LTD","PURCHASE OF ICT HARDWARE","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","e1014730","2014-10-09","25413.3","INSPIREDSPACES ROCHDALE LTD","PURCHASE OF ICT HARDWARE","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","e1014733","2014-10-09","21697.4","INSPIREDSPACES ROCHDALE LTD","IT SUPPORT","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","e1014734","2014-10-09","21697.4","INSPIREDSPACES ROCHDALE LTD","IT SUPPORT","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","e1014735","2014-10-09","21697.4","INSPIREDSPACES ROCHDALE LTD","IT SUPPORT","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","e1014736","2014-10-09","37380","INSPIREDSPACES ROCHDALE LTD","PURCHASE OF ICT HARDWARE","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","e1014738","2014-10-09","9384","GATENBY SANDERSON","AGENCY STAFF","CHILDREN’S SOCIAL CARE"
"Rochdale Borough Council","q1002737","2014-10-09","12138","VICTIM SUPPORT & WITNESS SERVICE","GRANTS TO THE NON VOLUNTARY SECTOR","CUSTOMERS & CORPORATE SERVICES"
"Rochdale Borough Council","q1002738","2014-10-09","20240","TURNING POINT SERVICES LIMITED","SERVICES - GENERAL","CUSTOMERS & CORPORATE SERVICES"
"Rochdale Borough Council","q1002740","2014-10-09","46670","SPECIALIST COMPUTER CENTRES PLC","PURCHASE OF ICT HARDWARE","CUSTOMERS & CORPORATE SERVICES"
"Rochdale Borough Council","x1009763","2014-10-09","7580","TIPTOES CHILD THERAPY SERVICES LTD","MEDICAL FEES","CHILDREN’S SOCIAL CARE"
"Rochdale Borough Council","d1045440","2014-10-10","16222","NAB CONTRACTORS LTD","PURCHASE OF PLANT AND MACHINERY","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","e1014743","2014-10-10","682146","AXIOM EDUCATION (ROCHDALE) LIMITED","PFI SCHEMES RPIX","EARLY HELP AND SCHOOLS"
