"supplier_name","total_value","service","cpv_code1","cpv_code2","cpv_code3","cpv_code4","cpv_code5","cpv_code6","cpv_code7","cpv_code8","cpv_code9","cpv_code10","cpv_code11","cpv_code12","cpv_code13","cpv_code14","cpv_code15","cpv_code16","cpv_code17","cpv_code18","cpv_code19","cpv_code20","cpv_code21","cpv_code22","cpv_code23","cpv_code24","cpv_code25","cpv_code26","cpv_code27","cpv_code28"
"AA Projects Ltd","9000","EARLY HELP AND SCHOOLS","71315300|73220000","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Acorn Recovery Projects","5790","PUBLIC HEALTH","98000000","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Acorn Recovery Projects","8910","CUSTOMERS & CORPORATE SERVICES","98000000","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Addleshaw Goddard LLP","20407.5","CUSTOMERS & CORPORATE SERVICES","79100000|79110000","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aebi Schmidt UK Limited","422114","ECONOMY AND ENVIRONMENT","34144430|34144440|34921100","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aecom Infrastructure and Environment UK Ltd","40867.8","ECONOMY AND ENVIRONMENT","71250000|71311210","|71315000","|71312000","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aecom Infrastructure and Environment UK Ltd","13404.7","ECONOMY AND ENVIRONMENT","71250000|71311210","|71315000","|71312000","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aecom Infrastructure and Environment UK Ltd","45108.4","ECONOMY AND ENVIRONMENT","71250000|71311210","|71315000","|71312000","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aecom Infrastructure and Environment UK Ltd","18195.6","ECONOMY AND ENVIRONMENT","71250000|71311210","|71315000","|71312000","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aecom Infrastructure and Environment UK Ltd","26124.6","ECONOMY AND ENVIRONMENT","71250000|71311210","|71315000","|71312000","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aecom Infrastructure and Environment UK Ltd","17011.2","NEIGHBOURHOODS AND ENVIRONMENT","71250000|71311210","|71315000","|71312000","","","","","","","","","","","","","","","","","","","","","","","","",""
