"supplier_name","po_value","pro_class_description","cpv_code1","cpv_code2","cpv_code3","cpv_code4","cpv_code5","cpv_code6","cpv_code7","cpv_code8","cpv_code9","cpv_code10","cpv_code11","cpv_code12","cpv_code13","cpv_code14","cpv_code15","cpv_code16","cpv_code17","cpv_code18","cpv_code19","cpv_code20","cpv_code21","cpv_code22","cpv_code23","cpv_code24","cpv_code25","cpv_code26","cpv_code27","cpv_code28"
"Access Independent","8400","Human Resources Temporary & Agency Staff ","98000000","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Access Independent","13155","Human Resources Temporary & Agency Staff ","98000000","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Access Independent","25000","Human Resources Temporary & Agency Staff ","98000000","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Acorn Recovery Projects","2448","Human Resources Training & Conferences ","98000000","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Acorn Recovery Projects","2488","Human Resources Training & Conferences ","98000000","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Acorn Recovery Projects","2488","Human Resources Training & Conferences ","98000000","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Acorn Recovery Projects","2488","Human Resources Training & Conferences ","98000000","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Acorn Recovery Projects","612","Human Resources Training & Conferences ","98000000","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Acorn Recovery Projects","612","Human Resources Training & Conferences ","98000000","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Acorn Recovery Projects","612","Human Resources Training & Conferences ","98000000","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Acorn Recovery Projects","4590","Human Resources Training & Conferences ","98000000","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Acorn Recovery Projects","4590","Human Resources Training & Conferences ","98000000","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Acorn Recovery Projects","4590","Human Resources Training & Conferences ","98000000","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Acorn Recovery Projects","1147.5","Human Resources Training & Conferences ","98000000","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Acorn Recovery Projects","1147.5","Human Resources Training & Conferences ","98000000","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Acorn Recovery Projects","1147.5","Human Resources Training & Conferences ","98000000","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Acorn Recovery Projects","5850","Human Resources Training & Conferences ","98000000","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Acorn Recovery Projects","3600","Human Resources Training & Conferences ","98000000","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Acorn Recovery Projects","2100","Human Resources Training & Conferences ","98000000","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Adoption UK","7700","Consultancy   ","85000000","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AECOM Limited","35251.3","Consultancy   ","45000000|71000000|71200000|71240000|71313400|71314200|71352100|71356000|71530000|72224000|73000000|75211200","|71300000|71313430|71314300|79000000|79415200","|71313450|71500000|98000000","|71313420|71800000","|90000000","","","","","","","","","","","","","","","","","","","","","","",""
"AECOM LIMITED","29211.3","Consultancy   ","45000000|71000000|71200000|71240000|71313400|71314200|71352100|71356000|71530000|72224000|73000000|75211200","|71300000|71313430|71314300|79000000|79415200","|71313450|71500000|98000000","|71313420|71800000","|90000000","","","","","","","","","","","","","","","","","","","","","","",""
"AECOM Limited","17968","Consultancy   ","45000000|71000000|71200000|71240000|71313400|71314200|71352100|71356000|71530000|72224000|73000000|75211200","|71300000|71313430|71314300|79000000|79415200","|71313450|71500000|98000000","|71313420|71800000","|90000000","","","","","","","","","","","","","","","","","","","","","","",""
"AECOM Limited","41600","Consultancy   ","45000000|71000000|71200000|71240000|71313400|71314200|71352100|71356000|71530000|72224000|73000000|75211200","|71300000|71313430|71314300|79000000|79415200","|71313450|71500000|98000000","|71313420|71800000","|90000000","","","","","","","","","","","","","","","","","","","","","","",""
"AECOM Limited","24813.2","Consultancy   ","45000000|71000000|71200000|71240000|71313400|71314200|71352100|71356000|71530000|72224000|73000000|75211200","|71300000|71313430|71314300|79000000|79415200","|71313450|71500000|98000000","|71313420|71800000","|90000000","","","","","","","","","","","","","","","","","","","","","","",""
"AECOM Limited","8667","Consultancy   ","45000000|71000000|71200000|71240000|71313400|71314200|71352100|71356000|71530000|72224000|73000000|75211200","|71300000|71313430|71314300|79000000|79415200","|71313450|71500000|98000000","|71313420|71800000","|90000000","","","","","","","","","","","","","","","","","","","","","","",""
"AECOM Limited","8310","Consultancy   ","45000000|71000000|71200000|71240000|71313400|71314200|71352100|71356000|71530000|72224000|73000000|75211200","|71300000|71313430|71314300|79000000|79415200","|71313450|71500000|98000000","|71313420|71800000","|90000000","","","","","","","","","","","","","","","","","","","","","","",""
"Aecom Limited","15878","Consultancy   ","45000000|71000000|71200000|71240000|71313400|71314200|71352100|71356000|71530000|72224000|73000000|75211200","|71300000|71313430|71314300|79000000|79415200","|71313450|71500000|98000000","|71313420|71800000","|90000000","","","","","","","","","","","","","","","","","","","","","","",""
"AECOM Limited","19278","Consultancy   ","45000000|71000000|71200000|71240000|71313400|71314200|71352100|71356000|71530000|72224000|73000000|75211200","|71300000|71313430|71314300|79000000|79415200","|71313450|71500000|98000000","|71313420|71800000","|90000000","","","","","","","","","","","","","","","","","","","","","","",""
"AECOM Limited","9916","Consultancy   ","45000000|71000000|71200000|71240000|71313400|71314200|71352100|71356000|71530000|72224000|73000000|75211200","|71300000|71313430|71314300|79000000|79415200","|71313450|71500000|98000000","|71313420|71800000","|90000000","","","","","","","","","","","","","","","","","","","","","","",""
"AECOM LIMITED","12442.5","Consultancy   ","45000000|71000000|71200000|71240000|71313400|71314200|71352100|71356000|71530000|72224000|73000000|75211200","|71300000|71313430|71314300|79000000|79415200","|71313450|71500000|98000000","|71313420|71800000","|90000000","","","","","","","","","","","","","","","","","","","","","","",""
"AECOM Limited","23187","Consultancy   ","45000000|71000000|71200000|71240000|71313400|71314200|71352100|71356000|71530000|72224000|73000000|75211200","|71300000|71313430|71314300|79000000|79415200","|71313450|71500000|98000000","|71313420|71800000","|90000000","","","","","","","","","","","","","","","","","","","","","","",""
"AECOM Limited","5000","Consultancy   ","45000000|71000000|71200000|71240000|71313400|71314200|71352100|71356000|71530000|72224000|73000000|75211200","|71300000|71313430|71314300|79000000|79415200","|71313450|71500000|98000000","|71313420|71800000","|90000000","","","","","","","","","","","","","","","","","","","","","","",""
"AECOM LIMITED","34684","Consultancy   ","45000000|71000000|71200000|71240000|71313400|71314200|71352100|71356000|71530000|72224000|73000000|75211200","|71300000|71313430|71314300|79000000|79415200","|71313450|71500000|98000000","|71313420|71800000","|90000000","","","","","","","","","","","","","","","","","","","","","","",""
"AECOM Limited","0","Consultancy   ","45000000|71000000|71200000|71240000|71313400|71314200|71352100|71356000|71530000|72224000|73000000|75211200","|71300000|71313430|71314300|79000000|79415200","|71313450|71500000|98000000","|71313420|71800000","|90000000","","","","","","","","","","","","","","","","","","","","","","",""
"AECOM Limited","35487.4","Works - Construction, Repair & Maintenance Engineering ","45000000|71000000|71200000|71240000|71313400|71314200|71352100|71356000|71530000|72224000|73000000|75211200","|71300000|71313430|71314300|79000000|79415200","|71313450|71500000|98000000","|71313420|71800000","|90000000","","","","","","","","","","","","","","","","","","","","","","",""
"AECOM Limited","7750","Consultancy   ","45000000|71000000|71200000|71240000|71313400|71314200|71352100|71356000|71530000|72224000|73000000|75211200","|71300000|71313430|71314300|79000000|79415200","|71313450|71500000|98000000","|71313420|71800000","|90000000","","","","","","","","","","","","","","","","","","","","","","",""
"AECOM LIMITED","41284","Consultancy   ","45000000|71000000|71200000|71240000|71313400|71314200|71352100|71356000|71530000|72224000|73000000|75211200","|71300000|71313430|71314300|79000000|79415200","|71313450|71500000|98000000","|71313420|71800000","|90000000","","","","","","","","","","","","","","","","","","","","","","",""
