Supplier_Name,OrderNumber,OrderDate,ItemDeliveryDate,SupplierCode,LineValue,Order Value,CostCentre,Description,
Grant Thornton Uk Llp                                                                     ,P020354   ,2020-04-30,2020-05-07,9260066,39132,39132,Public Accountability                                                                                                                                                                                   ,Scale Fee for external audit 2020/21 as per P                                                                                                                                                                                                                                                               ,
Exeter City Council                                                                       ,P020346   ,2020-04-29,2020-05-06,111139,15000,15000,Water Safety                                                                                                                                                                                            ,contribution to patrol boat                                                                                                                                                                                                                                                                                 ,
Strata Service Solutions Ltd                                                              ,P020337   ,2020-04-28,2020-05-01,265114,9422,14882,Supervision And Mgt General                                                                                                                                                                             ,Capital Housing roject                                                                                                                                                                                                                                                                                      ,
Strata Service Solutions Ltd                                                              ,P020337   ,2020-04-28,2020-05-01,265114,1345,14882,Capital Comms Business System                                                                                                                                                                           ,Capital - HR Convergence                                                                                                                                                                                                                                                                                    ,
Strata Service Solutions Ltd                                                              ,P020337   ,2020-04-28,2020-05-01,265114,4114,14882,Capital Comms Business System                                                                                                                                                                           ,Capital Legal & Claims Management convergence                                                                                                                                                                                                                                                               ,
Capita Business Services Ltd                                                              ,P020322   ,2020-04-23,2020-04-30,466433,6093,6093,Hsg And Council Tax Admin                                                                                                                                                                               ,DWP LA Data Sharing Programme: IT Costs for w                                                                                                                                                                                                                                                               ,
Craemer                                                                                   ,P020316   ,2020-04-23,2020-05-21,607800,14576,14726,Refuse Collection & Recycling                                                                                                                                                                           ,180L two wheeled bin in grey - New East Devon                                                                                                                                                                                                                                                               ,
Craemer                                                                                   ,P020316   ,2020-04-23,2020-05-21,607800,150,14726,Refuse Collection & Recycling                                                                                                                                                                           ,New art work print plates                                                                                                                                                                                                                                                                                   ,
Action East Devon                                                                         ,P020311   ,2020-04-22,2020-04-29,337633,10000,10000,Strategic Devm'T & P'Ship Mgmt                                                                                                                                                                          ,Action East Devon Annual Contribution                                                                                                                                                                                                                                                                       ,
Devon County Council                                                                      ,P020309   ,2020-04-22,2020-04-28,103012,10700,10700,Planning Administration                                                                                                                                                                                 ,Devon County Council - Gemma Bailey                                                                                                                                                                                                                                                                         ,
Andrew Hopkins Consulting Ltd                                                             ,P020291   ,2020-04-20,2020-04-27,668928,16000,16000,Org Development Services                                                                                                                                                                                ,Consultancy work - Communications                                                                                                                                                                                                                                                                           ,
Tunstall Healthcare Ltd                                                                   ,P020287   ,2020-04-20,2020-04-22,IF000747  ,9900,9939,Homesafeguard                                                                                                                                                                                           ,Telecare Equipment - Lifeline Vi & MyAmie pro                                                                                                                                                                                                                                                               ,
Tunstall Healthcare Ltd                                                                   ,P020287   ,2020-04-20,2020-04-22,IF000747  ,39,9939,Homesafeguard                                                                                                                                                                                           ,Telecare Equipment -MyAmie Easy press adaptor                                                                                                                                                                                                                                                               ,
Latcham Direct                                                                            ,P020283   ,2020-04-17,2020-04-18,118200,7841,7841,Corporate Activities                                                                                                                                                                                    ,Exmouth Covid 19 Mailing                                                                                                                                                                                                                                                                                    ,
Teignbridge District Council                                                              ,P020280   ,2020-04-17,2020-04-24,361101,14908,14908,Financial Services                                                                                                                                                                                      ,TDC Shared insurance services 2020-21                                                                                                                                                                                                                                                                       ,
Homemaker (South West)                                                                    ,P020268   ,2020-04-17,2020-04-24,HOME 001  ,7500,7500,Supervision And Mgt General                                                                                                                                                                             ,Homemaker South West Q1 - 20/21 April-June20                                                                                                                                                                                                                                                                ,
Strata Service Solutions Ltd                                                              ,P020264   ,2020-04-16,2020-04-23,265114,60000,60000,Ict Services                                                                                                                                                                                            ,Access & Mobile phone charges 2020-21                                                                                                                                                                                                                                                                       ,
The Crown Estate- Knight Frank Coastal Rental                                             ,P020232   ,2020-04-14,2020-04-21,767921,8250,8250,Beaches & Foreshores                                                                                                                                                                                    ,Crown Estate - lease for Foreshore & Bed Exe                                                                                                                                                                                                                                                                ,
Ian Williams Ltd                                                                          ,P020219   ,2020-04-09,2020-04-10,328071,1422220,1422220,Supervision And Mgt General                                                                                                                                                                             ,PPP Annual value for Ian Williams                                                                                                                                                                                                                                                                           ,
Kohler Mira Ltd                                                                           ,P020217   ,2020-04-09,2021-03-31,904403,517,5627,Sports Centres And Swim Pools                                                                                                                                                                           ,Axminster Sports Centre - Annual TMV Service                                                                                                                                                                                                                                                                ,
Kohler Mira Ltd                                                                           ,P020217   ,2020-04-09,2021-03-31,904403,220,5627,Sports Centres And Swim Pools                                                                                                                                                                           ,Broadclyst Sports Centre - Annual TMV Service                                                                                                                                                                                                                                                               ,
Kohler Mira Ltd                                                                           ,P020217   ,2020-04-09,2021-03-31,904403,299,5627,Sports Centres And Swim Pools                                                                                                                                                                           ,Colyton Sports Centre - Annual TMV Service                                                                                                                                                                                                                                                                  ,
