Supplier_Name,OrderNumber,OrderDate,ItemDeliveryDate,SupplierCode,LineValue,Order Value,CostCentre,Description
Ward Williams Associates                                                                  ,PS02300   ,2016-08-22,2016-10-03,250480,9000,9000,Capital Flood Alleviation Sch                                                                                                                                                                           ,Feniton Flood Alleviationn Scheme Phase 3 Con                                                                                                                                                                                                                                                               
Torbay Development Agency                                                                 ,PS02282   ,2016-08-11,2016-09-30,207865,25000,25000,Property And Estates Services                                                                                                                                                                           ,TDA Property & Estates support services April                                                                                                                                                                                                                                                               
Churchill Environmental Services                                                          ,PS02227   ,2016-07-04,2016-10-31,760055,312,8327,Sports Grounds                                                                                                                                                                                          ,Allhallows CR - legionella monitoring July to                                                                                                                                                                                                                                                               
Churchill Environmental Services                                                          ,PS02227   ,2016-07-04,2016-10-31,760055,522,8327,Sports Centres And Swim Pools                                                                                                                                                                           ,Ax LC - legionella monitoring July to October                                                                                                                                                                                                                                                               
Churchill Environmental Services                                                          ,PS02227   ,2016-07-04,2016-10-31,760055,280,8327,Sports Centres And Swim Pools                                                                                                                                                                           ,Broad LC - legionella monitoring July to Octo                                                                                                                                                                                                                                                               
Churchill Environmental Services                                                          ,PS02227   ,2016-07-04,2016-10-31,760055,168,8327,Corporate Buildings                                                                                                                                                                                     ,Camperdown Depot - legionella monitoring July                                                                                                                                                                                                                                                               
Churchill Environmental Services                                                          ,PS02227   ,2016-07-04,2016-10-31,760055,564,8327,Sports Centres And Swim Pools                                                                                                                                                                           ,Colyton LC - legionella monitoring July to Oc                                                                                                                                                                                                                                                               
Churchill Environmental Services                                                          ,PS02227   ,2016-07-04,2016-10-31,760055,88,8327,Public Conveniences                                                                                                                                                                                     ,East End PC - legionella monitoring July to O                                                                                                                                                                                                                                                               
Churchill Environmental Services                                                          ,PS02227   ,2016-07-04,2016-10-31,760055,120,8327,Economic Development                                                                                                                                                                                    ,EDBC - legionella monitoring July to October                                                                                                                                                                                                                                                                
Churchill Environmental Services                                                          ,PS02227   ,2016-07-04,2016-10-31,760055,392,8327,Sports Centres And Swim Pools                                                                                                                                                                           ,EDTC - legionella monitoring July to October                                                                                                                                                                                                                                                                
Churchill Environmental Services                                                          ,PS02227   ,2016-07-04,2016-10-31,760055,667,8327,Sports Centres And Swim Pools                                                                                                                                                                           ,EX LC - legionella monitoring July to October                                                                                                                                                                                                                                                               
Churchill Environmental Services                                                          ,PS02227   ,2016-07-04,2016-10-31,760055,256,8327,Sports Centres And Swim Pools                                                                                                                                                                           ,Ex Pav - legionella monitoring July to Octobe                                                                                                                                                                                                                                                               
Churchill Environmental Services                                                          ,PS02227   ,2016-07-04,2016-10-31,760055,88,8327,Corporate Buildings                                                                                                                                                                                     ,Ex TH - legionella monitoring July to October                                                                                                                                                                                                                                                               
Churchill Environmental Services                                                          ,PS02227   ,2016-07-04,2016-10-31,760055,140,8327,Beaches & Foreshores                                                                                                                                                                                    ,Foxholes Chalets - legionella monitoring July                                                                                                                                                                                                                                                               
Churchill Environmental Services                                                          ,PS02227   ,2016-07-04,2016-10-31,760055,358,8327,Sports Centres And Swim Pools                                                                                                                                                                           ,Hon LC - legionella monitoring July to Octobe                                                                                                                                                                                                                                                               
Churchill Environmental Services                                                          ,PS02227   ,2016-07-04,2016-10-31,760055,381,8327,Sports Centres And Swim Pools                                                                                                                                                                           ,Hon Pool - legionella monitoring July to Octo                                                                                                                                                                                                                                                               
Churchill Environmental Services                                                          ,PS02227   ,2016-07-04,2016-10-31,760055,26,8327,Public Conveniences                                                                                                                                                                                     ,Jarvis Close PC - legionella monitoring July                                                                                                                                                                                                                                                                
Churchill Environmental Services                                                          ,PS02227   ,2016-07-04,2016-10-31,760055,213,8327,Corporate Buildings                                                                                                                                                                                     ,Knowle - legionella monitoring July to Octobe                                                                                                                                                                                                                                                               
Churchill Environmental Services                                                          ,PS02227   ,2016-07-04,2016-10-31,760055,119,8327,Public Halls                                                                                                                                                                                            ,Manor Pav - legionella monitoring July to Oct                                                                                                                                                                                                                                                               
Churchill Environmental Services                                                          ,PS02227   ,2016-07-04,2016-10-31,760055,231,8327,Corporate Buildings                                                                                                                                                                                     ,Manstone Depot - legionella monitoring July t                                                                                                                                                                                                                                                               
Churchill Environmental Services                                                          ,PS02227   ,2016-07-04,2016-10-31,760055,620,8327,Sports Centres And Swim Pools                                                                                                                                                                           ,Ottery LC - legionella monitoring July to Oct                                                                                                                                                                                                                                                               
Churchill Environmental Services                                                          ,PS02227   ,2016-07-04,2016-10-31,760055,188,8327,Parks And Pleasure Grounds                                                                                                                                                                              ,Phear Park Bowls - legionella monitoring July                                                                                                                                                                                                                                                               
Churchill Environmental Services                                                          ,PS02227   ,2016-07-04,2016-10-31,760055,26,8327,Public Conveniences                                                                                                                                                                                     ,Phear Park PC - legionella monitoring July to                                                                                                                                                                                                                                                               
Churchill Environmental Services                                                          ,PS02227   ,2016-07-04,2016-10-31,760055,188,8327,Public Conveniences                                                                                                                                                                                     ,Port Royal PC - legionella monitoring July to                                                                                                                                                                                                                                                               
Churchill Environmental Services                                                          ,PS02227   ,2016-07-04,2016-10-31,760055,516,8327,Sports Grounds                                                                                                                                                                                          ,Sidford CR - legionella monitoring July to Oc                                                                                                                                                                                                                                                               
Churchill Environmental Services                                                          ,PS02227   ,2016-07-04,2016-10-31,760055,456,8327,Sports Centres And Swim Pools                                                                                                                                                                           ,Sid LC - legionella monitoring July to Octobe                                                                                                                                                                                                                                                               
Churchill Environmental Services                                                          ,PS02227   ,2016-07-04,2016-10-31,760055,72,8327,Public Conveniences                                                                                                                                                                                     ,Sid Memorial Hall PC - legionella monitoring                                                                                                                                                                                                                                                                
Churchill Environmental Services                                                          ,PS02227   ,2016-07-04,2016-10-31,760055,408,8327,Sports Centres And Swim Pools                                                                                                                                                                           ,Sid Pool - legionella monitoring July to Octo                                                                                                                                                                                                                                                               
Churchill Environmental Services                                                          ,PS02227   ,2016-07-04,2016-10-31,760055,96,8327,Public Halls                                                                                                                                                                                            ,STH - legionella monitoring July to October                                                                                                                                                                                                                                                                 
Churchill Environmental Services                                                          ,PS02227   ,2016-07-04,2016-10-31,760055,120,8327,Public Conveniences                                                                                                                                                                                     ,West Walk PC - legionella monitoring July to                                                                                                                                                                                                                                                                
Churchill Environmental Services                                                          ,PS02227   ,2016-07-04,2016-10-31,760055,480,8327,Sports Grounds                                                                                                                                                                                          ,Withy Common CR - legionella monitoring July                                                                                                                                                                                                                                                                
Churchill Environmental Services                                                          ,PS02227   ,2016-07-04,2016-10-31,760055,121,8327,Corporate Buildings                                                                                                                                                                                     ,Younghayes Centre - legionella monitoring Jul                                                                                                                                                                                                                                                               
Fws Carter & Sons Ltd                                                                     ,PS02212   ,2016-06-27,2017-03-31,99442,114187,114187,Refuse Collection & Recycling                                                                                                                                                                           ,Greendale Compound 42 Rent 2016/17                                                                                                                                                                                                                                                                          
