Supplier_Name,OrderNumber,OrderDate,ItemDeliveryDate,SupplierCode,LineValue,Order Value,CostCentre,Description
Civica Election Services                                                                  ,P021212   ,2020-08-28,2020-09-04,83658909  ,15538,19198,Elections                                                                                                                                                                                               ,Canvass Forms CCA/CCB - Postage                                                                                                                                                                                                                                                                             
Civica Election Services                                                                  ,P021212   ,2020-08-28,2020-09-04,83658909  ,3659,19198,Elections                                                                                                                                                                                               ,Canvass Forms CCA/CCB - Printing                                                                                                                                                                                                                                                                            
Devon Investigations Ltd                                                                  ,P021200   ,2020-08-27,2020-09-03,022876    ,6883,6883,Sports Grounds                                                                                                                                                                                          ,Removal of travellers from Allhallows Playing                                                                                                                                                                                                                                                               
Suez Recycling & Recovery Uk Limited                                                      ,P021198   ,2020-08-26,2020-09-02,562017    ,6447,6447,Refuse Collection & Recycling                                                                                                                                                                           ,Monthly Driver's Rate Uplift Aug 2020                                                                                                                                                                                                                                                                       
Leaseplan Uk Ltd T/A Automotive Leasing Ltd                                               ,P021183   ,2020-08-25,2020-09-01,513539    ,3759,7366,Aonb And Countryside                                                                                                                                                                                    ,FT19 NXK Annual rental Aug 20 - July 21                                                                                                                                                                                                                                                                     
Leaseplan Uk Ltd T/A Automotive Leasing Ltd                                               ,P021183   ,2020-08-25,2020-09-01,513539    ,3607,7366,Street Cleansing                                                                                                                                                                                        ,FT19 NXL Annual rental 2020/21                                                                                                                                                                                                                                                                              
Wsp Uk Ltd                                                                                ,P021149   ,2020-08-20,2020-08-21,318610    ,27218,27218,Growth Point                                                                                                                                                                                            ,Cranbrook HN Feasibility Study                                                                                                                                                                                                                                                                              
Scarab Sweepers Ltd                                                                       ,P021135   ,2020-08-19,2020-08-26,000086    ,5915,5915,Street Cleansing                                                                                                                                                                                        ,Supply and  replace transmission box Scarab m                                                                                                                                                                                                                                                               
Stephen J Pratten                                                                         ,P021126   ,2020-08-18,2020-08-24,014602    ,4866,8314,Capital Corp Build And Securty                                                                                                                                                                          ,Provision of Project Management Services                                                                                                                                                                                                                                                                    
Stephen J Pratten                                                                         ,P021126   ,2020-08-18,2020-08-24,014602    ,2162,8314,Property And Estates Services                                                                                                                                                                           ,Provision of Project Management Services                                                                                                                                                                                                                                                                    
Stephen J Pratten                                                                         ,P021126   ,2020-08-18,2020-08-24,014602    ,1261,8314,Sports Grounds                                                                                                                                                                                          ,Provision of Project Management Services                                                                                                                                                                                                                                                                    
Mgb Plastics                                                                              ,P021115   ,2020-08-17,2020-08-21,362448    ,7140,7140,Refuse Collection & Recycling                                                                                                                                                                           ,240L Green Wheeled Bins with RFID/Serial numb                                                                                                                                                                                                                                                               
Contract Security Services Ltd                                                            ,P021113   ,2020-08-14,2020-08-15,6534P     ,3175,6700,Car Parks                                                                                                                                                                                               ,58775                                                                                                                                                                                                                                                                                                       
Contract Security Services Ltd                                                            ,P021113   ,2020-08-14,2020-08-19,6534P     ,3525,6700,Car Parks                                                                                                                                                                                               ,58913                                                                                                                                                                                                                                                                                                       
Capita Business Services Ltd                                                              ,P021098   ,2020-08-12,2020-08-19,466433    ,6766,6766,Hsg And Council Tax Admin                                                                                                                                                                               ,COVID-19 HARDSHIP FUND SOFTWARE CHANGES                                                                                                                                                                                                                                                                     
J & H M Dickson Ltd                                                                       ,P021091   ,2020-08-12,2020-08-18,430244    ,5480,5480,Refuse Collection & Recycling                                                                                                                                                                           ,180L Black Gull Proof sack (Usual East Devon                                                                                                                                                                                                                                                                
Advanced Business Solutions                                                               ,P021089   ,2020-08-11,2020-08-18,601331    ,1166,32042,Ict Services                                                                                                                                                                                            ,CIS Gateway SaaS Service 01/09/2020 - 31/08/2                                                                                                                                                                                                                                                               
Advanced Business Solutions                                                               ,P021089   ,2020-08-11,2020-08-18,601331    ,32042,32042,Ict Services                                                                                                                                                                                            ,efinancials upgrade costs                                                                                                                                                                                                                                                                                   
Rainbow International                                                                     ,P021051   ,2020-08-06,2020-09-04,830688    ,7008,7008,Sports Centres And Swim Pools                                                                                                                                                                           ,Further to your Job Report: 997968 dated 6 Au                                                                                                                                                                                                                                                               
Yeomans                                                                                   ,P021038   ,2020-08-06,2020-08-07,473227    ,315,12316,Growth Point                                                                                                                                                                                            ,1st Reg & RFL for Citroen Berlingo                                                                                                                                                                                                                                                                          
Yeomans                                                                                   ,P021038   ,2020-08-06,2020-08-07,473227    ,12001,12316,Growth Point                                                                                                                                                                                            ,Citroen Berlingo M BHDI 75 1000 Worker, Polar                                                                                                                                                                                                                                                               
Hako Machines Limited                                                                     ,P021027   ,2020-08-05,2020-08-12,825604    ,6828,6828,Street Cleansing                                                                                                                                                                                        ,Repair of Hako WA68EBC                                                                                                                                                                                                                                                                                      
Lex Autolease Ltd.                                                                        ,NP03846   ,2020-08-14,2020-08-18,540072    ,3897,7794,Car Parks                                                                                                                                                                                               ,BK20 GCX Annual rental 2020/21                                                                                                                                                                                                                                                                              
Lex Autolease Ltd.                                                                        ,NP03846   ,2020-08-14,2020-08-18,540072    ,3897,7794,Car Parks                                                                                                                                                                                               ,BK20 GKX Annual rental 2020/21                                                                                                                                                                                                                                                                              
