Supplier_Name,OrderNumber,OrderDate,ItemDeliveryDate,SupplierCode,LineValue,Order Value,CostCentre,Description
South West Water Services Ltd                                                             ,PS02021   ,2016-02-23,2017-03-31,102181    ,1500,17750,Economic Development                                                                                                                                                                                    ,EDBC SWW water and sewerage charges 2016/17                                                                                                                                                                                                                                                                 
South West Water Services Ltd                                                             ,PS02021   ,2016-02-23,2017-03-31,102181    ,1500,17750,Corporate Buildings                                                                                                                                                                                     ,Exmouth Town Hall SWW water and sewerage char                                                                                                                                                                                                                                                               
South West Water Services Ltd                                                             ,PS02021   ,2016-02-23,2017-03-31,102181    ,10000,17750,Corporate Buildings                                                                                                                                                                                     ,Kno SWW water and sewerage charges 2016/17                                                                                                                                                                                                                                                                  
South West Water Services Ltd                                                             ,PS02021   ,2016-02-23,2017-03-31,102181    ,2200,17750,Public Halls                                                                                                                                                                                            ,Manor Pavilion Theatre SWW water and sewerage                                                                                                                                                                                                                                                               
South West Water Services Ltd                                                             ,PS02021   ,2016-02-23,2017-03-31,102181    ,1150,17750,Public Halls                                                                                                                                                                                            ,STH SWW water and sewerage charges 2016/17                                                                                                                                                                                                                                                                  
South West Water Services Ltd                                                             ,PS02021   ,2016-02-23,2017-03-31,102181    ,400,17750,Arts Development                                                                                                                                                                                        ,THG/Elmfield House SWW water and sewerage cha                                                                                                                                                                                                                                                               
South West Water Services Ltd                                                             ,PS02021   ,2016-02-23,2017-03-31,102181    ,1000,17750,Corporate Buildings                                                                                                                                                                                     ,Younghayes SWW water and sewerage charges 201                                                                                                                                                                                                                                                               
Ftec                                                                                      ,PS02019   ,2016-02-23,2016-03-11,438517    ,8000,8000,Sports Centres And Swim Pools                                                                                                                                                                           ,Exmouth Tennis Centre-Replacement of gas fire                                                                                                                                                                                                                                                               
Lex Autolease Ltd.                                                                        ,P006917   ,2016-02-26,2016-08-03,540072    ,2786,13931,Property And Estates Services                                                                                                                                                                           ,2016/17 Ford Transit Custom L1 Year 1                                                                                                                                                                                                                                                                       
Lex Autolease Ltd.                                                                        ,P006916   ,2016-02-26,2016-08-01,540072    ,2786,13931,Street Scene Support Services                                                                                                                                                                           ,2016/17 Ford Transit Custom L1                                                                                                                                                                                                                                                                              
Alphabet (Gb) Limited                                                                     ,P006914   ,2016-02-26,2016-07-03,300401    ,3396,17225,Street Scene Support Services                                                                                                                                                                           ,2016/17 Toyota Hilux Double Cab Year 1                                                                                                                                                                                                                                                                      
Alphabet (Gb) Limited                                                                     ,P006913   ,2016-02-26,2016-07-05,300401    ,3832,19529,Parks And Pleasure Grounds                                                                                                                                                                              ,2016/17 Toyota Hilux Extra Cab Year 1                                                                                                                                                                                                                                                                       
Alphabet (Gb) Limited                                                                     ,P006912   ,2016-02-26,2016-07-07,300401    ,3326,16783,Street Cleansing                                                                                                                                                                                        ,2016/17 Toyota Hilux Single Cab Year 1                                                                                                                                                                                                                                                                      
Lex Autolease Ltd.                                                                        ,P006911   ,2016-02-26,2016-07-22,540072    ,2708,13543,Property And Estates Services                                                                                                                                                                           ,2016/17 Ford Transit Connect 240 L2                                                                                                                                                                                                                                                                         
Alphabet (Gb) Limited                                                                     ,P006910   ,2016-02-26,2016-07-03,300401    ,3396,17225,Street Scene Support Services                                                                                                                                                                           ,2016/17 Toyota Hilux Double Cab Year 1                                                                                                                                                                                                                                                                      
Celtic Rock Services Ltd                                                                  ,P006905   ,2016-02-25,2016-05-31,265195    ,24000,24000,Capital Parks And Pleasure Grn                                                                                                                                                                          ,Sidmouth Connaught Gardens Railings                                                                                                                                                                                                                                                                         
Devon County Council                                                                      ,P006895   ,2016-02-25,2016-03-02,103012    ,10000,10000,Crime And Disorder                                                                                                                                                                                      ,Safer Devon Partnership - In respect of the P                                                                                                                                                                                                                                                               
Kennaway House Ltd                                                                        ,P006854   ,2016-02-18,2016-02-24,515551    ,5330,5330,Aonb And Countryside                                                                                                                                                                                    ,Office Accommodation @ Kennaway House - East                                                                                                                                                                                                                                                                
Devon County Council                                                                      ,P006840   ,2016-02-16,2016-02-17,103012    ,13000,13000,Aonb And Countryside                                                                                                                                                                                    ,Collate Lidar Data for NMP: ED and BH River C                                                                                                                                                                                                                                                               
Proludic Ltd                                                                              ,P006819   ,2016-02-12,2016-04-22,823980    ,39100,39100,Tax & Nonspecific Grant Income                                                                                                                                                                          ,Hayes Square play area Cranbrook.                                                                                                                                                                                                                                                                           
Capita Treasury Solutions Ltd                                                             ,P006757   ,2016-02-03,2016-02-04,203728    ,22500,22500,Refuse Collection & Recycling                                                                                                                                                                           ,Waste Consultancy Services re Financing                                                                                                                                                                                                                                                                     
Johnston Sweepers Ltd                                                                     ,P006741   ,2016-02-01,2016-02-03,838128    ,860,25668,Street Cleansing                                                                                                                                                                                        ,2015/16 Johnston Sweeper C101 Maintenance Con                                                                                                                                                                                                                                                               
Johnston Sweepers Ltd                                                                     ,P006741   ,2016-02-01,2017-02-03,838128    ,5126,25668,Street Cleansing                                                                                                                                                                                        ,2016/17 Johnston Sweeper C101 Maintenance Con                                                                                                                                                                                                                                                               
Lex Autolease Ltd.                                                                        ,P006735   ,2016-02-01,2016-07-01,540072    ,2848,14242,Parks And Pleasure Grounds                                                                                                                                                                              ,2016/17 Ford Transit 330 L2 Diesel FWD                                                                                                                                                                                                                                                                      
