Supplier_Name,OrderNumber,OrderDate,ItemDeliveryDate,SupplierCode,LineValue,Order Value,CostCentre,Description
Underhill Building Services Ltd                                                           ,P006716   ,2016-01-29,2016-03-25,549534,26341,26341,Capital Public Halls Pavilion                                                                                                                                                                           ,Exmouth Pavilion - Reception Alterations                                                                                                                                                                                                                                                                    
Johnston Sweepers Ltd                                                                     ,P006697   ,2016-01-26,2016-02-02,838128,1088,32653,Street Cleansing                                                                                                                                                                                        ,2015/16 Johnson Sweeper Contract C201 E6                                                                                                                                                                                                                                                                    
Johnston Sweepers Ltd                                                                     ,P006697   ,2016-01-26,2017-02-02,838128,6530,32653,Street Cleansing                                                                                                                                                                                        ,2016/17 Johnson Sweeper Contract C201 E6                                                                                                                                                                                                                                                                    
Kpmg Llp                                                                                  ,P006696   ,2016-01-26,2016-01-27,408515,12705,14885,Public Accountability                                                                                                                                                                                   ,Q4 Audit Fee to 31 March 2016                                                                                                                                                                                                                                                                               
Kpmg Llp                                                                                  ,P006696   ,2016-01-26,2016-01-27,408515,2180,14885,Hsg And Council Tax Admin                                                                                                                                                                               ,Q4 HB Grant Certification Work                                                                                                                                                                                                                                                                              
Interserve Fs (Uk) Ltd                                                                    ,P006687   ,2016-01-25,2016-04-29,6012203,267,13717,Sports Centres And Swim Pools                                                                                                                                                                           ,Ax LC - ductwork cleaning 2016                                                                                                                                                                                                                                                                              
Interserve Fs (Uk) Ltd                                                                    ,P006687   ,2016-01-25,2016-04-29,6012203,503,13717,Sports Centres And Swim Pools                                                                                                                                                                           ,B LC - ductwork cleaning 2016                                                                                                                                                                                                                                                                               
Interserve Fs (Uk) Ltd                                                                    ,P006687   ,2016-01-25,2016-04-29,6012203,330,13717,Public Conveniences                                                                                                                                                                                     ,Bud Station Rd Toilets - ductwork cleaning 20                                                                                                                                                                                                                                                               
Interserve Fs (Uk) Ltd                                                                    ,P006687   ,2016-01-25,2016-04-29,6012203,641,13717,Economic Development                                                                                                                                                                                    ,EDBC - ductwork cleaning 2016                                                                                                                                                                                                                                                                               
Interserve Fs (Uk) Ltd                                                                    ,P006687   ,2016-01-25,2016-04-29,6012203,3509,13717,Sports Centres And Swim Pools                                                                                                                                                                           ,ELC - ductwork cleaning 2016                                                                                                                                                                                                                                                                                
Interserve Fs (Uk) Ltd                                                                    ,P006687   ,2016-01-25,2016-04-29,6012203,641,13717,Sports Centres And Swim Pools                                                                                                                                                                           ,Ex Pav - ductwork cleaning 2016                                                                                                                                                                                                                                                                             
Interserve Fs (Uk) Ltd                                                                    ,P006687   ,2016-01-25,2016-04-29,6012203,872,13717,Sports Centres And Swim Pools                                                                                                                                                                           ,Ex TC - ductwork cleaning 2016                                                                                                                                                                                                                                                                              
Interserve Fs (Uk) Ltd                                                                    ,P006687   ,2016-01-25,2016-04-29,6012203,1116,13717,Sports Centres And Swim Pools                                                                                                                                                                           ,Hon SP - ductwork cleaning 2016                                                                                                                                                                                                                                                                             
Interserve Fs (Uk) Ltd                                                                    ,P006687   ,2016-01-25,2016-04-29,6012203,261,13717,Public Conveniences                                                                                                                                                                                     ,King Street PC - ductwork cleaning 2016                                                                                                                                                                                                                                                                     
Interserve Fs (Uk) Ltd                                                                    ,P006687   ,2016-01-25,2016-04-29,6012203,261,13717,Public Conveniences                                                                                                                                                                                     ,Manor Gardens PC - ductwork cleaning 2016                                                                                                                                                                                                                                                                   
Interserve Fs (Uk) Ltd                                                                    ,P006687   ,2016-01-25,2016-04-29,6012203,1140,13717,Sports Centres And Swim Pools                                                                                                                                                                           ,Ottery LC - ductwork cleaning 2016                                                                                                                                                                                                                                                                          
Interserve Fs (Uk) Ltd                                                                    ,P006687   ,2016-01-25,2016-04-29,6012203,285,13717,Sports Centres And Swim Pools                                                                                                                                                                           ,Phear Park Cafe - ductwork cleaning 2016                                                                                                                                                                                                                                                                    
Interserve Fs (Uk) Ltd                                                                    ,P006687   ,2016-01-25,2016-04-29,6012203,285,13717,Sports Grounds                                                                                                                                                                                          ,Sidford CR - ductwork cleaning 2016                                                                                                                                                                                                                                                                         
Interserve Fs (Uk) Ltd                                                                    ,P006687   ,2016-01-25,2016-04-29,6012203,1630,13717,Sports Centres And Swim Pools                                                                                                                                                                           ,Sidmouth LC - ductwork cleaning 2016                                                                                                                                                                                                                                                                        
Interserve Fs (Uk) Ltd                                                                    ,P006687   ,2016-01-25,2016-04-29,6012203,1447,13717,Sports Centres And Swim Pools                                                                                                                                                                           ,Sidmouth SP - ductwork cleaning 2016                                                                                                                                                                                                                                                                        
Interserve Fs (Uk) Ltd                                                                    ,P006687   ,2016-01-25,2016-04-29,6012203,261,13717,Public Conveniences                                                                                                                                                                                     ,West Walk PC - ductwork cleaning 2016                                                                                                                                                                                                                                                                       
Interserve Fs (Uk) Ltd                                                                    ,P006687   ,2016-01-25,2016-04-29,6012203,261,13717,Sports Grounds                                                                                                                                                                                          ,Withy Common C R - ductwork cleaning 2016                                                                                                                                                                                                                                                                   
Grant Thornton Uk Llp                                                                     ,P006676   ,2016-01-20,2016-01-27,9260066,10810,10810,Hsg And Council Tax Admin                                                                                                                                                                               ,Audit Fee 2014/15                                                                                                                                                                                                                                                                                           
