Supplier_Name,OrderNumber,OrderDate,ItemDeliveryDate,SupplierCode,LineValue,Order Value,CostCentre,Description
Integral Uk Ltd                                                                           ,PS01584   ,2015-07-28,2015-08-04,278900    ,,12000,Parks And Pleasure Grounds                                                                                                                                                                              ,Phear Park Lodge Exmouth - Central Heating U                                                                                                                                                                                                                                                                
Lex Autolease Ltd.                                                                        ,P005913   ,2015-07-27,2015-08-31,540072    ,,19358,Street Cleansing                                                                                                                                                                                        ,15/16 - Mitsubishi L200 Club Cab                                                                                                                                                                                                                                                                            
C Sansom Ltd                                                                              ,P005908   ,2015-07-23,2015-09-18,363332    ,,7100,Sports Grounds                                                                                                                                                                                          ,Sidford pitches access road.                                                                                                                                                                                                                                                                                
Datatank Limited                                                                          ,P005883   ,2015-07-17,2015-07-24,4111483   ,,15560,Hsg And Council Tax Admin                                                                                                                                                                               ,Datatank - SPD Review Costs                                                                                                                                                                                                                                                                                 
Glasdon U.K. Limited                                                                      ,P005878   ,2015-07-16,2015-08-10,600410    ,,5170,Parks And Pleasure Grounds                                                                                                                                                                              ,Recycled seats and picnic tables.                                                                                                                                                                                                                                                                           
Coral Products Plc                                                                        ,P005846   ,2015-07-10,2015-08-07,272882    ,,11625,Refuse Collection & Recycling                                                                                                                                                                           ,55 litre green recycling box printed                                                                                                                                                                                                                                                                        
Coral Products Plc                                                                        ,P005846   ,2015-07-10,2015-08-07,272882    ,,11625,Refuse Collection & Recycling                                                                                                                                                                           ,Lids to fit 55 litre recycling box                                                                                                                                                                                                                                                                          
Homemaker (South West)                                                                    ,P005841   ,2015-07-10,2015-07-16,HOME 001  ,,5000,Hsg And Council Tax Admin                                                                                                                                                                               ,Homemaker Southwest July - Sept 2015                                                                                                                                                                                                                                                                        
Straight Manufacturing Ltd                                                                ,P005822   ,2015-07-07,2015-08-04,414786    ,,6338,Refuse Collection & Recycling                                                                                                                                                                           ,Indoor Caddies - 7 litre silver food caddies                                                                                                                                                                                                                                                                
Straight Manufacturing Ltd                                                                ,P005822   ,2015-07-07,2015-08-04,414786    ,,6338,Refuse Collection & Recycling                                                                                                                                                                           ,Outdoor caddies 23 litres blue                                                                                                                                                                                                                                                                              
Midland Software Limited                                                                  ,P005821   ,2015-07-07,2015-07-14,601349    ,,16109,Ict Services                                                                                                                                                                                            ,iTrent / Civica Interface                                                                                                                                                                                                                                                                                   
Midland Software Limited                                                                  ,P005821   ,2015-07-07,2015-07-14,601349    ,,16109,Ict Services                                                                                                                                                                                            ,iTrent Rental                                                                                                                                                                                                                                                                                               
Midland Software Limited                                                                  ,P005821   ,2015-07-07,2015-07-14,601349    ,,16109,Ict Services                                                                                                                                                                                            ,iTrent Rental Employee & Manager Self Service                                                                                                                                                                                                                                                               
Midland Software Limited                                                                  ,P005821   ,2015-07-07,2015-07-14,601349    ,,16109,Ict Services                                                                                                                                                                                            ,RTI & Pension Reform rental                                                                                                                                                                                                                                                                                 
Grant Thornton Uk Llp                                                                     ,P005820   ,2015-07-07,2015-07-08,9260066   ,,16715,Public Accountability                                                                                                                                                                                   ,Q4 Ext Audit Fee 2014/15                                                                                                                                                                                                                                                                                    
Archant South West                                                                        ,P005789   ,2015-07-01,2015-07-03,437271    ,,10000,Development Managment                                                                                                                                                                                   ,Departure Notices - 01.07.2015 - 30.09.2015                                                                                                                                                                                                                                                                 
