Supplier_Name,OrderNumber,OrderDate,ItemDeliveryDate,SupplierCode,LineValue,Order Value,CostCentre,Description,
A&C Weber Uk                                                                              ,P014145   ,2018-07-30,2018-08-06,308600,8424,8424,Refuse Collection & Recycling                                                                                                                                                                           ,180L Wheeled bins in dark grey - East Devon a                                                                                                                                                                                                                                                               ,
Mgb Plastics                                                                              ,P014130   ,2018-07-26,2018-08-02,362448,9120,19620,Refuse Collection & Recycling                                                                                                                                                                           ,Grey 180L Wheeled Bins to East Devon spec                                                                                                                                                                                                                                                                   ,
Mgb Plastics                                                                              ,P014130   ,2018-07-26,2018-08-02,362448,10500,19620,Refuse Collection & Recycling                                                                                                                                                                           ,Grey 240L Wheeled Bins to East Devon spec (vi                                                                                                                                                                                                                                                               ,
Devon County Council                                                                      ,P014112   ,2018-07-24,2018-07-31,103012,4769,5082,Tax & Nonspecific Grant Income                                                                                                                                                                          ,13/2486/FUL Education - S106 payment to trans                                                                                                                                                                                                                                                               ,
Young Devon                                                                               ,P014108   ,2018-07-24,2018-07-31,691511,10940,10940,Homeless                                                                                                                                                                                                ,Young Devon - Agreement for period of July -                                                                                                                                                                                                                                                                ,
Aecom Limited                                                                             ,P014093   ,2018-07-20,2018-07-26,17000,8916,8916,Capital Corp Build And Securty                                                                                                                                                                          ,Relocation Project Blackdown House                                                                                                                                                                                                                                                                          ,
Straight Manufacturing Limited                                                            ,P014074   ,2018-07-19,2018-07-25,452255,5140,5140,Refuse Collection & Recycling                                                                                                                                                                           ,Blue 23L Kerbside Caddies to East Devon spec                                                                                                                                                                                                                                                                ,
Coral Products Plc                                                                        ,P014073   ,2018-07-19,2018-07-26,272882,8500,12028,Refuse Collection & Recycling                                                                                                                                                                           ,Recycling boxes Green 55 litre                                                                                                                                                                                                                                                                              ,
Coral Products Plc                                                                        ,P014073   ,2018-07-19,2018-07-26,272882,3528,12028,Refuse Collection & Recycling                                                                                                                                                                           ,Recycling box lids in black                                                                                                                                                                                                                                                                                 ,
Intelligent Plans & Examinations Ltd                                                      ,P014037   ,2018-07-17,2018-07-24,33162,5681,5681,Planning Policy                                                                                                                                                                                         ,Clyst St George Neighbourhood Plan Examinatio                                                                                                                                                                                                                                                               ,
Homemaker (South West)                                                                    ,P014028   ,2018-07-17,2018-07-24,HOME 001  ,7500,7500,Supervision And Mgt General                                                                                                                                                                             ,Homemaker Tennant Support & Money Advice Q2 J                                                                                                                                                                                                                                                               ,
Kjt Group Ltd                                                                             ,P013999   ,2018-07-13,2018-07-19,965326,7446,7446,Economic Development                                                                                                                                                                                    ,Traffic Management for Gate to Plate event 18                                                                                                                                                                                                                                                               ,
Strata Service Solutions Ltd                                                              ,P013984   ,2018-07-13,2018-07-17,265114,1890,8780,Ict Services                                                                                                                                                                                            ,ST00529 Access Charge June 2018                                                                                                                                                                                                                                                                             ,
Strata Service Solutions Ltd                                                              ,P013984   ,2018-07-13,2018-07-17,265114,6302,8780,Ict Services                                                                                                                                                                                            ,ST00529 Tarfiff for June 2018                                                                                                                                                                                                                                                                               ,
