Supplier_Name,OrderNumber,OrderDate,ItemDeliveryDate,SupplierCode,LineValue,Order Value,CostCentre,Description
Archant South West                                                                        ,PS02863   ,2018-06-29,2018-07-06,437271    ,10000,10000,Development Managment                                                                                                                                                                                   ,Departure Notices - 01.07.2018 - 30.09.2018                                                                                                                                                                                                                                                                 
Wignalls Ltd                                                                              ,PS02854   ,2018-06-29,2018-11-23,354194    ,12000,12000,Capital Corp Build And Securty                                                                                                                                                                          ,Blackdown House - supply and fit of reception                                                                                                                                                                                                                                                               
South West Water Business                                                                 ,PS02833   ,2018-06-08,2019-03-31,102181    ,0,26875,Beach Properties                                                                                                                                                                                        ,.                                                                                                                                                                                                                                                                                                           
South West Water Business                                                                 ,PS02833   ,2018-06-08,2019-03-31,102181    ,0,26875,Parks And Pleasure Grounds                                                                                                                                                                              ,.                                                                                                                                                                                                                                                                                                           
South West Water Business                                                                 ,PS02833   ,2018-06-08,2019-03-31,102181    ,0,26875,Public Halls                                                                                                                                                                                            ,.                                                                                                                                                                                                                                                                                                           
South West Water Business                                                                 ,PS02833   ,2018-06-08,2019-03-31,102181    ,64,26875,Corporate Buildings                                                                                                                                                                                     ,Bud Beach Hut St SWW Water & Sewerage 2018/19                                                                                                                                                                                                                                                               
South West Water Business                                                                 ,PS02833   ,2018-06-08,2019-03-31,102181    ,2500,26875,Corporate Buildings                                                                                                                                                                                     ,Camperdown Depot SWW Water & Sewerage 2018/19                                                                                                                                                                                                                                                               
South West Water Business                                                                 ,PS02833   ,2018-06-08,2019-03-31,102181    ,2294,26875,Economic Development                                                                                                                                                                                    ,EDBC SWW Water & Sewerage 2018/19                                                                                                                                                                                                                                                                           
South West Water Business                                                                 ,PS02833   ,2018-06-08,2019-03-31,102181    ,1120,26875,Corporate Buildings                                                                                                                                                                                     ,ETH SWW Water & Sewerage 2018/19                                                                                                                                                                                                                                                                            
South West Water Business                                                                 ,PS02833   ,2018-06-08,2019-03-31,102181    ,11011,26875,Corporate Buildings                                                                                                                                                                                     ,Knowle SWW Water & Sewerage 2018/19                                                                                                                                                                                                                                                                         
South West Water Business                                                                 ,PS02833   ,2018-06-08,2019-03-31,102181    ,2629,26875,Public Halls                                                                                                                                                                                            ,Man Pav SWW Water & Sewerage 2018/19                                                                                                                                                                                                                                                                        
South West Water Business                                                                 ,PS02833   ,2018-06-08,2019-03-31,102181    ,393,26875,Corporate Buildings                                                                                                                                                                                     ,Manstone Depot SWW Water & Sewerage 2018/19                                                                                                                                                                                                                                                                 
South West Water Business                                                                 ,PS02833   ,2018-06-08,2019-03-31,102181    ,562,26875,Industrial Sites                                                                                                                                                                                        ,Millwey Rise Wshops SWW Water & Sewerage 2018                                                                                                                                                                                                                                                               
South West Water Business                                                                 ,PS02833   ,2018-06-08,2019-03-31,102181    ,100,26875,Public Halls                                                                                                                                                                                            ,Sidmouth Drill Hall SWW Water & Sewerage 2018                                                                                                                                                                                                                                                               
South West Water Business                                                                 ,PS02833   ,2018-06-08,2019-03-31,102181    ,200,26875,Industrial Sites                                                                                                                                                                                        ,Station Road WShops SWW Water & Sewerage 2018                                                                                                                                                                                                                                                               
South West Water Business                                                                 ,PS02833   ,2018-06-08,2019-03-31,102181    ,3000,26875,Arts Development                                                                                                                                                                                        ,THG Elmfield House SWW Water & Sewerage 2018/                                                                                                                                                                                                                                                               
South West Water Business                                                                 ,PS02833   ,2018-06-08,2019-03-31,102181    ,3000,26875,Corporate Buildings                                                                                                                                                                                     ,Younghayes SWW Water & Sewerage 2018/19                                                                                                                                                                                                                                                                     
C Sansom Ltd                                                                              ,P013852   ,2018-06-29,2018-11-21,363332    ,30062,30062,Beaches & Foreshores                                                                                                                                                                                    ,Axmouth Harbour: Fishermen's Concrete Loading                                                                                                                                                                                                                                                               
Mcqueenie Mulholland                                                                      ,P013840   ,2018-06-29,2018-07-05,423060    ,5000,5000,Capital Regeneration Economy                                                                                                                                                                            ,Queen's Drive Space- PR, Digital & SEO Suppor                                                                                                                                                                                                                                                               
A+ Building And Maintenance                                                               ,P013837   ,2018-06-29,2018-07-04,051699    ,5085,5085,Capital Regeneration Economy                                                                                                                                                                            ,Disabled Access & Landing to Public Convenien                                                                                                                                                                                                                                                               
The Crown Estate- Knight Frank Coastal Rental                                             ,P013831   ,2018-06-29,2018-07-03,767921    ,8274,8274,Beaches & Foreshores                                                                                                                                                                                    ,Crown Estate - lease for Foreshore & Bed Exe                                                                                                                                                                                                                                                                
The Crown Estate- Knight Frank Coastal Rental                                             ,P013830   ,2018-06-29,2018-07-03,767921    ,8250,8250,Beaches & Foreshores                                                                                                                                                                                    ,Crown Estate - lease for Foreshore & Bed Exe                                                                                                                                                                                                                                                                
W H Buckingham Limited                                                                    ,P013828   ,2018-06-29,2018-06-30,572794    ,49442,49442,Sports Centres And Swim Pools                                                                                                                                                                           ,Replacement of Floodlighting at Ottery St Mar                                                                                                                                                                                                                                                               
Devon County Council                                                                      ,P013807   ,2018-06-28,2018-07-04,103012    ,13124,13124,Refuse Collection & Recycling                                                                                                                                                                           ,Reimbursement of Recycling Credits 2016/17                                                                                                                                                                                                                                                                  
Royal National Lifeboat Institution                                                       ,P013796   ,2018-06-27,2018-06-28,1226999   ,15325,15236,Water Safety                                                                                                                                                                                            ,lifeguarding exmouth                                                                                                                                                                                                                                                                                        
Devon County Council                                                                      ,P013787   ,2018-06-26,2018-07-03,103012    ,446,8665,Refuse Collection & Recycling                                                                                                                                                                           ,Income for material from DCC HWRC - Glass                                                                                                                                                                                                                                                                   
Devon County Council                                                                      ,P013787   ,2018-06-26,2018-07-03,103012    ,8218,8665,Refuse Collection & Recycling                                                                                                                                                                           ,Income for material from DCC HWRC - Paper                                                                                                                                                                                                                                                                   
Devon County Council                                                                      ,P013781   ,2018-06-25,2018-06-29,103012    ,10000,10000,Growth Point                                                                                                                                                                                            ,Review of Exe Estuary Codes of Conduct                                                                                                                                                                                                                                                                      
Baker Electrical Ltd                                                                      ,P013776   ,2018-06-25,2018-06-28,253405    ,1160,7873,Sports Centres And Swim Pools                                                                                                                                                                           ,Axe Vale Sports Centre - Emergency lighting r                                                                                                                                                                                                                                                               
Baker Electrical Ltd                                                                      ,P013776   ,2018-06-25,2018-06-28,253405    ,282,7873,Economic Development                                                                                                                                                                                    ,East Devon Business Centre                                                                                                                                                                                                                                                                                  
Baker Electrical Ltd                                                                      ,P013776   ,2018-06-25,2018-06-28,253405    ,461,7873,Sports Centres And Swim Pools                                                                                                                                                                           ,East Devon Tennis Centre, Exmouth - Emergency                                                                                                                                                                                                                                                               
Baker Electrical Ltd                                                                      ,P013776   ,2018-06-25,2018-06-28,253405    ,1203,7873,Public Halls                                                                                                                                                                                            ,Exmouth Pavilion Theatre - Emergency lighting                                                                                                                                                                                                                                                               
Baker Electrical Ltd                                                                      ,P013776   ,2018-06-25,2018-06-28,253405    ,217,7873,Sports Centres And Swim Pools                                                                                                                                                                           ,Exmouth Sports Centre - Emergency lighting re                                                                                                                                                                                                                                                               
Baker Electrical Ltd                                                                      ,P013776   ,2018-06-25,2018-06-28,253405    ,770,7873,Sports Centres And Swim Pools                                                                                                                                                                           ,Honiton Sport Centre - Emergency lighting rep                                                                                                                                                                                                                                                               
Baker Electrical Ltd                                                                      ,P013776   ,2018-06-25,2018-06-28,253405    ,431,7873,Sports Centres And Swim Pools                                                                                                                                                                           ,Honiton Swimming pool - Emergency lighting re                                                                                                                                                                                                                                                               
Baker Electrical Ltd                                                                      ,P013776   ,2018-06-25,2018-06-28,253405    ,2184,7873,Sports Centres And Swim Pools                                                                                                                                                                           ,OtteryS t Mary Sport Centre - Emergency light                                                                                                                                                                                                                                                               
Baker Electrical Ltd                                                                      ,P013776   ,2018-06-25,2018-06-28,253405    ,109,7873,Corporate Buildings                                                                                                                                                                                     ,Phear Park Depot, Exmouth - Emergency lightin                                                                                                                                                                                                                                                               
Baker Electrical Ltd                                                                      ,P013776   ,2018-06-25,2018-06-28,253405    ,129,7873,Sports Centres And Swim Pools                                                                                                                                                                           ,Sidford RFC changing rooms - Emergency lighti                                                                                                                                                                                                                                                               
Baker Electrical Ltd                                                                      ,P013776   ,2018-06-25,2018-06-28,253405    ,638,7873,Sports Centres And Swim Pools                                                                                                                                                                           ,Sidmouth Sports Centre - Emergency lighting r                                                                                                                                                                                                                                                               
Baker Electrical Ltd                                                                      ,P013776   ,2018-06-25,2018-06-28,253405    ,221,7873,Sports Centres And Swim Pools                                                                                                                                                                           ,Sidmouth Swimming pools - Emergency lighting                                                                                                                                                                                                                                                                
Baker Electrical Ltd                                                                      ,P013776   ,2018-06-25,2018-06-28,253405    ,62,7873,Sports Centres And Swim Pools                                                                                                                                                                           ,Withycombe changing rooms, Exmouth - Emergenc                                                                                                                                                                                                                                                               
Strata Service Solutions Ltd                                                              ,P013775   ,2018-06-25,2018-06-28,265114    ,1629,5095,Ict Services                                                                                                                                                                                            ,C Barker - June 2018 Salary recharge                                                                                                                                                                                                                                                                        
Strata Service Solutions Ltd                                                              ,P013775   ,2018-06-25,2018-06-28,265114    ,1541,5095,Ict Services                                                                                                                                                                                            ,D Hadley - June 2018 Salary Recharge                                                                                                                                                                                                                                                                        
Strata Service Solutions Ltd                                                              ,P013775   ,2018-06-25,2018-06-28,265114    ,1923,5095,Ict Services                                                                                                                                                                                            ,H Manley - June 2018 Salary Recharge                                                                                                                                                                                                                                                                        
