Supplier_Name,OrderNumber,OrderDate,ItemDeliveryDate,SupplierCode,LineValue,Order Value,CostCentre,Description,,
Homemaker (South West)                                                                    ,P020759   ,2020-06-30,2020-07-07,HOME 001  ,7500,7500,Supervision And Mgt General                                                                                                                                                                             ,Homemaker - Tenant Money & Support Advice Q2                                                                                                                                                                                                                                                                ,,
Devon County Council                                                                      ,P020706   ,2020-06-24,2020-07-01,103012,9323,9323,Aonb And Countryside                                                                                                                                                                                    ,Contribution to Blackdown Hills AONB 20/21. I                                                                                                                                                                                                                                                               ,,
Project Cosmic                                                                            ,P020702   ,2020-06-24,2020-07-01,813226,5000,5000,Growth Point                                                                                                                                                                                            ,business continuity webinar programme                                                                                                                                                                                                                                                                       ,,
Andrew Symons Ltd                                                                         ,P020697   ,2020-06-24,2020-07-01,584235,34000,34000,Capital St Scene Grounds Maint                                                                                                                                                                          ,The purchase of one Ransome Parkway 3 Meteor                                                                                                                                                                                                                                                                ,,
Wallgate Ltd                                                                              ,P020692   ,2020-06-23,2020-06-30,33,258,13545,Public Conveniences                                                                                                                                                                                     ,2020-21 Back Lane, Broadclyst Wallgate Servic                                                                                                                                                                                                                                                               ,
Wallgate Ltd                                                                              ,P020692   ,2020-06-23,2020-06-30,33,129,13545,Public Conveniences                                                                                                                                                                                     ,2020-21 Brook Road, Budleigh Salterton, Wallg                                                                                                                                                                                                                                                               
Wallgate Ltd                                                                              ,P020692   ,2020-06-23,2020-06-30,33,516,13545,Public Conveniences                                                                                                                                                                                     ,2020-21 Connaught Gardens, Wallgate Servicing                                                                                                                                                                                                                                                               ,
Wallgate Ltd                                                                              ,P020692   ,2020-06-23,2020-06-30,33,258,13545,Public Conveniences                                                                                                                                                                                     ,2020-21 Dolphin Street, Colyton Wallgate Serv                                                                                                                                                                                                                                                               ,
Wallgate Ltd                                                                              ,P020692   ,2020-06-23,2020-06-30,33,774,13545,Public Conveniences                                                                                                                                                                                     ,2020-21 Foxholes, Queens Drive Wallgate Servi                                                                                                                                                                                                                                                               ,
Wallgate Ltd                                                                              ,P020692   ,2020-06-23,2020-06-30,33,645,13545,Public Conveniences                                                                                                                                                                                     ,2020-21 Harbour Road, Seaton Wallgate Servici                                                                                                                                                                                                                                                               ,
Wallgate Ltd                                                                              ,P020692   ,2020-06-23,2020-06-30,33,516,13545,Public Conveniences                                                                                                                                                                                     ,2020-21 Jarvis Close, Exmouth Wallgate Servic                                                                                                                                                                                                                                                               ,
Wallgate Ltd                                                                              ,P020692   ,2020-06-23,2020-06-30,33,774,13545,Public Conveniences                                                                                                                                                                                     ,2020-21 Jubilee Gardens, Beer Wallgate Servic                                                                                                                                                                                                                                                               ,
Wallgate Ltd                                                                              ,P020692   ,2020-06-23,2020-06-30,33,645,13545,Public Conveniences                                                                                                                                                                                     ,2020-21 King Street, Honiton                                                                                                                                                                                                                                                                                ,
Wallgate Ltd                                                                              ,P020692   ,2020-06-23,2020-06-30,33,387,13545,Public Conveniences                                                                                                                                                                                     ,2020-21 Lace Walk Car Park                                                                                                                                                                                                                                                                                  ,,
Wallgate Ltd                                                                              ,P020692   ,2020-06-23,2020-06-30,33,516,13545,Public Conveniences                                                                                                                                                                                     ,2020-21 Lime Kiln/East End Budleigh Salterton                                                                                                                                                                                                                                                               ,,
Wallgate Ltd                                                                              ,P020692   ,2020-06-23,2020-06-30,33,645,13545,Public Conveniences                                                                                                                                                                                     ,2020-21 London Inn Car Park/Mag Centre Wallga                                                                                                                                                                                                                                                               ,,
Wallgate Ltd                                                                              ,P020692   ,2020-06-23,2020-06-30,33,774,13545,Public Conveniences                                                                                                                                                                                     ,2020-21 Manor Gardens, Chapel Hill Wallgate S                                                                                                                                                                                                                                                               ,
Wallgate Ltd                                                                              ,P020692   ,2020-06-23,2020-06-30,33,387,13545,Public Conveniences                                                                                                                                                                                     ,2020-21March Road, Seaton Wallgate Servicing                                                                                                                                                                                                                                                                ,
Wallgate Ltd                                                                              ,P020692   ,2020-06-23,2020-06-30,33,1032,13545,Public Conveniences                                                                                                                                                                                     ,2020-21 Queens Drive, Lifeboat Station                                                                                                                                                                                                                                                                      ,
Wallgate Ltd                                                                              ,P020692   ,2020-06-23,2020-06-30,33,387,13545,Public Conveniences                                                                                                                                                                                     ,2020-21 Sidford Cross Wallgate Servicing                                                                                                                                                                                                                                                                    ,,
