Supplier_Name,OrderNumber,OrderDate,ItemDeliveryDate,SupplierCode,LineValue,Order Value,CostCentre,Description
Archant South West                                                                        ,PS02068   ,2016-03-24,2016-03-31,437271    ,10000,10000,Development Managment                                                                                                                                                                                   ,Departure Notices - 01.04.2016 - 30.06.2016                                                                                                                                                                                                                                                                 
Celtic Rock Services Ltd                                                                  ,PS02060   ,2016-03-21,2016-03-31,265195    ,2000,9575,Coastal Protection Revenue                                                                                                                                                                              ,Annual Cliff Inspection Additional Fees - Rep                                                                                                                                                                                                                                                               
Celtic Rock Services Ltd                                                                  ,PS02060   ,2016-03-21,2016-03-31,265195    ,4075,9575,Coastal Protection Revenue                                                                                                                                                                              ,Beer East Beach Cliff Inspections                                                                                                                                                                                                                                                                           
Celtic Rock Services Ltd                                                                  ,PS02060   ,2016-03-21,2016-03-31,265195    ,1750,9575,Coastal Protection Revenue                                                                                                                                                                              ,Budleigh Salterton East Beach Cliff Inspectio                                                                                                                                                                                                                                                               
Celtic Rock Services Ltd                                                                  ,PS02060   ,2016-03-21,2016-03-31,265195    ,1750,9575,Coastal Protection Revenue                                                                                                                                                                              ,Sidmouth Connaught Gardens Cliff Inspections                                                                                                                                                                                                                                                                
Capita Business Services Ltd                                                              ,P007109   ,2016-03-31,2016-04-06,466433    ,5640,5640,Hsg And Council Tax Admin                                                                                                                                                                               ,La Data Share Programme Removal of Family pre                                                                                                                                                                                                                                                               
Coral Products Plc                                                                        ,P007092   ,2016-03-29,2016-04-26,272882    ,4284,6098,Refuse Collection & Recycling                                                                                                                                                                           ,Recycling boxes 55 litre                                                                                                                                                                                                                                                                                    
Coral Products Plc                                                                        ,P007092   ,2016-03-29,2016-04-26,272882    ,1814,6098,Refuse Collection & Recycling                                                                                                                                                                           ,Recycling box lids                                                                                                                                                                                                                                                                                          
Glasdon U.K. Limited                                                                      ,P007090   ,2016-03-29,2016-03-31,600410    ,6316,6316,Parks And Pleasure Grounds                                                                                                                                                                              ,6 x Stanford Seats                                                                                                                                                                                                                                                                                          
Skinner Construction Ltd                                                                  ,P007083   ,2016-03-23,2016-05-30,IF000002  ,13237,13237,Public Health Housing                                                                                                                                                                                   ,Works at 17 Hillside Colyton EX24 6NW                                                                                                                                                                                                                                                                       
Jtt Contracting Ltd                                                                       ,P007063   ,2016-03-21,2016-03-31,877166    ,9709,9709,Road Repairs                                                                                                                                                                                            ,Resurfacing - Tower View Broadclyst                                                                                                                                                                                                                                                                         
Balfour Beatty Rail Ltd                                                                   ,P007062   ,2016-03-21,2016-06-27,225130    ,25000,25000,Capital Flood Alleviation Sch                                                                                                                                                                           ,Feniton UTX Balfour Beatty Rail                                                                                                                                                                                                                                                                             
Jtt Contracting Ltd                                                                       ,P007057   ,2016-03-21,2016-03-31,877166    ,9805,9805,Parks And Pleasure Grounds                                                                                                                                                                              ,Emergency Works - Manor Gardens Tree Damage R                                                                                                                                                                                                                                                               
C Sansom Ltd                                                                              ,P007020   ,2016-03-14,2016-06-01,363332    ,16912,16912,Capital Flood Alleviation Sch                                                                                                                                                                           ,Feniton Phase 2 Iron Gate Lodge                                                                                                                                                                                                                                                                             
South West Audit Partnership Ltd                                                          ,P007019   ,2016-03-14,2016-03-21,462372    ,26220,26220,Financial Services                                                                                                                                                                                      ,Internal Audit Q1 01/04/16 to 30/06/16                                                                                                                                                                                                                                                                      
C Sansom Ltd                                                                              ,P007018   ,2016-03-14,2016-03-31,363332    ,3300,31080,Road Repairs                                                                                                                                                                                            ,Burch Close Parking Area Repair                                                                                                                                                                                                                                                                             
C Sansom Ltd                                                                              ,P007018   ,2016-03-14,2016-03-31,363332    ,3700,31080,Road Repairs                                                                                                                                                                                            ,Overlay of Parking Area - Govetts Woodbury                                                                                                                                                                                                                                                                  
C Sansom Ltd                                                                              ,P007018   ,2016-03-14,2016-03-31,363332    ,3980,31080,Road Repairs                                                                                                                                                                                            ,Overlay of Road - The Close Rewe                                                                                                                                                                                                                                                                            
C Sansom Ltd                                                                              ,P007018   ,2016-03-14,2016-03-31,363332    ,1200,31080,Road Repairs                                                                                                                                                                                            ,Potholes Repair - Yonder Close Ottery St Mar                                                                                                                                                                                                                                                                
C Sansom Ltd                                                                              ,P007018   ,2016-03-14,2016-03-31,363332    ,3960,31080,Road Repairs                                                                                                                                                                                            ,Repair at Lashbrook Road Talaton                                                                                                                                                                                                                                                                            
C Sansom Ltd                                                                              ,P007018   ,2016-03-14,2016-03-31,363332    ,2250,31080,Road Repairs                                                                                                                                                                                            ,Repair of Parking Surface at Lower Brook Mead                                                                                                                                                                                                                                                               
C Sansom Ltd                                                                              ,P007018   ,2016-03-14,2016-03-31,363332    ,1800,31080,Road Repairs                                                                                                                                                                                            ,Repair of Road Surface at Shutes Mead Ottery                                                                                                                                                                                                                                                                
C Sansom Ltd                                                                              ,P007018   ,2016-03-14,2016-03-31,363332    ,1490,31080,Road Repairs                                                                                                                                                                                            ,Repair of Road Surface - St Andrews Feniton                                                                                                                                                                                                                                                                 
C Sansom Ltd                                                                              ,P007018   ,2016-03-14,2016-03-31,363332    ,2900,31080,Road Repairs                                                                                                                                                                                            ,Repairs of Road Surface - Winters Lane Otter                                                                                                                                                                                                                                                                
C Sansom Ltd                                                                              ,P007018   ,2016-03-14,2016-03-31,363332    ,300,31080,Road Repairs                                                                                                                                                                                            ,Replacement of Kerb - Courtfield Close West                                                                                                                                                                                                                                                                 
C Sansom Ltd                                                                              ,P007018   ,2016-03-14,2016-03-31,363332    ,6200,31080,Road Repairs                                                                                                                                                                                            ,Resurfacing of Parking Area - Coly Vale Coly                                                                                                                                                                                                                                                                
Advanced Business Solutions                                                               ,P006974   ,2016-03-07,2016-03-14,601331    ,4279,8558,Ict Services                                                                                                                                                                                            ,ARCMIN/99055133 Annual Support and Maintenanc                                                                                                                                                                                                                                                               
Advanced Business Solutions                                                               ,P006974   ,2016-03-07,2016-03-14,601331    ,4279,8558,Ict Services                                                                                                                                                                                            ,ARCMIN/99055133 Annual Support/Maintenance Ad                                                                                                                                                                                                                                                               
Practicus Ltd                                                                             ,P006968   ,2016-03-04,2016-04-07,637094    ,20880,27840,Refuse Collection & Recycling                                                                                                                                                                           ,Interim Waste Contract Manager April-June 201                                                                                                                                                                                                                                                               
Practicus Ltd                                                                             ,P006968   ,2016-03-04,2016-03-07,637094    ,6960,27840,Refuse Collection & Recycling                                                                                                                                                                           ,Interim Waste Contract Manager March 2016                                                                                                                                                                                                                                                                   
The Coffee Factory Ltd                                                                    ,P006959   ,2016-03-03,2016-03-10,551259    ,15352,15352,Capital Regeneration Economy                                                                                                                                                                            ,Coffee machine and ancillary products for Sea                                                                                                                                                                                                                                                               
