Supplier_Name,OrderNumber,OrderDate,ItemDeliveryDate,SupplierCode,LineValue,Order Value,CostCentre,Description
I J Cannings & Son Ltd                                                                    ,PS03075   ,2018-11-07,2018-11-23,190527    ,,6535,Sports Centres And Swim Pools                                                                                                                                                                           ,101000852770 - Exmouth Leisure Centre - Pool                                                                                                                                                                                                                                                                
Cranbrook Town Council                                                                    ,PS03067   ,2018-11-02,2018-11-09,909933    ,,5250,Corporate Buildings                                                                                                                                                                                     ,Pre-transfer building management services til                                                                                                                                                                                                                                                               
Wignalls Ltd                                                                              ,PS02854   ,2018-06-29,2018-11-23,354194    ,,12000,Capital Corp Build And Securty                                                                                                                                                                          ,Blackdown House - supply and fit of reception                                                                                                                                                                                                                                                               
Exmouth Town Council                                                                      ,P015402   ,2018-11-27,2018-11-28,117170    ,,10000,Economic Development                                                                                                                                                                                    ,Agreed contribution Exmouth Economic/Tourism                                                                                                                                                                                                                                                                
Day Of Swansea Ltd                                                                        ,P015355   ,2018-11-22,2018-11-29,222133    ,,21060,Street Cleansing                                                                                                                                                                                        ,2018/19 Toyota Hilux Extra Cab Pick Up                                                                                                                                                                                                                                                                      
Capita Business Services Ltd                                                              ,P015281   ,2018-11-13,2018-11-16,466433    ,,10767,Hsg And Council Tax Admin                                                                                                                                                                               ,DWP LA Data Sharing IT Cost Completed 30.09.2                                                                                                                                                                                                                                                               
Grant Thornton Uk Llp                                                                     ,P015242   ,2018-11-09,2018-11-16,9260066   ,,5000,Org Development Services                                                                                                                                                                                ,Place Analytics License                                                                                                                                                                                                                                                                                     
Advanced Business Solutions                                                               ,P015237   ,2018-11-09,2018-11-16,601331    ,,28914,Ict Services                                                                                                                                                                                            ,Qty 273 eFinancials 01-09-18 to 31-08-19                                                                                                                                                                                                                                                                    
Roger Ugalde Electrical                                                                   ,P015225   ,2018-11-08,2018-11-15,623717    ,,15296,Security Lighting                                                                                                                                                                                       ,Inspection of garden and amenity lighting for                                                                                                                                                                                                                                                               
Roger Ugalde Electrical                                                                   ,P015225   ,2018-11-08,2018-11-15,623717    ,,7648,Security Lighting                                                                                                                                                                                       ,Inspection of garden and amenity lighting Mar                                                                                                                                                                                                                                                               
Devon County Council                                                                      ,P015216   ,2018-11-07,2018-11-08,103012    ,,15254,Financial Services                                                                                                                                                                                      ,M J Walsh Temporary Assistant Accountant 148                                                                                                                                                                                                                                                                
