Supplier_Name,OrderNumber,OrderDate,ItemDeliveryDate,SupplierCode,LineValue,Order Value,CostCentre,Description
Kpmg Llp                                                                                  ,P006315   ,2015-10-27,2015-11-03,408515,,14885,Hsg And Council Tax Admin                                                                                                                                                                               ,External Audit Quarter 3 2015/16                                                                                                                                                                                                                                                                            
Kpmg Llp                                                                                  ,P006315   ,2015-10-27,2015-11-03,408515,,14885,Public Accountability                                                                                                                                                                                   ,External Audit Quarter 3 2015/16                                                                                                                                                                                                                                                                            
Tony Benger Landscaping Ltd                                                               ,P006297   ,2015-10-22,2015-10-28,673641,,12431,Parks And Pleasure Grounds                                                                                                                                                                              ,Landscaping and reinstatement works.                                                                                                                                                                                                                                                                        
Jtt Contracting Ltd                                                                       ,P006286   ,2015-10-20,2015-12-18,877166,,24726,Capital Flood Alleviation Sch                                                                                                                                                                           ,The Oaks Flood Alleviation Works                                                                                                                                                                                                                                                                            
Jtt Contracting Ltd                                                                       ,P006285   ,2015-10-20,2015-12-18,877166,,33410,Capital Flood Alleviation Sch                                                                                                                                                                           ,Pines Cottage Flood Alleviation Works                                                                                                                                                                                                                                                                       
Bagwells Limited                                                                          ,P006268   ,2015-10-14,2015-10-21,IF000743  ,,8361,Public Halls                                                                                                                                                                                            ,Former Senior Citizens Centre New Street Ho                                                                                                                                                                                                                                                                 
Geotechnics Limited                                                                       ,P006261   ,2015-10-13,2015-10-19,694664,,40768,Economic Development                                                                                                                                                                                    ,Ground Investigation Works in relation to Exm                                                                                                                                                                                                                                                               
B A Pyne & Son                                                                            ,P006249   ,2015-10-12,2016-03-31,442524,,11083,Flood Prevention Revenue                                                                                                                                                                                ,Clearance of Budleigh outfall (eastern end)                                                                                                                                                                                                                                                                 
Arval Uk Limited                                                                          ,P006240   ,2015-10-09,2015-12-08,887000,,7427,Hsg And Council Tax Admin                                                                                                                                                                               ,Vauxhall Cosrsa Van Diesel - Benefits                                                                                                                                                                                                                                                                       
Benchmark Project Management Ltd                                                          ,P006232   ,2015-10-07,2015-12-11,545290,,17114,Car Parks                                                                                                                                                                                               ,EDDC car park lining contract 2015.                                                                                                                                                                                                                                                                         
Lloyd Turner Ltd                                                                          ,P006221   ,2015-10-05,2015-10-08,816921,,827309,Capital Regeneration Economy                                                                                                                                                                            ,Seaton Jurassic Interpretation Contract Work                                                                                                                                                                                                                                                                
