'Supplier Name','Order Number','Order Date','Delivery Date','Originator Name','Order Requisition No.','Supplier Code','Order Value','Order Status','6CCN - Level 6 Cost Centre Name','9AN - Level 9 Account Name','PO Line Number','Item Description','Item Delivery Date'
'Unify Enterprise Communications Limited','P004383','2014/09/21 00:00:00','2014/09/22 00:00:00','Pete Johns','R005472','855000','5364','Confirmed','Supervision And Mgt Special','Wan Costs','10','Siemens WAN - Dunning Court','2014/09/28 00:00:00'
'Unify Enterprise Communications Limited','P004383','2014/09/21 00:00:00','2014/09/22 00:00:00','Pete Johns','R005472','855000','5364','Confirmed','Supervision And Mgt Special','Wan Costs','11','Siemens WAN - Poplar','2014/09/28 00:00:00'
'Cipfa Business Ltd','P004282','2014/09/02 00:00:00','2014/09/03 00:00:00','MIchaela Pohl','R005335','0207543','10000','Confirmed','Economic Development','Consultancy=Advice','1','TNRP Review sports and activity clubs TNRP wo','2014/09/08 00:00:00'
'Misco','P004395','2014/09/23 00:00:00','2014/09/24 00:00:00','Pete Johns','R005480','MISCO','38752.71','Complete','Capital Ict Projects','It Hardware Purchase','3','HP IDS UMA i5-4200U 850','2014/09/29 00:00:00'
'Unify Enterprise Communications Limited','P004383','2014/09/21 00:00:00','2014/09/22 00:00:00','Pete Johns','R005472','855000','5364','Confirmed','Corporate Buildings','Wan Costs','4','Siemens WAN - Camperdown Depot','2014/09/28 00:00:00'
'Unify Enterprise Communications Limited','P004383','2014/09/21 00:00:00','2014/09/22 00:00:00','Pete Johns','R005472','855000','5364','Confirmed','Supervision And Mgt Special','Wan Costs','5','Siemens WAN - Home Safeguard','2014/09/28 00:00:00'
'Unify Enterprise Communications Limited','P004383','2014/09/21 00:00:00','2014/09/22 00:00:00','Pete Johns','R005472','855000','5364','Confirmed','Public Halls','Wan Costs','9','Siemens WAN - Manor Pavilion','2014/09/28 00:00:00'
'Misco','P004395','2014/09/23 00:00:00','2014/09/24 00:00:00','Pete Johns','R005480','MISCO','38752.71','Complete','Capital Ict Projects','It Hardware Purchase','1','HP IDS UMA i5-4200U 820','2014/09/29 00:00:00'
'Moriyama Limited','P004394','2014/09/23 00:00:00','2014/09/24 00:00:00','Fran Ferrari','R005473','421757','5650','Confirmed','Ict Services','Officer Training','2','Umbraco level 2 training expenses','2014/09/24 00:00:00'
'Unify Enterprise Communications Limited','P004383','2014/09/21 00:00:00','2014/09/22 00:00:00','Pete Johns','R005472','855000','5364','Confirmed','Supervision And Mgt Special','Wan Costs','8','Siemens WAN - Burnside','2014/09/28 00:00:00'
'Misco','P004395','2014/09/23 00:00:00','2014/09/24 00:00:00','Pete Johns','R005480','MISCO','38752.71','Complete','Capital Ict Projects','It Hardware Purchase','2','HP IDS UMA i5-4200U 840','2014/09/29 00:00:00'
'Unify Enterprise Communications Limited','P004383','2014/09/21 00:00:00','2014/09/22 00:00:00','Pete Johns','R005472','855000','5364','Confirmed','Ict Services','Wan Costs','1','Siemens WAN - Knowle','2014/09/28 00:00:00'
'Unify Enterprise Communications Limited','P004383','2014/09/21 00:00:00','2014/09/22 00:00:00','Pete Johns','R005472','855000','5364','Confirmed','Economic Development','Wan Costs','3','Siemens WAN - EDBC','2014/09/28 00:00:00'
'Unify Enterprise Communications Limited','P004383','2014/09/21 00:00:00','2014/09/22 00:00:00','Pete Johns','R005472','855000','5364','Confirmed','Arts Development','Wan Costs','6','Siemens WAN - Thelma Hulbert Gallery','2014/09/28 00:00:00'
'Unify Enterprise Communications Limited','P004383','2014/09/21 00:00:00','2014/09/22 00:00:00','Pete Johns','R005472','855000','5364','Confirmed','Supervision And Mgt Special','Wan Costs','7','Siemens WAN - Palmer House','2014/09/28 00:00:00'
'Moriyama Limited','P004394','2014/09/23 00:00:00','2014/09/24 00:00:00','Fran Ferrari','R005473','421757','5650','Confirmed','Ict Services','Officer Training','1','Umbraco level 2 training','2014/09/30 00:00:00'
'A+ Building And Maintenance','PS00936','2014/09/05 00:00:00','2015/03/27 00:00:00','Simon Allchurch','R005363','051699','8000','Confirmed','Amenity Facilities','Planned Mtce Sa Corp Budget','1','Jubilee Clock Tower - external repairs and re','2015/03/27 00:00:00'
'Unify Enterprise Communications Limited','P004383','2014/09/21 00:00:00','2014/09/22 00:00:00','Pete Johns','R005472','855000','5364','Confirmed','Hsg And Council Tax Admin','Wan Costs','2','Siemens WAN - Exmouth Town Hall','2014/09/28 00:00:00'
'Red Rock Geoscience Ltd','P004356','2014/09/15 00:00:00','2014/11/28 00:00:00','Keith Steel','R005429','460888','13606','Confirmed','Capital Flood Alleviation Sch','Property Contractors','1','Feniton Ground Investigation Work','2014/11/28 00:00:00'
'Misco','P004395','2014/09/23 00:00:00','2014/09/24 00:00:00','Pete Johns','R005480','MISCO','38752.71','Complete','Capital Ict Projects','It Hardware Purchase','4','HP IDS UMA HM87 fWWAN 650','2014/09/29 00:00:00'
'Misco','P004395','2014/09/23 00:00:00','2014/09/24 00:00:00','Pete Johns','R005480','MISCO','38752.71','Complete','Capital Ict Projects','It Hardware Purchase','5','TargusUSB3.0 Superspeed docking station','2014/09/29 00:00:00'
