Supplier_Name,OrderNumber,OrderDate,ItemDeliveryDate,SupplierCode,LineValue,Order Value,CostCentre,Description
Devon County Council                                                                      ,P014800   ,2018-09-28,2018-10-03,103012,30000,30000,Financial Services                                                                                                                                                                                      ,Devon County Council Procurement Service-Year                                                                                                                                                                                                                                                               
Earthsense Systems Limited                                                                ,P014798   ,2018-09-27,2018-10-04,518506,8988,8988,Public Health                                                                                                                                                                                           ,3 year Cartridge contract - Sept 2018 to Dec                                                                                                                                                                                                                                                                
Electoral Reform Services                                                                 ,P014775   ,2018-09-25,2018-10-02,83658909,6847,9635,Elections                                                                                                                                                                                               ,HEF Reminders - Postage                                                                                                                                                                                                                                                                                     
Electoral Reform Services                                                                 ,P014775   ,2018-09-25,2018-10-02,83658909,2787,9635,Elections                                                                                                                                                                                               ,HEF Reminders - Printing                                                                                                                                                                                                                                                                                    
The Crown Estate- Knight Frank Coastal Rental                                             ,P014742   ,2018-09-24,2018-09-25,767921,8250,8250,Parks And Pleasure Grounds                                                                                                                                                                              ,Crown Estate - lease for Foreshore & Bed Exe                                                                                                                                                                                                                                                                
Advantage South West Llp                                                                  ,P014718   ,2018-09-20,2018-09-25,252566,12076,12076,Supervision And Mgt Special                                                                                                                                                                             ,Advantage South West Procurement Consortium M                                                                                                                                                                                                                                                               
Aecom Limited                                                                             ,P014702   ,2018-09-18,2018-09-24,17000,8916,8916,Capital Corp Build And Securty                                                                                                                                                                          ,BH Aecom Project Design Fees September 2018                                                                                                                                                                                                                                                                 
Led Leisure Management Ltd                                                                ,P014694   ,2018-09-18,2019-01-01,10305,223429,446858,Sports Centres And Swim Pools                                                                                                                                                                           ,Service Fee -  Jan to Mar 2019                                                                                                                                                                                                                                                                              
Led Leisure Management Ltd                                                                ,P014694   ,2018-09-18,2018-10-01,10305,223429,446858,Sports Centres And Swim Pools                                                                                                                                                                           ,Service Fee  -  Oct to Dec 2018                                                                                                                                                                                                                                                                             
Dyer & Butler                                                                             ,P014681   ,2018-09-17,2018-09-21,742222,29034,29034,Capital Regeneration Economy                                                                                                                                                                            ,Queens Drive Improvment Works                                                                                                                                                                                                                                                                               
Hays                                                                                      ,P014661   ,2018-09-13,2018-09-19,379352,18000,18000,Supervision And Mgt General                                                                                                                                                                             ,Maintenance surveyor MG                                                                                                                                                                                                                                                                                     
Pell Frischmann Consultants Ltd                                                           ,P014653   ,2018-09-13,2018-11-26,863661,18925,18925,Sports Grounds                                                                                                                                                                                          ,Warren View Phase 2 as per offer letter of 16                                                                                                                                                                                                                                                               
University Of Exeter                                                                      ,P014635   ,2018-09-12,2018-09-19,483745,5230,5230,Planning Policy                                                                                                                                                                                         ,SWEEG Associate Membership Contribution 2018/                                                                                                                                                                                                                                                               
Building Recruitment Co Ltd                                                               ,P014629   ,2018-09-11,2018-09-17,BUILDING  ,6500,6500,Supervision And Mgt Special                                                                                                                                                                             ,End July 18 - End Sep 18 BRC- Stephen Deakin                                                                                                                                                                                                                                                                
Parkeon Ltd                                                                               ,P014627   ,2018-09-11,2018-09-18,339494,7812,7812,Car Parks                                                                                                                                                                                               ,Quote SA-2018-1009-VW-East Devon Council-1                                                                                                                                                                                                                                                                  
