Number and types of applications by all account customers,,,,,,,,,,,,
,,,,,,,,,,,,
Metrics, ,,,,,,,,,,,
Calendar Month,Jan-20,,,,,,,,,,,
Account Customer,FR,DFL,TP,DLG,OS(W),OS(NPW),OS(P),OS(NPP),SIMS,OC1,OC2,Total
Total,7643,14335,16444,378672,182866,2781,31645,31,19078,961842,201556,1816893
INFOTRACK LIMITED,1,0,0,0,11333,0,2281,0,1158,35695,10277,60745
ENACT,44,20,19,16270,15602,0,77,0,79,23512,1700,57323
O'NEILL PATIENT,30,33,49,11138,12117,4,236,0,33,12326,1898,37864
OPTIMA LEGAL SERIVICES,2,6,0,6748,6354,125,1,0,1,10233,643,24113
MY HOME MOVE LIMITED,49,88,155,3693,4778,0,644,0,96,7353,4642,21498
TM GROUP (UK) LTD (SEARCH CHOICE),0,0,0,0,3358,138,71,0,1262,11183,4055,20067
THE MORTGAGE WORKS (UK) PLC,0,0,0,0,9,0,0,0,0,18111,304,18424
HBOS PLC BANK,0,0,0,17457,0,0,0,0,0,0,0,17457
LAND TECHNOLOGIES LTD,0,0,0,0,0,0,0,0,0,14118,0,14118
DEVONSHIRES,3,13,50,919,1040,1,153,0,46,6492,4921,13638
EVERSHEDS SUTHERLAND,61,59,76,3435,2193,215,146,0,252,6066,1004,13507
HUGH JAMES SOLICITORS,8,27,45,3343,6809,67,45,0,26,2152,512,13034
GORDONS PROPERTY LAWYERS,3,7,3,4323,3134,0,13,0,2,3969,630,12084
NATIONAL WESTMINSTER BANK PLC,0,0,0,11637,0,0,0,0,0,7,5,11649
Shulmans,2,8,10,4088,3659,0,10,0,14,3097,306,11194
HSBC,0,0,0,7119,188,1,0,0,0,2904,269,10481
HBOS PLC,0,0,0,9434,9,0,0,0,0,16,339,9798
BARCLAYS BANK UK PLC,0,0,0,6905,0,0,0,0,0,879,107,7891
COSTAR UK LIMITED,0,0,0,0,0,0,0,0,0,4542,3133,7675
LEGAL & GENERAL SURVEYING SERV LTD,0,0,0,1,0,0,0,0,0,7630,1,7632
NATIONWIDE BUILDING SOCIETY,0,0,0,7620,0,0,0,0,0,0,0,7620
LEGAL MARKETING SERVICES LIMITED,0,0,0,0,0,0,0,0,0,7560,0,7560
SHOOSMITHS,34,471,70,1289,390,9,134,0,68,3876,945,7286
LLOYDS BANK PLC,0,0,0,2336,72,1,0,0,0,3701,1122,7232
SOLEX LEGAL SERVICES LIMITED,1,1,1,1881,2158,0,4,0,0,2604,217,6867
NIMBUS PROPERTY SYSTEMS LIMITED,0,0,0,0,0,0,0,0,0,6497,227,6724
