Number and types of applications by all account customers,,,,,,,,,,,,
,,,,,,,,,,,,
Metrics, ,,,,,,,,,,,
Calendar Month,Apr-20,,,,,,,,,,,
Account Customer,FR,DFL,TP,DLG,OS(W),OS(NPW),OS(P),OS(NPP),SIMS,OC1,OC2,Total
Total,202,597,589,56950,114950,1308,25320,48,12747,531638,119291,863640
INFOTRACK LIMITED,0,0,0,0,6549,0,1934,0,803,19789,6352,35427
ENACT,0,0,1,67,11418,0,46,0,56,17621,1138,30347
O'NEILL PATIENT,1,0,3,35,9891,2,237,0,63,9596,1446,21274
OPTIMA LEGAL SERIVICES,0,0,0,7,6950,42,1,0,1,6419,534,13954
LEGAL & GENERAL SURVEYING SERV LTD,0,0,0,0,0,0,0,0,0,11704,0,11704
TM GROUP (UK) LTD (SEARCH CHOICE),0,0,0,0,5632,2,52,0,644,3671,1322,11323
DEVONSHIRES,0,1,2,7,2511,113,238,0,53,1880,5847,10652
LAND TECHNOLOGIES LTD,0,0,0,0,0,0,0,0,0,9178,0,9178
THE MORTGAGE WORKS (UK) PLC,0,0,0,0,2,0,0,0,0,8746,342,9090
HBOS PLC BANK,0,0,0,8954,0,0,0,0,0,0,0,8954
GORDONS PROPERTY LAWYERS,0,0,1,7,2680,0,8,0,1,4747,667,8111
MY HOME MOVE LIMITED,1,0,2,14,2536,0,516,0,66,3046,1550,7731
LEGAL MARKETING SERVICES LIMITED,0,0,0,0,0,0,0,0,0,6894,0,6894
COSTAR UK LIMITED,0,0,0,0,0,0,0,0,0,3859,2311,6170
EVERSHEDS SUTHERLAND,0,1,2,9,1417,18,137,0,171,3583,636,5974
AGENT SOFTWARE LIMITED,0,0,0,0,0,0,0,0,0,5729,0,5729
HSBC,0,0,0,2908,136,0,1,0,0,1841,127,5013
BARCLAYS BANK UK PLC,0,0,0,4291,0,0,0,0,0,304,65,4660
NIMBUS PROPERTY SYSTEMS LIMITED,0,0,0,0,0,0,0,0,0,4348,135,4483
Shulmans,0,0,0,4,2612,1,5,0,4,1307,193,4126
NATIONWIDE BUILDING SOCIETY,0,0,0,3910,0,0,0,0,0,0,0,3910
NATIONAL WESTMINSTER BANK PLC,0,0,0,3898,0,0,0,0,0,8,2,3908
SHOOSMITHS,0,5,2,19,325,4,155,0,74,2856,445,3885
ABBEY NATIONAL PLC,0,0,0,3865,0,0,0,0,0,0,0,3865
BARCLAYS BANK PLC,0,0,0,84,6,0,0,0,0,3542,2,3634
GOWLING WLG (UK) LLP,0,1,1,6,660,8,288,7,285,1464,451,3171
HUGH JAMES SOLICITORS,1,0,3,7,1441,1,30,0,16,1202,374,3075
TAYLOR ROSE LAW,0,3,1,31,1157,1,278,0,12,1121,409,3013
CMS CAMERON MCKENNA LLP,0,0,1,6,101,7,171,0,113,2211,387,2997
CONVEYANCING DIRECT LTD,0,0,2,6,877,0,27,0,6,1653,304,2875
SANTANDER UK,0,0,0,2504,155,8,0,0,0,36,6,2709
SOLEX LEGAL SERVICES LIMITED,0,4,0,0,1354,0,3,0,0,1207,96,2664
ONLINE APPLICATIONS LIMITED,0,0,0,0,0,0,0,0,0,2368,224,2592
ORBITAL WITNESS LIMITED,0,0,0,0,0,0,0,0,0,2233,354,2587
CLS GROUP SERVICES LIMITED,0,0,0,0,0,0,0,0,0,2363,181,2544
WOMBLE BOND DICKINSON,0,2,0,11,108,29,90,0,90,1712,389,2431
