Number and types of applications by all account customers,,,,,,,,,,,,
,,,,,,,,,,,,
Metrics, ,,,,,,,,,,,
Calendar Month,May-20,,,,,,,,,,,
Account Customer,FR,DFL,TP,DLG,OS(W),OS(NPW),OS(P),OS(NPP),SIMS,OC1,OC2,Total
Total,461,3172,3110,170249,101733,1367,19516,10,10751,511354,103153,924876
ENACT,0,2,5,15644,8645,0,46,0,55,14077,950,39424
INFOTRACK LIMITED,0,0,0,0,6739,0,1611,0,582,16379,5176,30487
O'NEILL PATIENT,0,24,21,3582,7381,0,198,0,31,7792,1063,20092
OPTIMA LEGAL SERIVICES,0,2,3,2691,5454,48,1,0,0,5074,359,13632
LAND TECHNOLOGIES LTD,0,0,0,0,0,0,0,0,0,10339,0,10339
HBOS PLC BANK,0,0,0,10057,0,0,0,0,0,0,0,10057
MY HOME MOVE LIMITED,9,27,31,1258,2408,0,335,0,34,3114,1660,8876
LANDMARK INFORMATION GROUP LTD,0,0,0,0,0,0,0,0,0,8619,0,8619
DEVONSHIRES,0,2,11,1120,148,0,97,0,65,4300,1885,7628
THE MORTGAGE WORKS (UK) PLC,0,0,0,0,2,0,0,0,0,7246,300,7548
EVERSHEDS SUTHERLAND,6,25,8,965,1239,55,85,0,240,4193,683,7499
TM GROUP (UK) LTD (SEARCH CHOICE),0,0,0,0,1745,87,46,0,619,3834,579,6910
LEGAL MARKETING SERVICES LIMITED,0,0,0,0,0,0,0,0,0,6903,0,6903
AGENT SOFTWARE LIMITED,0,0,0,0,0,0,0,0,0,6805,0,6805
TLT LLP,0,14,2,5293,28,80,3,0,1,427,82,5930
GORDONS PROPERTY LAWYERS,1,2,3,728,1874,0,13,0,5,2847,447,5920
COSTAR UK LIMITED,0,0,0,0,0,0,0,0,0,3385,2123,5508
NATIONAL WESTMINSTER BANK PLC,0,0,0,5423,0,0,0,0,0,16,2,5441
BARCLAYS BANK UK PLC,0,0,0,4634,0,0,0,0,0,306,75,5015
BARCLAYS BANK PLC,0,0,0,184,0,0,0,0,0,4760,4,4948
HSBC,0,0,0,3086,141,1,0,0,0,1482,115,4825
LEGAL & GENERAL SURVEYING SERV LTD,0,0,0,0,0,0,0,0,1,4746,0,4747
ABBEY NATIONAL PLC,0,0,0,4640,0,0,0,0,0,0,0,4640
ONLINE SEARCHES LIMITED,0,0,0,0,0,0,0,0,73,4181,110,4364
NATIONWIDE BUILDING SOCIETY,0,0,0,4362,0,0,0,0,0,0,0,4362
Shulmans,0,2,1,1184,2198,0,6,0,0,845,97,4333
NIMBUS PROPERTY SYSTEMS LIMITED,0,0,0,0,0,0,0,0,0,4014,121,4135
ADDLESHAW GODDARD,1,7,1,123,118,3,50,1,89,2882,336,3611
CMS CAMERON MCKENNA LLP,0,8,2,459,79,19,207,0,134,2239,364,3511
TROWERS & HAMLINS,0,6,14,1014,118,6,38,0,50,1627,521,3394
SANTANDER UK,0,0,0,3149,110,0,0,0,0,19,3,3281
HUGH JAMES SOLICITORS,3,5,4,803,713,4,23,0,12,1247,415,3229
ONLINE APPLICATIONS LIMITED,0,0,0,0,0,0,0,0,0,2944,279,3223
SHOOSMITHS,1,13,17,418,223,15,54,0,36,1881,342,3000
SOLEX LEGAL SERVICES LIMITED,0,1,0,594,1633,1,2,0,0,580,138,2949
PINSENT MASONS LLP,0,58,15,145,73,9,68,0,62,2004,362,2796
GOWLING WLG (UK) LLP,4,8,12,239,135,2,246,2,198,1372,401,2619
LLOYDS BANK PLC,0,0,0,918,51,1,0,0,0,1368,208,2546
TAYLOR ROSE LAW,0,15,14,437,791,0,217,0,10,768,266,2518
CONVEYANCING DIRECT LTD,0,5,1,328,850,0,20,0,2,1033,255,2494
HIGH SPEED TWO (HS2) LTD,0,0,0,0,0,0,0,0,98,2249,47,2394
FREETHS,1,14,11,193,132,1,70,0,68,1439,394,2323
WOMBLE BOND DICKINSON,1,12,5,194,62,35,57,0,70,1546,329,2311
CO-OPERATIVE LEGAL SEVICES,0,0,0,194,0,0,0,0,0,2070,42,2306
TIMEWELL PLC,0,0,0,0,0,0,0,0,0,1935,367,2302
192.COM LTD,0,0,0,0,0,0,0,0,0,2293,0,2293
PARAGON GROUP,0,0,0,539,151,1,0,0,1,1553,26,2271
HBOS PLC,0,0,0,2025,2,0,0,0,0,5,178,2210
ESTATES & MANAGEMENT LTD,0,0,9,30,0,0,0,0,4,1696,424,2163
OSBORNE CLARKE,0,5,6,91,18,7,9,0,56,1454,509,2155
ETSOS,0,0,0,0,0,0,0,0,0,2102,23,2125
ORBITAL WITNESS LIMITED,0,0,0,0,0,0,0,0,0,1898,195,2093
DWF LLP,0,16,1,168,82,13,32,0,47,1436,184,1979
SIMUNIX LTD,0,0,0,0,0,0,0,0,0,1968,0,1968
NATIONWIDE BUILDING SOCIETY,0,0,0,1922,0,0,0,0,0,4,7,1933
PROPERTY LEGAL SERVICES (PLS),0,20,53,242,513,0,679,0,5,315,99,1926
KNIGHTSBRIDGE PROP CONSULTANCY LTD,0,0,0,0,0,0,0,0,0,1336,578,1914
KNIGHTS SOLICITORS LLP (NEWCASTLE UNDER LYME),0,8,14,155,134,3,110,0,25,1144,309,1902
CLS GROUP SERVICES LIMITED,0,0,0,0,0,0,0,0,0,1737,135,1872
JMW Solicitors LLP,6,9,14,359,518,0,170,0,13,557,194,1840
PHOENIS SEARCHES LTD,0,0,0,0,0,0,0,0,270,1538,14,1822
SHAKESPEARE MARTINEAU LLP,1,34,14,159,194,3,235,0,58,864,242,1804
BIRKETTS LLP,0,7,11,184,161,1,261,0,148,791,205,1769
BRYAN CAVE LEIGHTON PAISNER LLP,0,1,1,256,128,2,13,0,63,1117,146,1727
DALCOUR MACLAREN LTD,0,0,0,0,0,0,0,0,0,1589,86,1675
THE MORTGAGE WORKS (UK) PLC,0,0,0,1211,2,0,0,0,0,75,387,1675
UK POWER NETWORKS (OPERATIONS) LTD,0,0,0,0,0,0,0,0,2,1143,494,1639
HMRC,0,0,0,29,0,0,0,0,0,1484,116,1629
FIDLER & PEPPER,0,0,5,262,563,0,43,0,3,537,164,1577
GATELEY PLC,0,15,7,189,83,11,75,0,70,826,277,1553
CLYDESDALE BANK PLC,0,0,0,1476,0,0,0,0,0,63,0,1539
WINCKWORTH SHERWOOD,0,23,4,510,27,1,70,0,40,655,208,1538
ASHFORDS,3,4,5,124,132,3,23,0,31,1032,173,1530
WSP MANAGEMENT SERVICES LTD,0,1,0,0,0,0,1,0,14,1423,87,1526
CLARKE WILLMOTT,0,5,9,150,100,2,29,0,59,946,220,1520
YOUR CONVEYANCER LIMITED,0,0,0,280,1046,0,0,0,0,169,17,1512
MORTIMER CLARKE SOLICITORS LIMITED,0,0,0,454,0,0,0,0,0,1046,11,1511
YORKSHIRE BANK HOME LOANS,0,0,0,614,2,0,0,0,0,878,3,1497
URBANPOINT PROPERTY MANAGEMENT LTD,0,0,0,3,4,0,0,0,0,618,851,1476
Beaumont Legal,0,2,4,324,486,1,7,0,0,528,117,1469
HOMES AND COMMUNITIES AGENCY,0,0,0,1291,0,0,0,0,0,125,53,1469
ALTUS UK LLP T/A ALTUS EDWIN HILL,0,0,0,0,0,0,0,0,0,286,1173,1459
NLIS,0,0,0,0,53,0,4,0,818,425,148,1448
NORTHERN POWERGRID HOLDINGS LIMITED,0,0,0,2,1,0,0,0,1,1221,158,1383
BLAKE MORGAN,2,12,9,181,76,0,66,0,32,808,184,1370
NATIONWIDE BUILDING SOCIETY,0,0,0,1326,12,0,0,0,0,20,4,1362
DAC BEACHCROFT,0,6,2,156,31,3,25,0,21,808,309,1361
EQUILAW LTD,0,2,0,44,24,0,6,0,13,1053,193,1335
DLA PIPER UK LLP,1,5,0,107,84,10,48,0,14,891,166,1326
FAIRFAX,0,0,0,188,0,16,0,0,0,1110,10,1324
FUNDING CIRCLE,0,0,0,15,14,0,0,0,0,1272,3,1304
BEVAN BRITTAN,0,4,14,33,20,2,26,0,49,781,369,1298
WALKER MORRIS LLP,1,2,4,193,53,49,9,0,4,732,244,1291
ORBIT GROUP LIMITED,0,0,0,0,0,0,0,0,0,1227,54,1281
LEEDS & HOLBECK BUILDING SOCIETY,0,0,0,1270,0,0,0,0,0,0,0,1270
IRWIN MITCHELL,0,7,7,171,60,0,31,0,13,815,155,1259
GELDARDS LLP,1,12,10,119,61,23,366,0,144,404,100,1240
FORSTERS LLP,0,13,4,58,53,1,221,0,9,715,156,1230
BANK OF IRELAND,0,0,0,1035,95,1,0,0,0,64,19,1214
CHARLES RUSSELL SPEECHLYS LLP,0,17,1,181,48,1,26,0,16,714,194,1198
PEPPER (UK) LIMITED,0,0,0,155,0,0,0,0,0,1039,0,1194
TSB BANK PLC SHELDON SEC CENTRE,0,0,0,1180,0,0,0,0,0,14,0,1194
FIRSTPORT PROPERTY SERVICES LTD,0,0,0,0,0,0,0,0,0,174,1016,1190
COVENTRY BUILDING SOCIETY,0,0,0,1183,0,0,0,0,0,0,0,1183
SCOTTISH AND SOUTHERN ENERGY GROUP PLC (SSE),0,2,0,38,7,1,65,0,17,913,136,1179
ASHURST LLP,0,3,3,177,49,0,9,0,15,728,190,1174
WILKIN CHAPMAN LLP,0,1,6,178,124,1,24,0,21,682,131,1168
J B LEITCH LLP,0,0,0,5,0,0,0,0,0,871,282,1158
LMS (TRADING AS TOTAL CONVEYANCING SERVICES),0,0,0,182,693,1,1,0,1,228,37,1143
RUSSELL & RUSSELL,1,3,5,247,294,0,28,0,24,401,133,1136
THE ROYAL BANK OF SCOTLAND PLC,0,0,0,1133,0,0,0,0,0,0,1,1134
MILLS & REEVE LLP,3,9,4,71,39,1,33,0,21,725,226,1132
HAMPTONS INTERNATIONAL,0,0,0,0,0,0,0,0,0,1123,8,1131
NAPTHENS LLP,0,0,6,118,127,0,15,0,41,564,226,1097
BARCLAYS SECURITY TRUSTEE LTD,0,0,0,198,0,0,0,0,0,650,244,1092
READ ROPER AND READ,0,2,1,88,491,0,14,0,0,372,109,1077
COVENTRY BUILDING SOCIETY,0,0,0,529,170,0,0,0,0,350,11,1060
HOMEGROUND MANAGEMENT LTD,0,0,0,0,0,0,0,0,0,700,345,1045
PROPERTY DEBT COLLECTION LIMITED,0,0,0,0,0,0,0,0,0,789,246,1035
LEADERS LIMITED,0,0,0,0,0,0,0,0,0,1026,1,1027
YORKSHIRE BUILDING SOCIETY,0,0,0,949,0,1,0,0,0,63,11,1024
Taylor & Emmet,1,4,2,124,174,0,40,0,10,480,182,1017
WESTERN POWER DISTRIBUTION PLC,0,0,0,0,0,0,0,0,0,915,98,1013
THAMESVIEW ESTATE AGENTS LTD,0,0,0,0,0,0,0,0,0,993,3,996
FOOT ANSTEY SOLICITORS,1,36,4,98,74,0,154,0,14,476,134,991
LIGHTFOOTS,0,6,2,320,291,13,12,0,1,282,61,988
DIRECTION HOME (LAW) LLP,0,51,13,100,144,5,388,0,1,204,78,984
NETWORK RAIL,0,0,0,0,0,0,0,0,0,811,163,974
Browne Jacobson LLP,0,6,7,65,65,90,27,0,48,483,177,968
HOGAN LOVELLS,0,0,0,30,106,2,1,0,6,737,79,961
DURHAM COUNTY COUNCIL,0,0,0,7,3,0,1,0,0,910,29,950
