Number and types of applications by all account customers,,,,,,,,,,,,
,,,,,,,,,,,,
Metrics, ,,,,,,,,,,,
Calendar Month,Jul-20,,,,,,,,,,,
Account Customer,FR,DFL,TP,DLG,OS(W),OS(NPW),OS(P),OS(NPP),SIMS,OC1,OC2,Total
Total,2136,11503,10753,308354,147086,1979,29573,29,19492,901394,209615,1641914
INFOTRACK LIMITED,0,0,1,0,10539,0,2816,0,1372,48482,14331,77541
ENACT,2,12,17,17668,11604,0,65,0,70,20115,1105,50658
O'NEILL PATIENT,3,57,33,14577,9848,3,259,0,71,11400,1762,38013
OPTIMA LEGAL SERIVICES,0,5,5,10095,5510,44,1,0,1,8490,526,24677
MY HOME MOVE LIMITED,8,46,82,3907,3652,1,468,0,96,8309,5756,22325
TM GROUP (UK) LTD (SEARCH CHOICE),0,0,0,0,3417,0,52,1,1040,12710,2699,19919
THE MORTGAGE WORKS (UK) PLC,0,0,0,0,32,0,0,0,0,19134,204,19370
HBOS PLC BANK,0,0,0,15661,0,0,0,0,0,0,0,15661
EVERSHEDS SUTHERLAND,42,69,98,3373,1701,146,144,0,256,6365,912,13106
LAND TECHNOLOGIES LTD,0,0,0,0,0,0,0,0,0,12834,0,12834
AGENT SOFTWARE LIMITED,0,0,0,0,0,0,0,0,0,11377,0,11377
Shulmans,0,5,4,4534,2952,0,5,0,3,1485,168,9156
HSBC,0,0,0,5391,204,0,0,0,0,3097,164,8856
GORDONS PROPERTY LAWYERS,1,5,5,3149,2240,0,14,0,2,2925,427,8768
NATIONWIDE BUILDING SOCIETY,0,0,0,8193,0,0,0,0,0,0,0,8193
HBOS PLC,0,0,0,7338,3,0,0,0,0,3,394,7738
DEVONSHIRES,0,43,17,1081,1393,3,185,0,59,3064,1641,7486
NATIONAL WESTMINSTER BANK PLC,0,0,0,7242,0,0,0,0,0,22,0,7264
BARCLAYS BANK UK PLC,0,0,0,6709,0,0,0,0,0,470,81,7260
ETSOS,0,0,0,0,0,0,0,0,0,7095,47,7142
NIMBUS PROPERTY SYSTEMS LIMITED,0,0,0,0,0,0,0,0,0,6049,1030,7079
TROWERS & HAMLINS,5,17,23,4151,197,33,120,0,79,1591,769,6985
ABBEY NATIONAL PLC,0,0,0,6734,0,0,0,0,0,0,0,6734
SOLEX LEGAL SERVICES LIMITED,0,8,2,2619,1791,1,0,0,1,2174,109,6705
ALTUS UK LLP T/A ALTUS EDWIN HILL,0,0,0,0,0,0,0,0,0,1029,5629,6658
HAMPTONS INTERNATIONAL,0,0,0,0,0,0,0,0,0,6352,87,6439
LLOYDS BANK PLC,0,0,0,1927,100,0,0,0,0,3694,611,6332
PHOENIS SEARCHES LTD,0,0,0,0,0,0,0,0,472,4932,906,6310
LEGAL MARKETING SERVICES LIMITED,0,0,0,0,0,0,0,0,0,6098,0,6098
LEGAL & GENERAL SURVEYING SERV LTD,0,0,0,0,0,0,0,0,0,6062,0,6062
BARCLAYS BANK PLC,0,0,0,253,0,0,0,0,0,5355,5,5613
COSTAR UK LIMITED,0,0,0,0,0,0,0,0,0,3379,2207,5586
TAYLOR ROSE LAW,5,42,42,998,1274,3,384,1,25,2000,758,5532
SHOOSMITHS,4,72,27,707,410,3,134,0,55,3120,641,5173
HUGH JAMES SOLICITORS,3,18,24,1736,1222,5,42,0,18,1535,417,5020
CONVEYANCING DIRECT LTD,2,10,1,1576,954,1,35,0,5,1572,540,4696
SANTANDER UK,0,0,0,4277,203,0,0,0,0,37,4,4521
LANDMARK INFORMATION GROUP LTD,0,0,0,0,17,0,0,0,0,4425,0,4442
CMS CAMERON MCKENNA LLP,0,36,11,240,110,1,140,0,134,3046,571,4289
WOMBLE BOND DICKINSON,0,40,21,339,86,47,70,0,93,2893,700,4289
ONLINE SEARCHES LIMITED,0,0,0,0,0,0,0,0,68,3926,118,4112
J B LEITCH LLP,0,1,1,5,0,0,0,0,0,3289,810,4106
THAMESVIEW ESTATE AGENTS LTD,0,1,0,1,0,0,0,0,0,3834,21,3857
TIMEWELL PLC,0,0,0,0,0,0,0,0,0,3230,544,3774
GOWLING WLG (UK) LLP,13,90,20,442,155,13,245,5,282,1943,406,3614
WRIGHT HASSALL LLP,1,11,20,121,48,2,52,0,14,3165,152,3586
PROPERTY LEGAL SERVICES (PLS),2,30,76,485,763,0,1102,0,11,710,356,3535
ONLINE APPLICATIONS LIMITED,0,0,0,0,0,0,0,0,0,3128,392,3520
DLA PIPER UK LLP,4,17,5,139,63,29,38,0,24,2378,814,3511
PINSENT MASONS LLP,0,244,28,140,142,17,148,0,277,2123,306,3425
FIDLER & PEPPER,6,8,25,964,977,0,54,0,4,1023,259,3320
PARAGON GROUP,0,0,0,685,240,1,0,0,0,2328,25,3279
KNIGHTS SOLICITORS LLP (NEWCASTLE UNDER LYME),6,25,33,340,224,25,121,0,62,1838,564,3238
BIRKETTS LLP,13,52,64,438,203,7,287,0,249,1529,380,3222
