Number and types of transactions for value by all account customers,,,,,
,,,,,
Metrics, ,,,,
Calendar Month,Mar-20,,,,
Account Customer,FR,DFL,TP,DLG,Total
Total,719,163,9955,44544,55381
MY HOME MOVE LIMITED,16,4,102,1265,1387
O'NEILL PATIENT,4,3,38,638,683
COUNTRYWIDE PROPERTY LAWYERS,8,1,20,507,536
PROPERTY LEGAL SERVICES (PLS),1,0,131,243,375
SHOOSMITHS,2,1,52,274,329
Davisons Solicitors,2,2,98,205,307
TAYLOR ROSE LAW,3,1,60,232,296
BIRCHALL BLACKBURN,1,1,14,276,292
TALBOTS LAW LIMITED,3,0,93,190,286
ADVANTAGE PROPERTY LAWYERS,4,0,9,268,281
JMW Solicitors LLP,3,0,18,244,265
GORVINS,1,0,17,224,242
J S LAW,2,1,16,214,233
ISON HARRISON,1,1,82,139,223
DC LAW,5,1,14,199,219
MCMILLAN WILLIAMS,1,4,10,197,212
SETFORDS LAW LTD,0,0,18,190,208
COOK TAYLOR WOODHOUSE,0,0,49,158,207
CONVEY LAW LIMITED,0,3,16,184,203
Howells Solicitors,0,0,52,149,201
MARTIN TOLHURST PARTNERSHIP LLP,1,1,17,177,196
Taylor & Emmet,8,0,35,151,194
SHAKESPEARE MARTINEAU LLP,0,0,56,137,193
BOWER & BAILEY,1,1,80,110,192
EVERSHEDS SUTHERLAND,1,0,27,159,187
SIMPLY CONVEYANCING PROPERTY LAWYERS,1,0,9,177,187
COFFIN MEW LLP,0,1,130,47,178
FIDLER & PEPPER,7,0,32,136,175
WATSON RAMSBOTTOM,1,1,142,29,173
BIRKETTS LLP,1,0,52,111,164
GLOVER PRIEST SOLICITORS LIMITED,6,0,17,140,163
THE SPICKETTS BATTRICK LAW PRACTICE,2,0,13,146,161
CHADWICK LAWRENCE LLP,1,1,20,135,157
CONVEYANCING DIRECT LTD,0,0,11,140,151
READ ROPER AND READ,2,1,4,137,144
Ramsdens Solicitors LLP,3,0,22,117,142
ALEXANDER GRACE LAW LIMITED,2,0,3,135,140
ADDLESHAW GODDARD,0,0,1,138,139
GRINDEYS LLP,0,0,37,96,133
SWEENEY MILLER SOLICITORS,4,0,11,118,133
BANNISTER PRESTON,0,0,58,72,130
Beaumont Legal,2,0,7,121,130
SAS DANIELS,1,0,67,60,128
PIRIE PALMANN LIMITED,2,0,10,113,125
PINSENT MASONS LLP,0,0,102,22,124
PM LAW LTD,0,0,5,119,124
CORE LEGAL LIMITED,2,0,59,60,121
Blacks Solicitors,2,0,13,104,119
LEVI SOLICITORS LLP,1,0,41,75,117
ENACT,2,0,13,101,116
NAPTHENS LLP,1,0,17,98,116
CAVENDISH LEGAL GROUP,0,1,15,99,115
Franklins Solicitors LLP,0,0,51,61,112
Attwells,2,0,11,97,110
ELLIOT MATHER LLP,0,0,41,65,106
ERIC ROBINSON SOLICITORS,0,0,39,67,106
