Number and types of transactions for value by all account customers,,,,,
,,,,,
Metrics, ,,,,
Calendar Month,Apr-20,,,,
Account Customer,FR,DFL,TP,DLG,Total
Total,3,7,255,175,440
CLARKE WILLMOTT,0,1,2,8,11
HSR LAW,0,0,1,6,7
WEST COAST CONVEYANCING,0,0,0,7,7
HARRISON DRURY,0,0,1,5,6
JB LEITCH REAL ESTATE LTD,0,0,5,0,5
SCJ SOLICITORS,1,0,4,0,5
BIRKETTS LLP,0,0,4,0,4
STEPHENS SCOWN,0,0,1,3,4
ACTONS,0,0,2,1,3
ANDREW & ANDREW,0,0,1,2,3
ANGEL WILKINS LLP,0,0,1,2,3
Battens Solicitors Limited,0,0,3,0,3
BOWER & BAILEY,0,0,3,0,3
EVERSHEDS SUTHERLAND,0,1,1,1,3
FIELDFISHER LLP,0,0,2,1,3
FRASER DAWBARNS SOLICITORS,0,0,3,0,3
JMW Solicitors LLP,0,0,2,1,3
JOELSON JD LLP,0,0,0,3,3
JOHN M LEWIS,0,0,0,3,3
Mincoffs Solicitors LLP,0,0,2,1,3
MUNDAYS,0,0,0,3,3
Paul Robinson & Co,0,0,3,0,3
TAYLOR ROSE LAW,0,0,1,2,3
ALDRIDGE BROWNLEE,0,0,0,2,2
ANDREW HURRELL,1,0,1,0,2
BARTONS,0,0,2,0,2
Blacks Solicitors,0,0,1,1,2
BLAKE MORGAN,0,0,0,2,2
BOSLEY & CO,0,0,2,0,2
BOYS & MAUGHAN,0,0,1,1,2
BRIGHTSTONE LAW LLP,0,0,2,0,2
CHRISMAS OGDEN,0,0,0,2,2
CONVEYANCING DIRECT LTD,0,0,2,0,2
COOPER SONS HARTLEY AND WILLIAMS,0,0,1,1,2
CORNISH VENNING CHELLEWS SOLICITORS,0,0,2,0,2
CURTIS LAW LLP INC CURTIS WHITEFORD CROCKER,0,0,0,2,2
DAC BEACHCROFT,0,0,1,1,2
DB LAW,0,0,2,0,2
DC LAW,0,0,0,2,2
DEVONSHIRES,0,0,2,0,2
ELLIS DAVIES & CO,0,0,2,0,2
ESTATES & MANAGEMENT LTD,0,0,1,1,2
EXCELLO LAW LIMITED,0,0,0,2,2
GLOVERS SOLICITORS LLP,0,0,1,1,2
GOLDENTREE FINANCIAL SERVICES PLC,0,0,2,0,2
Goldsmith Williams,0,1,0,1,2
GRAYS SOLICITORS,0,0,2,0,2
HENRIQUES GRIFFITHS & CO,0,0,0,2,2
HENWOOD TWENTY TWO LIMITED,0,0,0,2,2
HUMPHRIES KIRK LLP,0,0,1,1,2
JONES DAY,0,0,0,2,2
KINGSFORDS,0,0,1,1,2
KITELEYS SOLICITORS,0,0,0,2,2
LIGHTFOOTS,0,0,2,0,2
MKB SOLICITORS LLP (AKA MILLS KEMP AND BROWN),0,0,1,1,2
MOOREBLATCH,0,0,0,2,2
O'NEILL PATIENT,0,0,2,0,2
OSBORNE CLARKE,0,0,1,1,2
PAYNE MARSH STILLWELL,0,0,0,2,2
PROPERTY LEGAL SERVICES (PLS),0,0,1,1,2
RATIO LAW,0,0,0,2,2
REYNOLDS PORTER CHAMBERLAIN LLP,0,0,1,1,2
RONALD FLETCHER BAKER LLP,0,0,1,1,2
S C LEGAL,0,0,1,1,2
SAS DANIELS,0,0,2,0,2
SHAKESPEARE MARTINEAU LLP,0,0,2,0,2
SHOOSMITHS,0,0,1,1,2
SLEE BLACKWELL,0,0,1,1,2
STRATA HOMES YORKSHIRE LIMITED,0,0,0,2,2
TEES,0,0,2,0,2
THE MIAH SOLICITORS LTD,0,0,0,2,2
TLT LLP,0,0,1,1,2
TRENT LAW LTD,0,0,1,1,2
WARNERS LAW LLP,0,0,1,1,2
WINDER TAYLOR SMITH,0,0,0,2,2
A P MALAM,0,0,1,0,1
ABACUS SOLICITORS,0,0,0,1,1
ABSOLUTE CONVEYANCING LIMITED,0,0,1,0,1
ACCOUNTANCY SOLUTIONS (UK) LIMITED,0,0,1,0,1
ADIE PEPPERDINE LLP,0,0,1,0,1
ADVANTAGE PROPERTY LAWYERS,0,0,0,1,1
ALLETSONS (BRIDGWATER),0,0,1,0,1
ALWENA JONES & JONES,0,0,1,0,1
AMICUS SOLICITORS,0,0,1,0,1
AMS SOLICITORS LIMITED,0,0,1,0,1
ANDREW JACKSON,0,0,1,0,1
ANGLIAN WATER SERVICES LTD,0,0,1,0,1
ANSONS,0,0,1,0,1
APEX ABS LIMITED,0,0,1,0,1
ASHTON BOND GIGG,0,0,1,0,1
ASTLE PATERSON LTD,0,0,0,1,1
ASTON BOND,0,0,0,1,1
BARKER GILLETTE,0,0,1,0,1
BARRETT & NELLIGAN,0,0,1,0,1
BATCHELORS SOLICITORS,0,0,1,0,1
BDB PITMANS,0,0,1,0,1
Beaumont Legal,0,0,0,1,1
BENTLEYS,0,0,1,0,1
BEVAN BRITTAN,0,0,1,0,1
