Number and types of transactions for value by all account customers,,,,,
,,,,,
Metrics, ,,,,
Calendar Month,Aug-20,,,,
Account Customer,FR,DFL,TP,DLG,Total
Total,316,206,7371,46497,54390
MY HOME MOVE LIMITED,5,5,87,1529,1626
O'NEILL PATIENT,1,5,31,741,778
COUNTRYWIDE PROPERTY LAWYERS,2,0,8,452,462
TAYLOR ROSE LAW,1,0,41,347,389
ADVANTAGE PROPERTY LAWYERS,0,0,8,317,325
PROPERTY LEGAL SERVICES (PLS),1,1,115,178,295
Davisons Solicitors,0,0,75,218,293
COOK TAYLOR WOODHOUSE,0,5,14,253,272
FIDLER & PEPPER,1,0,31,231,263
BIRCHALL BLACKBURN,0,0,14,244,258
SHOOSMITHS,0,0,38,201,239
JMW Solicitors LLP,3,0,20,208,231
SIMPLY CONVEYANCING PROPERTY LAWYERS,0,0,7,204,211
GORVINS,1,1,12,193,207
BOWER & BAILEY,0,0,54,152,206
MARTIN TOLHURST PARTNERSHIP LLP,0,0,7,198,205
TALBOTS LAW LIMITED,0,2,44,157,203
MCMILLAN WILLIAMS,0,5,11,173,189
SETFORDS LAW LTD,0,6,11,161,178
DC LAW,0,2,14,152,168
PIRIE PALMANN LIMITED,0,0,5,160,165
WATSON RAMSBOTTOM,0,0,105,59,164
GLOVER PRIEST SOLICITORS LIMITED,1,0,11,150,162
Howells Solicitors,2,0,35,120,157
JS LAW LIMITED,0,0,0,157,157
DORLING COTTRELL LTD T/A D C LAW,0,0,1,153,154
CHADWICK LAWRENCE LLP,3,0,11,135,149
RUSSELL & RUSSELL,1,0,11,136,148
ISON HARRISON,0,0,29,118,147
PM LAW LTD,0,0,12,133,145
J S LAW,0,2,11,131,144
Taylor & Emmet,0,0,17,122,139
KEEBLES LLP,4,0,7,126,137
Ramsdens Solicitors LLP,1,1,9,126,137
ENACT,0,0,9,126,135
EVERSHEDS SUTHERLAND,0,0,22,110,132
BANNISTER PRESTON,0,0,42,89,131
BISHOPSGATE LAW LIMITED,0,0,4,124,128
Blacks Solicitors,0,2,6,120,128
TILLY BAILEY & IRVINE,0,0,10,117,127
CONVEYANCING DIRECT LTD,1,1,4,120,126
SHAKESPEARE MARTINEAU LLP,0,0,37,88,125
BOYS & MAUGHAN,0,0,7,114,121
THE SPICKETTS BATTRICK LAW PRACTICE,1,1,5,114,121
WARNER GOODMAN LLP,0,0,3,118,121
KNIGHTS SOLICITORS LLP (NEWCASTLE UNDER LYME),1,0,31,88,120
Franklins Solicitors LLP,0,0,35,81,116
KEY CONVEYANCING,1,0,34,81,116
HOME PROPERTY LAWYERS LIMITED,0,0,12,103,115
BANNER JONES LIMITED,2,0,21,91,114
HAYWARD MOON PROPERTY LAWYERS,0,0,7,107,114
LEVI SOLICITORS LLP,0,0,28,86,114
ESTATES & MANAGEMENT LTD,0,0,87,26,113
CONVEY LAW LIMITED,0,1,9,102,112
Poole Alcock LLP,1,0,9,100,110
BRIDGE MCFARLAND SOLICITORS,1,0,17,91,109
HCB SOLICITORS,1,0,13,95,109
ELLIOT MATHER LLP,5,0,26,75,106
COFFIN MEW LLP,1,0,55,49,105
READ ROPER AND READ,0,2,4,98,104
STAR LEGAL LLP,3,0,20,81,104
JANE BROOKS LAW,0,0,18,85,103
ALEXANDER GRACE LAW LIMITED,1,1,6,93,101
GORDON BROWN LAW FIRM LLP,0,0,34,67,101
Lambert Pugh,0,0,7,94,101
P C S,0,0,9,92,101
Beaumont Legal,0,0,7,92,99
CUNNINGTONS,1,0,12,85,98
NAPTHENS LLP,0,0,10,88,98
Forster Dean Ltd,0,0,4,92,96
SILLS AND BETTERIDGE,1,0,9,86,96
DICKINSON WOOD,0,0,3,92,95
STEPHEN RIMMER LLP,0,3,8,80,91
SWEENEY MILLER SOLICITORS,1,0,8,82,91
RIGHT CHOICE CONVEYANCING LIMITED,0,0,23,67,90
CAVENDISH LEGAL GROUP,0,2,13,73,88
FOOT ANSTEY SOLICITORS,0,0,38,46,84
HEDLEYS & CO (SUNDERLAND),0,0,43,41,84
NEWBOLD & CO,1,0,16,67,84
NALDERS SOLICITORS,2,0,11,70,83
ROYDS WITHY KING LLP,0,0,7,76,83
SIMPSON MILLAR LLP,0,0,4,79,83
WARD GETHIN ARCHER,0,0,20,63,83
FISHER JONES GREENWOOD (FJG),3,1,14,63,81
TRETHOWANS,1,1,3,76,81
ELLIS FERMOR & NEGUS,0,0,5,75,80
SAS DANIELS,1,0,14,64,79
FOSTERS,0,0,7,71,78
BREARLEYS,0,0,7,70,77
CONNECT2LAW LTD,0,2,2,73,77
DAVIES & PARTNERS,0,0,49,28,77
PURE LAW LLP,0,0,7,70,77
THE COMPTON GROUP,0,0,36,41,77
ANGEL WILKINS LLP,0,0,4,72,76
Attwells,0,0,4,72,76
JACKSON LEES GROUP LTD,0,0,6,70,76
TAYLOR WALTON,0,2,16,58,76
THE PARTNERSHIP (2009) LIMITED,0,3,3,70,76
WILKIN CHAPMAN LLP,2,0,17,57,76
BIRKETTS LLP,3,0,26,46,75
ERIC ROBINSON SOLICITORS,0,0,17,58,75
AST HAMPSONS,0,0,29,45,74
FREETHS,1,0,22,51,74
MFG Solicitors,1,0,11,62,74
CORE LEGAL LIMITED,0,1,9,63,73
TAYLOR BRACEWELL,0,0,6,67,73
A V RILLO & CO,0,1,1,69,71
GEPP & SONS SOLICITORS LLP,1,1,8,61,71
Lockings,0,0,4,67,71
NORTON PESKETT (QUALITY SOLICITORS),0,0,18,53,71
MORTONS,0,0,4,66,70
RENIER GILLIES (T/A RG SOLICITORS),0,0,9,61,70
TBD LEGAL LIMITED,0,1,7,62,70
Tinsdills Solicitors,0,0,9,61,70
BHW SOLICITORS,0,0,31,38,69
WILKINSON WOODWARD NORCLIFFE & CO,0,0,7,62,69
ASHFORDS,2,0,18,48,68
GARNER CANNING & CO SOLICITOR,0,0,7,61,68
GOWLING WLG (UK) LLP,0,0,16,52,68
AMPHLETT LISSIMORE,0,2,1,64,67
CHATTERTONS (INC CHATTERTONS MCKINNELLS),0,0,12,55,67
NATIONAL GRID COMPANY PLC,0,0,1,66,67
RMNJ Solicitors,0,0,3,64,67
DEE AND GRIFFIN,0,0,4,62,66
Paul Robinson & Co,0,1,10,55,66
ROYTHORNES LIMITED,0,0,31,34,65
BUTCHER & BARLOW,2,0,8,54,64
CLARKE WILLMOTT,1,0,17,46,64
G M WILSON,0,0,27,37,64
LANGLEY WELLINGTON,0,2,16,46,64
VINCENTS SOLICITORS,2,0,4,58,64
SLEE BLACKWELL,3,0,9,51,63
BREWER WALLACE LTD,1,0,2,59,62
MARTIN-KAYE,2,0,3,57,62
SIMPSON JONES LLP,1,0,8,53,62
TWM Solicitors LLP,0,1,7,54,62
WOMBLE BOND DICKINSON,0,0,48,14,62
HARRISON CLARK RICKERBYS,0,0,12,49,61
Woodford Stauffer,0,1,3,57,61
BLB,0,0,9,51,60
CAMPIONS SOLICITORS (NOTTINGHAM),0,0,4,56,60
FREERS ASKEW BUNTING SOLS LTD,0,0,2,58,60
GABY HARDWICKE,0,0,5,55,60
MARK SWATTS MORSE LLP,0,0,2,58,60
RONALD FLETCHER BAKER LLP,0,3,3,54,60
BEVAN BRITTAN,0,0,33,26,59
BLAKE MORGAN,0,1,12,46,59
BUTTERWORTHS,1,0,27,31,59
Mincoffs Solicitors LLP,0,0,3,56,59
