Number of applications in England and Wales divided by local authority,,,,,,,,,,,,
,,,,,,,,,,,,
Metrics, ,,,,,,,,,,,
Calendar Month,Jan-20,,,,,,,,,,,
Local Authority,FR,DFL,TP,DLG,OS(W),OS(NPW),OS(P),OS(NPP),SIMS,OC1,OC2,Total
Total,8227,14485,16693,395385,182905,2783,31652,31,19582,964186,202904,1838833
ALL COUNTIES,0,0,0,0,0,0,0,0,0,9,75,84
ADUR,7,15,5,440,211,0,13,0,11,944,176,1822
ALLERDALE,36,8,47,672,294,2,54,0,52,1604,287,3056
AMBER VALLEY,30,7,42,852,394,12,65,0,47,1661,293,3403
ARUN,16,39,38,1155,542,10,66,3,44,2825,656,5394
ASHFIELD,24,1,16,827,394,5,25,0,28,1544,297,3161
ASHFORD,7,20,51,900,425,1,104,0,35,2468,513,4524
AYLESBURY VALE,29,54,135,1406,678,14,169,0,68,3591,1065,7209
BABERGH,16,43,44,575,280,15,58,1,48,1443,313,2836
BARKING AND DAGENHAM,5,95,12,1082,527,70,84,0,36,2970,655,5536
BARNET,8,190,28,2269,1163,35,160,0,121,8240,1665,13879
BARNSLEY,47,34,97,1618,695,9,92,0,68,2805,552,6017
BARROW-IN-FURNESS,9,2,9,511,243,3,20,0,20,800,86,1703
BASILDON,13,44,34,1268,648,2,56,0,61,2697,587,5410
BASINGSTOKE AND DEANE,23,44,76,1242,531,13,184,0,39,2792,642,5586
BASSETLAW,37,6,70,787,354,8,83,0,69,1637,319,3370
BATH AND NORTH EAST SOMERSET,39,58,95,1236,574,6,127,0,92,2886,656,5769
BEDFORD,21,125,76,1277,635,3,140,0,41,3029,636,5983
BEXLEY,5,87,16,1674,841,6,65,0,25,4178,819,7716
BIRMINGHAM,93,325,123,6313,2852,42,424,0,307,14503,2682,27664
BLABY,18,13,45,747,363,3,44,0,27,1224,242,2726
BLACKBURN WITH DARWEN,10,6,37,868,394,7,38,0,64,1795,326,3545
BLACKPOOL,32,24,26,955,503,12,36,0,42,2174,271,4075
BLAENAU GWENT,18,1,10,388,200,7,19,0,19,738,149,1549
BOLSOVER,6,1,43,544,227,5,62,0,28,1046,214,2176
BOLTON,20,16,89,1845,722,8,102,0,101,4997,1006,8906
BOSTON,23,6,28,403,159,1,31,0,41,960,164,1816
