Number of applications in England and Wales divided by region,,,,,,,,,,,,
,,,,,,,,,,,,
Metrics, ,,,,,,,,,,,
Calendar Month,Jan-20,,,,,,,,,,,
Region,FR,DFL,TP,DLG,OS(W),OS(NPW),OS(P),OS(NPP),SIMS,OC1,OC2,Total
Total,8227,14485,16693,395385,182905,2783,31652,31,19582,964186,202904,1838833
East Anglia,557,505,1006,16993,7436,131,1495,5,1165,38932,7579,75804
East Midlands,807,642,1904,31770,14366,204,2550,0,1618,65563,12966,132390
Greater London,188,4467,386,57133,26692,452,4658,4,2696,206575,45932,349183
Isles of Scilly,1,0,0,7,0,0,1,0,0,28,2,39
North,541,373,1102,20149,9772,282,1429,0,1010,44877,8710,88245
North West,921,1266,2088,45966,22051,402,4312,1,2697,108895,23881,212480
South East,1349,3842,3560,90453,43107,556,7639,17,3809,222265,47793,424390
South West,1108,1169,2096,40895,18248,233,3012,2,2127,84541,19420,172851
Wales,1042,322,878,20138,8965,153,1369,1,1007,41190,7687,82752
West Midlands,910,1170,1863,37440,16270,190,2772,0,1851,79399,15100,156965
Yorks & Humber,803,729,1810,34441,15998,180,2415,1,1602,71912,13759,143650
England & Wales (not assigned),0,0,0,0,0,0,0,0,0,9,75,84
