Number of applications in England and Wales divided by region,,,,,,,,,,,,
,,,,,,,,,,,,
Metrics, ,,,,,,,,,,,
Calendar Month,Jun-20,,,,,,,,,,,
Region,FR,DFL,TP,DLG,OS(W),OS(NPW),OS(P),OS(NPP),SIMS,OC1,OC2,Total
Total,999,2812,3475,320594,131774,1688,26589,10,15670,765754,162233,1431598
East Anglia,68,68,225,14210,5686,75,1434,1,980,31193,6525,60465
East Midlands,88,106,348,26632,11076,130,2324,1,1256,53397,10899,106257
Greater London,27,1083,131,43668,18230,552,3960,2,2130,162918,35239,267940
Isles of Scilly,0,0,0,7,0,0,1,0,1,12,1,22
North,65,63,244,16327,6964,65,1272,0,795,35228,7038,68061
North West,90,244,404,37781,16087,152,3376,0,2133,85282,18305,163854
South East,180,681,762,74735,30485,294,6300,3,3235,180865,38061,335601
South West,151,213,446,32425,13063,165,2615,0,1696,70940,16501,138215
Wales,102,55,196,16677,6279,58,1012,3,754,27216,5088,57440
West Midlands,111,184,391,29762,12119,114,2309,0,1468,62052,12636,121146
Yorks & Humber,117,115,328,28370,11785,83,1986,0,1222,56645,11874,112525
England & Wales (not assigned),0,0,0,0,0,0,0,0,0,6,66,72
