Number of applications in England and Wales divided by region,,,,,,,,,,,,
,,,,,,,,,,,,
Metrics, ,,,,,,,,,,,
Calendar Month,Jul-20,,,,,,,,,,,
Region,FR,DFL,TP,DLG,OS(W),OS(NPW),OS(P),OS(NPP),SIMS,OC1,OC2,Total
Total,2231,11597,11082,318902,147143,1979,29578,29,20079,904365,210873,1657858
East Anglia,175,306,677,13953,6246,66,1604,0,1409,36155,8760,69351
East Midlands,227,480,1129,27042,12268,114,2448,1,1462,62040,13870,121081
Greater London,54,4241,319,44777,21000,408,4607,1,2658,187438,43996,309499
Isles of Scilly,0,0,0,4,2,0,0,0,0,26,4,36
North,140,334,750,16689,7842,76,1310,0,975,41114,9408,78638
North West,230,916,1671,37858,17304,322,3844,7,2801,100641,23600,189194
South East,362,2717,2121,73568,33545,417,6919,19,4120,217627,49974,391389
South West,334,973,1302,32474,15320,232,2991,1,2324,82950,22117,161018
Wales,258,272,654,15259,7180,108,1010,0,924,36091,7246,69002
West Midlands,262,778,1148,29121,13597,120,2577,0,1801,74538,16494,140436
Yorks & Humber,189,580,1311,28157,12839,116,2268,0,1605,65742,15305,128112
England & Wales (not assigned),0,0,0,0,0,0,0,0,0,3,99,102
