Number of applications in England and Wales divided by region,,,,,,,,,,,,
,,,,,,,,,,,,
Metrics, ,,,,,,,,,,,
Calendar Month,Aug-20,,,,,,,,,,,
Region,FR,DFL,TP,DLG,OS(W),OS(NPW),OS(P),OS(NPP),SIMS,OC1,OC2,Total
Total,2007,10801,11260,262656,134343,1872,29636,24,20854,831219,200119,1504791
East Anglia,140,339,642,11184,6010,80,1506,0,1443,35232,8205,64781
East Midlands,201,429,1153,21439,10779,132,2474,0,1634,61384,13224,112849
Greater London,53,3882,326,38423,18945,310,4333,4,2392,167501,39566,275735
Isles of Scilly,0,0,0,5,1,1,1,0,1,21,9,39
North,139,314,811,13282,7121,119,1335,0,927,36878,8840,69766
North West,181,831,1619,32340,15968,257,3934,5,2912,89509,23080,170636
South East,323,2685,2104,59538,31021,404,7244,6,4387,199091,48360,355163
South West,312,920,1398,26390,14084,215,2918,2,2445,79205,21231,149120
Wales,248,251,649,13240,6439,72,901,5,1048,34501,7707,65061
West Midlands,228,635,1278,23889,11874,137,2635,2,1921,66876,15278,124753
Yorks & Humber,182,515,1280,22926,12101,145,2355,0,1744,61018,14539,116805
England & Wales (not assigned),0,0,0,0,0,0,0,0,0,3,80,83
