Number of applications in England and Wales divided by region,,,,,,,,,,,,
,,,,,,,,,,,,
Metrics, ,,,,,,,,,,,
Calendar Month,Sep-20,,,,,,,,,,,
Region,FR,DFL,TP,DLG,OS(W),OS(NPW),OS(P),OS(NPP),SIMS,OC1,OC2,Total
Total,2353,11768,11511,281925,160675,2213,34329,24,21782,953471,224540,1704591
East Anglia,193,319,654,12220,7021,55,1756,0,1375,39257,9589,72439
East Midlands,215,494,1212,22990,12862,161,3023,1,1667,65469,14839,122933
Greater London,64,4253,356,40505,22837,512,5119,3,2571,191587,43011,310818
Isles of Scilly,0,2,0,6,2,0,2,0,0,27,5,44
North,130,321,847,15353,8159,125,1608,0,1257,42712,9673,80185
North West,256,924,1659,32836,19198,232,4312,10,2792,106314,24231,192764
South East,403,2941,2345,65135,37955,451,8258,4,4385,228385,54770,405032
South West,334,1034,1280,28280,16684,258,3446,0,2571,89296,24310,167493
Wales,280,227,678,13596,8166,101,997,3,1205,40958,9190,75401
West Midlands,263,687,1279,26118,13559,158,3211,2,2073,78542,17390,143282
Yorks & Humber,215,566,1201,24886,14232,160,2597,1,1886,70923,17430,134097
England & Wales (not assigned),0,0,0,0,0,0,0,0,0,1,102,103
