Spend over £25k - April 2017,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Department,Entity,Date,Expense Type,Expense Area,Supplier,Transaction No,Total Gross Value,Description,Supplier Postcode,Expenditure Type,,,,,,
Department of Education,OFSTED,19/04/2017,Managed Services,Information Services,Always On Ltd,823301,"£36,072.00",ICT Support,RG1 8BW,Programme Class,,,,,,
Department of Education,OFSTED,03/04/2017,Temporary Staff,Finance and Resources,Brook Street (Uk) Ltd,823155,"£44,361.29",Contingent Labour,AL1 4ZX,Admin Class,,,,,,
Department of Education,OFSTED,19/04/2017,Temporary Staff,Finance and Resources,Brook Street (Uk) Ltd,823339,"£43,941.52",Contingent Labour,AL1 4ZX,Admin Class,,,,,,
Department of Education,OFSTED,07/04/2017,Managed Services,Information Services,Bytes Software Services Ltd,823323,"£31,895.53",ICT Support,KT22 7TW,Admin Class,,,,,,
Department of Education,OFSTED,06/04/2017,Managed Services,Information Services,CACI Ltd,823294,"£72,120.00",ICT Support,W14 8TS,Programme Class,,,,,,
Department of Education,OFSTED,05/04/2017,Travel,Corporate Transactions,Calder Conferences Ltd,823262,"£28,429.46",Meeting and Conferencing Service,LS16 6RF,Programme Class,,,,,,
Department of Education,OFSTED,26/04/2017,Travel,Corporate Transactions,Calder Conferences Ltd,823432,"£85,843.24",Meeting and Conferencing Service,LS16 6RF,Programme Class,,,,,,
Department of Education,OFSTED,03/04/2017,Temporary Staff,Finance and Resources,Capita Business Services Ltd.,823177,"£26,976.54",Contingent Labour,DL1 9HN,Admin Class,,,,,,
Department of Education,OFSTED,05/04/2017,Managed Services,Information Services,CGI IT UK Ltd,823266,"£38,710.45",ICT Support,RG2 6UA,Admin Class,,,,,,
Department of Education,OFSTED,25/04/2017,Managed Services,Information Services,CGI IT UK Ltd,823421,"£277,734.08",ICT Support,RG2 6UA,Admin Class,,,,,,
Department of Education,OFSTED,25/04/2017,Managed Services,Information Services,CGI IT UK Ltd,823422,"£56,194.10",ICT Support,RG2 6UA,Admin Class,,,,,,
Department of Education,OFSTED,05/04/2017,Managed Services,Information Services,Data Continuity Group Limited,823228,"£25,792.20",ICT Support,RG12 9BG,Programme Class,,,,,,
Department of Education,OFSTED,19/04/2017,Legal Fees,Finance and Resources,DLA Piper UK LLP,823328,"£35,571.36",Legal Fees,EC2V 7EE,Admin Class,,,,,,
