Spend over £25k - May 2017,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Department,Entity,Date,Expense Type,Expense Area,Supplier,Transaction No,Total Gross Value,Description,Supplier Postcode,Expenditure Type,,,,,,
Department of Education,OFSTED,03/05/2017,Temporary Staff,Finance and Resources,Brook Street (Uk) Ltd,823517,"£32,171.35",Contingent Labour,AL1 4ZX,Admin Class,,,,,,
Department of Education,OFSTED,04/05/2017,Temporary Staff,Finance and Resources,Brook Street (Uk) Ltd,823528,"£38,268.82",Contingent Labour,AL1 4ZX,Admin Class,,,,,,
Department of Education,OFSTED,04/05/2017,Temporary Staff,Finance and Resources,Brook Street (Uk) Ltd,823529,"£28,404.90",Contingent Labour,AL1 4ZX,Admin Class,,,,,,
Department of Education,OFSTED,30/05/2017,Temporary Staff,Finance and Resources,Brook Street (Uk) Ltd,823802,"£37,937.01",Contingent Labour,AL1 4ZX,Admin Class,,,,,,
Department of Education,OFSTED,15/05/2017,Managed Services,Information Services,CACI Ltd,823655,"£122,910.00",ICT Support,W14 8TS,Programme Class,,,,,,
Department of Education,OFSTED,30/05/2017,Managed Services,Information Services,CACI Ltd,823819,"£52,830.00",ICT Support,W14 8TS,Programme Class,,,,,,
Department of Education,OFSTED,11/05/2017,Travel,Corporate Transactions,Calder Conferences Ltd,823630,"£114,309.39",Meeting and Conferencing Service,LS16 6RF,Programme Class,,,,,,
Department of Education,OFSTED,04/05/2017,Managed Services,Information Services,Data Continuity Group Limited,823537,"£26,247.60",ICT Support,RG12 9BG,Programme Class,,,,,,
Department of Education,OFSTED,10/05/2017,Managed Services,Information Services,Data Continuity Group Limited,823614,"£26,979.00",ICT Support,RG12 9BG,Programme Class,,,,,,
Department of Education,OFSTED,19/05/2017,Accommodation Service Charge,Property Division,F And C Property Asset Mgmt,823717,"£56,485.43",Accommdation Rent and Service Charge,W1U 7GA,Programme Class,,,,,,
Department of Education,OFSTED,19/05/2017,Accommodation Service Charge,Property Division,F And C Property Asset Mgmt,823718,"£42,459.89",Accommdation Rent and Service Charge,W1U 7GA,Programme Class,,,,,,
Department of Education,OFSTED,08/05/2017,Accommodation Service Charge,Finance and Resources,Food Standards Agency,823586,"£316,835.93",Accommdation Rent and Service Charge,YO1 7PX,Programme Class,,,,,,
Department of Education,OFSTED,25/05/2017,Managed Services,Communications,Informed Solutions Ltd,823778,"£30,000.00",Digital Communications,WA14 4PA,Admin Class,,,,,,
Department of Education,OFSTED,05/05/2017,Accommodation Service Charge,Property Division,Manchester City Council,823577,"£82,867.00",Accommdation Rent and Service Charge,M15 5TU,Programme Class,,,,,,
Department of Education,OFSTED,05/05/2017,Accommodation Service Charge,Property Division,Manchester City Council,823578,"£82,867.00",Accommdation Rent and Service Charge,M15 5TU,Programme Class,,,,,,
Department of Education,OFSTED,23/05/2017,Managed Services,Finance and Resources,Microsoft Limited,823745,"£93,022.22",ICT Support,RG6 1WG,Admin Class,,,,,,
Department of Education,OFSTED,17/05/2017,Information Services,Information Services,Rainmaker Solutions Limited,823679,"£36,606.96",ICT Support,MK18 1HD,Admin Class,,,,,,
Department of Education,OFSTED,03/05/2017,Corporate Transactions,Finance and Resources,Redfern Travel Ltd,823519,"£337,870.73",Travel and Overnight Accommodation,BD1 3AZ,Admin Class,,,,,,
Department of Education,OFSTED,03/05/2017,Corporate Transactions,Corporate Transactions,Royal Bank of Scotland,112,"£39,261.50",Corporate Purchasing Card,EC2M 4RB,Programme Class,,,,,,
Department of Education,OFSTED,19/05/2017,Managed Services,Information Services,Tribal Education Ltd,823715,"£44,391.53",Inspection Services,S2 4AN,Programme Class,,,,,,
Department of Education,OFSTED,19/05/2017,Contracted Inspection Costs,Inspection Costs,Tribal Education Ltd,823723,"£93,029.82",Inspection Services,S2 4AN,Programme Class,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
