Spend over £25k - June 2017,,Redact,,,,,,,,,,,
,,New Supplier This Month,,,,,,,,,,,
,,Description to be Agreed,,,,,,,,,,,
,,Expense Type/Area Changed,,,,,,,,,,,
Department,Entity,Date,Expense Type,Expense Area,Supplier,Transaction No,Total Gross Value,Description,Supplier Postcode,Expenditure Type,,,
Department of Education,OFSTED,14/06/2017,Managed Services,Information Services,CGI IT UK Ltd,823974,"£26,934.10",ICT Support,RG2 6UA,Programme Class,,,
Department of Education,OFSTED,06/06/2017,Managed Services,Information Services,Data Continuity Group Limited,823901,"£27,751.80",ICT Support,RG12 9BG,Programme Class,,,
Department of Education,OFSTED,13/06/2017,Managed Services,Information Services,CACI Ltd,823960,"£27,810.00",ICT Support,W14 8TS,Programme Class,,,
Department of Education,OFSTED,14/06/2017,Managed Services,Information Services,CGI IT UK Ltd,823973,"£28,447.52",ICT Support,RG2 6UA,Programme Class,,,
Department of Education,OFSTED,12/06/2017,Temporary Staff,Finance and Resources,Brook Street (Uk) Ltd,823950,"£29,309.02",Contingent Labour,AL1 4ZX,Admin Class,,,
Department of Education,OFSTED,19/06/2017,Temporary Staff,Finance and Resources,Brook Street (Uk) Ltd,823838,"£29,860.11",Contingent Labour,AL1 4ZX,Admin Class,,,
Department of Education,OFSTED,30/06/2017,Corporate Transactions,Corporate Transactions,Royal Bank of Scotland,114,"£33,477.21",Corporate Purchasing Card,EC2M 4RB,Programme Class,,,
Department of Education,OFSTED,02/06/2017,Temporary Staff,Finance and Resources,Brook Street (Uk) Ltd,823853,"£34,042.99",Contingent Labour,AL1 4ZX,Admin Class,,,
Department of Education,OFSTED,06/06/2017,Managed Services,Information Services,Always On Ltd,823896,"£34,131.60",ICT Support,RG1 8BW,Programme Class,,,
Department of Education,OFSTED,29/06/2017,Managed Services,Information Services,Huddle (Ninian Solutions Ltd),824165,"£36,000.00",ICT Support,E1 8EP,Programme Class,,,
Department of Education,OFSTED,23/06/2017,Temporary Staff,Finance and Resources,Brook Street (Uk) Ltd,824126,"£36,056.64",Contingent Labour,AL1 4ZX,Admin Class,,,
Department of Education,OFSTED,19/06/2017,Temporary Staff,Finance and Resources,Brook Street (Uk) Ltd,824044,"£37,447.80",Contingent Labour,AL1 4ZX,Admin Class,,,
Department of Education,OFSTED,01/06/2017,Temporary Staff,Finance and Resources,Brook Street (Uk) Ltd,823847,"£37,547.82",Contingent Labour,AL1 4ZX,Admin Class,,,
Department of Education,OFSTED,01/06/2017,Temporary Staff,Finance and Resources,Brook Street (Uk) Ltd,823846,"£38,463.57",Contingent Labour,AL1 4ZX,Admin Class,,,
Department of Education,OFSTED,07/06/2017,Corporate Transactions,Corporate Transactions,Enterprise Rent-a-Car,823911,"£38,558.42",Vehicle Hire,TW20 9JY,Programme Class,,,
Department of Education,OFSTED,20/06/2017,Managed Services,Communications,Informed Solutions Ltd,824060,"£39,000.00",Digital Communications,WA14 4PA,Admin Class,,,
Department of Education,OFSTED,01/06/2017,Corporate Transactions,Corporate Transactions,Royal Bank of Scotland,113,"£48,246.73",Corporate Purchasing Card,EC2M 4RB,Programme Class,,,
Department of Education,OFSTED,13/06/2017,Managed Services,Information Services,CACI Ltd,823958,"£60,360.00",ICT Support,W14 8TS,Programme Class,,,
Department of Education,OFSTED,01/06/2017,Managed Services,Information Services,CACI Ltd,823850,"£63,090.00",ICT Support,W14 8TS,Programme Class,,,
Department of Education,OFSTED,14/06/2017,Managed Services,Information Services,CGI IT UK Ltd,823968,"£63,404.84",ICT Support,RG2 6UA,Programme Class,,,
Department of Education,OFSTED,16/06/2017,External Room Hire,Corporate Transactions,Calder Conferences Ltd,824017,"£70,276.30",Meeting and Conferencing Service,LS16 6RF,Programme Class,,,
Department of Education,OFSTED,14/06/2017,Managed Services,Information Services,CGI IT UK Ltd,823972,"£81,067.91",ICT Support,RG2 6UA,Programme Class,,,
Department of Education,OFSTED,22/06/2017,Accommodation Service Charge,Finance and Resources,Gva Grimley,824086,"£123,926.13",Accommodation Rent and Service Charge,B1 2JJ,Admin Class,,,
Department of Education,OFSTED,22/06/2017,Accommodation Service Charge,Finance and Resources,Gva Grimley,824085,"£124,462.00",Accommodation Rent and Service Charge,B1 2JJ,Admin Class,,,
Department of Education,OFSTED,05/06/2017,Corporate Transactions,Finance and Resources,Redfern Travel Ltd,823875,"£394,766.95",Travel and Overnight Accommodation,BD1 3AZ,Admin Class,,,
