Consolidated Spend for May 2018,,,,,,,,
,,,,,,,,
,,,,,,,,
Department,Entity,Date,Expense Type,Expense Area,Supplier,Transaction No,Total Gross Value,Description
Department of Education,OFSTED,18/05/2018,Temporary Staff,Corporate Transactions,Brook Street (Uk) Ltd,827922,"26,186.68",Contingent Labour
Department of Education,OFSTED,04/05/2018,Temporary Staff,Corporate Transactions,Brook Street (Uk) Ltd,827769,"30,396.23",Contingent Labour
Department of Education,OFSTED,25/05/2018,Temporary Staff,Corporate Transactions,Brook Street (Uk) Ltd,827961,"31,012.61",Contingent Labour
Department of Education,OFSTED,02/05/2018,Temporary Staff,Corporate Transactions,Brook Street (Uk) Ltd,827696,"32,181.80",Contingent Labour
Department of Education,OFSTED,11/05/2018,Temporary Staff,Corporate Transactions,Brook Street (Uk) Ltd,827829,"33,820.62",Contingent Labour
Department of Education,OFSTED,16/05/2018,Managed Services,Technology,CACI Ltd,827869,"127,612.01",ICT Support
Department of Education,OFSTED,15/05/2018,Corporate Transactions,Corporate Transactions,Calder Conferences Ltd,827865,"40,327.54",Meeting and Conferencing Service
Department of Education,OFSTED,17/05/2018,Corporate Transactions,Corporate Transactions,Calder Conferences Ltd,827897,"56,893.56",Meeting and Conferencing Service
Department of Education,OFSTED,01/05/2018,Managed Services,Technology,CGI IT UK Ltd,827679,"39,809.60",ICT Support
Department of Education,OFSTED,01/05/2018,Managed Services,Technology,CGI IT UK Ltd,827687,"67,556.59",ICT Support
Department of Education,OFSTED,22/05/2018,Managed Services,Technology,CGI IT UK Ltd,827935,"68,221.09",ICT Support
Department of Education,OFSTED,17/05/2018,Managed Services,Technology,Cloud Direct,827900,"33,555.83",ICT Support
Department of Education,OFSTED,30/05/2018,Accommodation Service Charge,Property Division,Gva Grimley,827988,"123,926.13",Accommodation Rent and Service Charge
Department of Education,OFSTED,30/05/2018,Accommodation Service Charge,Property Division,Gva Grimley,827990,"124,462.00",Accommodation Rent and Service Charge
Department of Education,OFSTED,14/05/2018,Information Services,Technology,Rainmaker Solutions Limited,827841,"46,250.00",ICT Support
Department of Education,OFSTED,24/05/2018,Information Services,Technology,Rainmaker Solutions Limited,827718,"95,589.35",ICT Support
Department of Education,OFSTED,04/05/2018,Corporate Transactions,Corporate Transactions,Redfern Travel Ltd,827767,"351,925.32",Travel and Overnight Accommodation
Department of Education,OFSTED,31/05/2018,Corporate Transactions,Corporate Transactions,Royal Bank of Scotland,125,"48,151.56",Company Credit Card
Department of Education,OFSTED,02/05/2018,Information Services,Commercial Services,Target Information Systems Limited,827714,"40,920.00",ICT Support
Department of Education,OFSTED,01/05/2018,Managed Services,Programmes & Transformation,Tribal Education Ltd,827666,"44,391.53",ICT Support
Department of Education,OFSTED,01/05/2018,Finance and Resources,Commercial Services,Willis Limited,162327,"40,320.00",Hire Car Insurance
