Consolidated Spend for January 2018,,,,,,,,
,,,,,,,,
,,,,,,,,
Department,Entity,Date,Expense Type,Expense Area,Supplier,Transaction No,Total Gross Value,Description
Department of Education,OFSTED,15/01/2018,Temporary Staff,Corporate Transactions,Brook Street (Uk) Ltd,826282,"£34,461.59",Contingent Labour
Department of Education,OFSTED,26/01/2018,Temporary Staff,Corporate Transactions,Brook Street (Uk) Ltd,826405,"£42,499.58",Contingent Labour
Department of Education,OFSTED,22/01/2018,Temporary Staff,Corporate Transactions,Brook Street (Uk) Ltd,826349,"£43,186.22",Contingent Labour
Department of Education,OFSTED,02/01/2018,Temporary Staff,Corporate Transactions,Brook Street (Uk) Ltd,826103,"£44,613.64",Contingent Labour
Department of Education,OFSTED,05/01/2018,Managed Services,Information Services,Bytes Software Services Ltd,826116,"£31,248.00",ICT Support
Department of Education,OFSTED,25/01/2018,Managed Services,Information Services,Bytes Software Services Ltd,826377,"£38,040.00",ICT Support
Department of Education,OFSTED,10/01/2018,Managed Services,Information Services,Bytes Software Services Ltd,826167,"£44,040.00",ICT Support
Department of Education,OFSTED,10/01/2018,Managed Services,Information Services,Bytes Software Services Ltd,826166,"£45,788.06",ICT Support
Department of Education,OFSTED,29/01/2018,Managed Services,Information Services,CACI Ltd,826409,"£70,500.00",ICT Support
Department of Education,OFSTED,17/01/2018,Managed Services,Information Services,CACI Ltd,826292,"£138,187.36",ICT Support
Department of Education,OFSTED,15/01/2018,Managed Services,Information Services,CACI Ltd,826272,"£248,334.00",ICT Support
Department of Education,OFSTED,12/01/2018,Corporate Transactions,Corporate Transactions,Calder Conferences Ltd,826259,"£37,676.34",Meeting and Conferencing Service
Department of Education,OFSTED,30/01/2018,Corporate Transactions,Corporate Transactions,Calder Conferences Ltd,826421,"£63,943.75",Meeting and Conferencing Service
Department of Education,OFSTED,30/01/2018,Contracted Inspection Costs,Schools Development,Care Quality Commission,826414,"£130,425.60",Inspection Services
Department of Education,OFSTED,12/01/2018,Managed Services,Information Services,CGI IT UK Ltd,826255,"£26,934.10",ICT Support
Department of Education,OFSTED,05/01/2018,Managed Services,Information Services,CGI IT UK Ltd,826124,"£27,249.49",ICT Support
Department of Education,OFSTED,12/01/2018,Managed Services,Information Services,CGI IT UK Ltd,826253,"£45,007.88",ICT Support
Department of Education,OFSTED,12/01/2018,Managed Services,Information Services,CGI IT UK Ltd,826256,"£81,067.91",ICT Support
Department of Education,OFSTED,12/01/2018,Managed Services,Information Services,Data Continuity Group Limited,826242,"£27,765.60",ICT Support
Department of Education,OFSTED,10/01/2018,Accommodation Service Charge,Finance and Resources,Food Standards Agency,826168,"£165,961.68",Accommdation Rent and Service Charge
Department of Education,OFSTED,11/01/2018,Office Furniture,Finance and Resources,Gresham Office Furniture,826195,"£36,964.60",Office Furniture
Department of Education,OFSTED,19/01/2018,Office Furniture,Finance and Resources,Gresham Office Furniture,826334,"£151,452.24",Office Furniture
Department of Education,OFSTED,05/01/2018,Accommodation Service Charge,Finance and Resources,Gva Grimley,826125,"£124,461.98",Accommdation Rent and Service Charge
Department of Education,OFSTED,02/01/2018,Accommodation Rent and Service Charge,Finance and Resources,Highways England Company Ltd,826109,"£47,199.16",Accommdation Rent and Service Charge
Department of Education,OFSTED,08/01/2018,Managed Services,Information Services,Informed Solutions Ltd,826135,"£35,300.00",Digital Communications
Department of Education,OFSTED,08/01/2018,Managed Services,Information Services,Informed Solutions Ltd,826136,"£50,850.00",Digital Communications
Department of Education,OFSTED,19/01/2018,Managed Services,Information Services,Informed Solutions Ltd,826329,"£69,550.00",Digital Communications
Department of Education,OFSTED,12/01/2018,Accommodation Service Charge,Finance and Resources,M J Mapp Ltd,826246,"£28,155.00",Accommdation Rent and Service Charge
Department of Education,OFSTED,12/01/2018,Accommodation Service Charge,Finance and Resources,M J Mapp Ltd,826245,"£37,455.00",Accommdation Rent and Service Charge
Department of Education,OFSTED,23/01/2018,Managed Services,Information Services,Microsoft Limited,826359,"£299,972.40",ICT Support
Department of Education,OFSTED,02/01/2018,Intenal Audit,Finance and Resources,PricewaterhouseCoopers LLP,826105,"£26,439.00",Internal Audit Services
Department of Education,OFSTED,05/01/2018,Corporate Transactions,Corporate Transactions,Redfern Travel Ltd,826132,"£305,094.45",Travel and Overnight Accommodation
Department of Education,OFSTED,30/01/2018,Corporate Transactions,Corporate Transactions,Royal Bank of Scotland,121,"£38,207.11",Company Credit Card
Department of Education,OFSTED,03/01/2018,Corporate Transactions,Corporate Transactions,Royal Bank of Scotland,120,"£39,230.21",Company Credit Card
Department of Education,OFSTED,12/01/2018,Managed Services,Programmes & Transformation,Tribal Education Ltd,826260,"£44,391.53",ICT Support
