Consolidated Spend for February 2018,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Department,Entity,Date,Expense area ,Expense Area,Supplier,Transaction No,Total Gross Value,Description
Department of Education,OFSTED,01/02/2018,Managed Services,Information Serices,Ad Hoc Global Ltd,826466,"£28,080.00",ICT Support
Department of Education,OFSTED,20/02/2018,Temporary Staff,Corporate Transactions,Brook Street (Uk) Ltd,826677,"£39,822.94",Contingent Labour
Department of Education,OFSTED,14/02/2018,Temporary Staff,Corporate Transactions,Brook Street (Uk) Ltd,826625,"£42,360.88",Contingent Labour
Department of Education,OFSTED,02/02/2018,Temporary Staff,Corporate Transactions,Brook Street (Uk) Ltd,826493,"£42,735.93",Contingent Labour
Department of Education,OFSTED,27/02/2018,Temporary Staff,Corporate Transactions,Brook Street (Uk) Ltd,826730,"£76,584.83",Contingent Labour
Department of Education,OFSTED,08/02/2018,Managed Services,Information Services,Bytes Software Services Ltd,826580,"£32,904.00",ICT Support
Department of Education,OFSTED,23/02/2018,Managed Services,Information Services,Bytes Software Services Ltd,826716,"£57,240.00",ICT Support
Department of Education,OFSTED,02/02/2018,Managed Services,Information Services,CACI Ltd,826502,"£36,660.00",ICT Support
Department of Education,OFSTED,02/02/2018,Managed Services,Information Services,CACI Ltd,826506,"£66,660.00",ICT Support
Department of Education,OFSTED,02/02/2018,Managed Services,Information Services,CACI Ltd,826503,"£77,580.00",ICT Support
Department of Education,OFSTED,02/02/2018,Managed Services,Information Services,CACI Ltd,826505,"£91,620.00",ICT Support
Department of Education,OFSTED,15/02/2018,Corporate Transactions,Corporate Transactions,Calder Conferences Ltd,826648,"£201,396.13",Meeting and Conferencing Service
Department of Education,OFSTED,02/02/2018,Managed Services,Information Services,Centiant Intl Limited,826486,"£44,234.92",ICT Support
Department of Education,OFSTED,14/02/2018,Managed Services,Information services,CGI IT UK Ltd,826638,"£81,067.91",ICT Support
Department of Education,OFSTED,07/02/2018,Managed Services,Information Services,Cloud Direct,826553,"£27,613.80",ICT Support
Department of Education,OFSTED,05/02/2018,Accommodation Service Charge,Finance and Resources,Department for Education,826515,"£287,357.47",Accommdation Rent and Service Charge
Department of Education,OFSTED,05/02/2018,Accommodation Service Charge,Finance and Resources,Department for Education,826516,"£287,357.47",Accommdation Rent and Service Charge
Department of Education,OFSTED,05/02/2018,Accommodation Service Charge,Finance and Resources,Department for Education,826517,"£315,457.76",Accommdation Rent and Service Charge
Department of Education,OFSTED,01/02/2018,Corporate Transactions,Corporate Transactions,Enterprise Rent-a-Car,826468,"£27,586.74",Vehicle Hire
Department of Education,OFSTED,06/02/2018,Corporate Transactions,Corporate Transactions,Enterprise Rent-a-Car,826542,"£30,054.11",Vehicle Hire
Department of Education,OFSTED,07/02/2018,Accommodation Service Charge,Finance and Resources,Gva Grimley,826556,"£123,926.12",Accommdation Rent and Service Charge
Department of Education,OFSTED,20/02/2018,Managed Services,Information Services,Informed Solutions Ltd,826676,"£82,975.00",Digital Communications
Department of Education,OFSTED,01/02/2018,Building Maintenance,Finance and Resources,Interserve FM Ltd,826453,"£71,103.82",Building Maintenance
Department of Education,OFSTED,01/02/2018,Building Maintenance,Finance and Resources,Interserve FM Ltd,826452,"£506,939.68",Building Maintenance
Department of Education,OFSTED,06/02/2018,Corporate Transactions,Corporate Transactions,Redfern Travel Ltd,826518,"£469,103.79",Travel and Overnight Accommodation
Department of Education,OFSTED,20/02/2018,Managed Services,Programmes & Transformation,Tribal Education Ltd,826679,"£44,391.53",ICT Support
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
