Department,Entity,Date,Expense area ,Expense Area,Supplier,Transaction No,Procurement,Description
Department of Education,OFSTED,08/03/2018,Managed Services,Information services,CGI IT UK Ltd,702443,"-£26,934.10",ICT Support
Department of Education,OFSTED,07/03/2018,Managed Services,Information services,CGI IT UK Ltd,702441,"-£26,452.00",ICT Support
Department of Education,OFSTED,07/03/2018,Managed Services,Information services,CGI IT UK Ltd,162094,"£26,452.00",ICT Support
Department of Education,OFSTED,08/03/2018,Managed Services,Information services,CGI IT UK Ltd,162096,"£26,934.10",ICT Support
Department of Education,OFSTED,29/03/2018,Accommodation Service Charge,Finance and Resources,M J Mapp Ltd,827265,"£28,155.00",Accommdation Rent and Service Charge
Department of Education,OFSTED,02/03/2018,Corporate Transactions,Corporate Transactions,Enterprise Rent-a-Car,826814,"£31,573.58",Vehicle Hire
Department of Education,OFSTED,01/03/2018,Managed Services,Information Services,Texuna Technologies Ltd,826764,"£32,678.40",ICT Support
Department of Education,OFSTED,29/03/2018,Managed Services,Information Services,Texuna Technologies Ltd,827294,"£32,678.40",ICT Support
Department of Education,OFSTED,27/03/2018,Managed Services,Information Services,Softcat Ltd,827155,"£32,832.00",ICT Support
Department of Education,OFSTED,27/03/2018,Managed Services,Information Services,Cloud Direct,827046,"£34,442.40",ICT Support
Department of Education,OFSTED,29/03/2018,Managed Services,Information services,CGI IT UK Ltd,827277,"£30,926.47",ICT Support
Department of Education,OFSTED,29/03/2018,Legal Fees,Finance and Resources,Treasury Solicitor'S Cash A\C,827232,"£37,243.56",Professional Services
Department of Education,OFSTED,29/03/2018,Accommodation Service Charge,Finance and Resources,M J Mapp Ltd,827269,"£37,455.00",Accommdation Rent and Service Charge
Department of Education,OFSTED,16/03/2018,Temporary Staff,Corporate Transactions,Brook Street (Uk) Ltd,827039,"£39,592.24",Contingent Labour
Department of Education,OFSTED,09/03/2018,Temporary Staff,Corporate Transactions,Brook Street (Uk) Ltd,826921,"£40,060.42",Contingent Labour
Department of Education,OFSTED,26/03/2018,Temporary Staff,Corporate Transactions,Brook Street (Uk) Ltd,827175,"£40,523.13",Contingent Labour
Department of Education,OFSTED,29/03/2018,Accommodation Service Charge,Finance and Resources,Nottingham City Council,827245,"£40,672.50",Accomodation Rent and Service Charge
Department of Education,OFSTED,06/03/2018,Temporary Staff,Corporate Transactions,Brook Street (Uk) Ltd,826828,"£42,004.94",Contingent Labour
Department of Education,OFSTED,26/03/2018,Managed Services,Programmes & Transformation,Tribal Education Ltd,827070,"£44,391.53",ICT Support
Department of Education,OFSTED,05/03/2018,Corporate Transactions,Corporate Transactions,Royal Bank of Scotland,122,"£47,367.62",Company Credit Card
Department of Education,OFSTED,29/03/2018,Accommodation Service Charge,Finance and Resources,Nottingham City Council,827246,"£49,793.00",Accomodation Rent and Service Charge
Department of Education,OFSTED,07/03/2018,Information Services,Operational Improvement & Projects,Rainmaker Solutions Limited,826850,"£43,960.89",ICT Support
