Consolidated Spend for June 2018,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Department,Entity,Date,Expense Type,Expense Area,Supplier,Transaction No,Total Gross Value,Description
Department of Education,OFSTED,01/06/2018,Temporary Staff,Corporate Transactions,Brook Street (Uk) Ltd,828006,"29,725.12",Contingent Labour
Department of Education,OFSTED,15/06/2018,Temporary Staff,Corporate Transactions,Brook Street (Uk) Ltd,828165,"29,099.63",Contingent Labour
Department of Education,OFSTED,22/06/2018,Temporary Staff,Corporate Transactions,Brook Street (Uk) Ltd,828227,"29,757.33",Contingent Labour
Department of Education,OFSTED,18/06/2018,Managed Services,Technology,Cloud Direct,828166,"33,680.00",ICT Support
Department of Education,OFSTED,05/06/2018,Corporate Transactions,Corporate Transactions,Enterprise Rent-a-Car,828044,"30,276.66",Vehicle Hire
Department of Education,OFSTED,21/06/2018,Accommodation Service Charge,Property Division,Department for Education,828224,"311,944.75",Accommodation Rent and Service Charge
Department of Education,OFSTED,18/06/2018,Information Services,Technology,Rainmaker Solutions Limited,828181,"46,250.00",ICT Support
Department of Education,OFSTED,12/06/2018,Managed Services,Technology,Informed Solutions Ltd,828131,"112,275.00",Digital Communications
Department of Education,OFSTED,15/06/2018,Managed Services,Technology,Informed Solutions Ltd,828174,"139,175.00",Digital Communications
Department of Education,OFSTED,08/06/2018,Accommodation Rent,Property Division,M J Mapp Ltd,828112,"42,459.89",Accomodation Rent and Service Charge
Department of Education,OFSTED,08/06/2018,Accommodation Rent,Property Division,M J Mapp Ltd,828113,"56,485.43",Accomodation Rent and Service Charge
Department of Education,OFSTED,05/06/2018,Managed Services,Technology,CGI IT UK Ltd,828026,"25,323.22",ICT Support
Department of Education,OFSTED,06/06/2018,Managed Services,Technology,CGI IT UK Ltd,828047,"28,239.84",ICT Support
Department of Education,OFSTED,18/06/2018,Managed Services,Technology,CGI IT UK Ltd,828185,"68,221.09",ICT Support
Department of Education,OFSTED,21/06/2018,Managed Services,Technology,CGI IT UK Ltd,828226,"50,248.70",ICT Support
Department of Education,OFSTED,06/06/2018,Managed Services,Programmes & Transformation,Tribal Education Ltd,828050,"44,391.53",ICT Support
Department of Education,OFSTED,14/06/2018,Corporate Transactions,Corporate Transactions,Calder Conferences Ltd,828144,"61,445.03",Meeting and Conferencing Service
Department of Education,OFSTED,08/06/2018,Corporate Transactions,Corporate Transactions,Redfern Travel Ltd,828114,"315,285.17",Travel and Overnight Accommodation
Department of Education,OFSTED,21/06/2018,Accommodation Service Charge,Property Division,Food Standards Agency,828219,"34,900.67",Accommodation Rent and Service Charge
Department of Education,OFSTED,03/07/2018,Corporate Transactions,Corporate Transactions,Royal Bank of Scotland,125,"38,452.99",Company Credit Card
