Transparency Report October 2018 -  Spend over £25k,,,,,,,,
,,,,,,,,
,,,,,,,,
Department,Entity,Date,Expense area ,Expense Area,Supplier,Transaction No,Total Gross Value,Description
Department of Education,OFSTED,05/10/2018,Corporate Transactions,Corporate Transactions,Redfern Travel Ltd,829157,"£376,311.38",Travel and Overnight Accommodation
Department of Education,OFSTED,03/10/2018,Managed Services,Digital Services,Informed Solutions Ltd,829123,"£120,600.00",Digital Communications
Department of Education,OFSTED,12/10/2018,Managed Services,Technology,CACI Ltd,829205,"£120,290.83",ICT Support
Department of Education,OFSTED,16/10/2018,Managed Services,Digital Services,Informed Solutions Ltd,829214,"£87,350.00",Digital Communications
Department of Education,OFSTED,02/10/2018,Corporate Transactions,Corporate Transactions,Calder Conferences Ltd,829109,"£85,559.51",Meeting and Conferencing Service
Department of Education,OFSTED,12/10/2018,Managed Services,Technology,CACI Ltd,829203,"£71,800.00",ICT Support
Department of Education,OFSTED,17/10/2018,Property,Property Division,Engie FM Limited,827805,"£68,649.06",Building Maintenance
Department of Education,OFSTED,22/10/2018,Managed Services,Technology,CGI IT UK Ltd,829164,"£68,221.09",ICT Support
Department of Education,OFSTED,30/10/2018,Managed Services,Technology,Itelligence Business,829364,"£43,199.00",ICT Support
Department of Education,OFSTED,25/10/2018,Managed Services,Technology,CGI IT UK Ltd,829331,"£37,297.33",ICT Support
Department of Education,OFSTED,11/10/2018,Managed Services,Technology,Cloud Direct,829185,"£34,288.98",ICT Support
Department of Education,OFSTED,26/10/2018,Corporate Transactions,Corporate Transactions,Calder Conferences Ltd,829342,"£34,129.79",Meeting and Conferencing Service
Department of Education,OFSTED,16/10/2018,Temporary Staff,Corporate Transactions,Alexander Mann Solutions Ltd,829210,"£29,269.74",Contingent Labour
Department of Education,OFSTED,19/10/2018,Corporate Transactions,Corporate Transactions,Calder Conferences Ltd,829286,"£29,051.39",Meeting and Conferencing Service
Department of Education,OFSTED,10/10/2018,Property,Property Division,DEFRA,829182,"£27,578.34",Building Maintenance
Department of Education,OFSTED,19/10/2018,Managed Services,Technology,CGI IT UK Ltd,829284,"£26,972.39",ICT Support
Department of Education,OFSTED,22/10/2018,Managed Services,Technology,CGI IT UK Ltd,829295,"£26,935.69",ICT Support
Department of Education,OFSTED,02/10/2018,Corporate Transactions,Corporate Transactions,Royal Bank of Scotland,130,"£41,486.92",Corporate Purchasing Card
