Consolidated Spend for December 2017,,,,,,,,
,,,,,,,,
,,,,,,,,
Department,Entity,Date,Expense Type,Expense Area,Supplier,Transaction No,Total Gross Value,Description
Department of Education,OFSTED,07/12/2017,Managed Services,Information Services,Deloitte & Touche LLP,825845,"£25,470.82",Professional services
Department of Education,OFSTED,04/12/2017,Outsourced ICT services,Information Services,CGI IT UK Ltd,825807,"£26,934.10",ICT Support
Department of Education,OFSTED,18/12/2017,Managed Services,Information Services,Data Continuity Group Limited,825985,"£27,517.20",ICT Support
Department of Education,OFSTED,08/12/2017,Outsourced ICT services,Information Services,CGI IT UK Ltd,825881,"£27,519.29",ICT Support
Department of Education,OFSTED,20/12/2017,Managed Services,Information Services,Zoocha Limited,826021,"£27,780.00",ICT Support
Department of Education,OFSTED,01/12/2017,Managed Services,Information Services,Ad Hoc Global Ltd,825750,"£31,200.00",ICT Support
Department of Education,OFSTED,14/12/2017,Managed Services,Information Services,Ad Hoc Global Ltd,825961,"£34,320.00",ICT Support
Department of Education,OFSTED,05/12/2017,Temporary Staff,Corporate Transactions,Brook Street (Uk) Ltd,825837,"£37,717.31",Contingent Labour
Department of Education,OFSTED,05/12/2017,Temporary Staff,Corporate Transactions,Brook Street (Uk) Ltd,825814,"£39,646.52",Contingent Labour
Department of Education,OFSTED,05/12/2017,Temporary Staff,Corporate Transactions,Brook Street (Uk) Ltd,825813,"£40,410.60",Contingent Labour
Department of Education,OFSTED,28/12/2017,Temporary Staff,Corporate Transactions,Brook Street (Uk) Ltd,826093,"£41,230.12",Contingent Labour
Department of Education,OFSTED,21/12/2017,Temporary Staff,Corporate Transactions,Brook Street (Uk) Ltd,826044,"£41,942.59",Contingent Labour
Department of Education,OFSTED,12/12/2017,Temporary Staff,Corporate Transactions,Brook Street (Uk) Ltd,825927,"£42,838.16",Contingent Labour
Department of Education,OFSTED,04/12/2017,Corporate Transactions,Corporate Transactions,Enterprise Rent-a-Car,825811,"£43,720.47",Vehicle Hire
Department of Education,OFSTED,07/12/2017,Managed Services,Programmes and Transformation,Tribal Education Ltd,825860,"£44,391.53",ICT Support
Department of Education,OFSTED,27/12/2017,Corporate Transactions,Corporate Transactions,Calder Conferences Ltd,826071,"£45,617.71",Meeting and Conferencing Service
Department of Education,OFSTED,21/12/2017,Managed Services,Research and Evaluation,Public First Ltd,826030,"£45,840.00",Professional Services
Department of Education,OFSTED,01/12/2017,Managed Services,Information Services,Ad Hoc Global Ltd,825751,"£46,800.00",Professional Services
Department of Education,OFSTED,07/12/2017,Managed Services,Communications,Informed Solutions Ltd,825864,"£47,075.00",Digital Communications
Department of Education,OFSTED,04/12/2017,Outsourced ICT services,Information Services,CGI IT UK Ltd,825804,"£51,324.78",ICT Support
Department of Education,OFSTED,04/12/2017,Outsourced ICT services,Information Services,CGI IT UK Ltd,825803,"£81,067.91",ICT Support
Department of Education,OFSTED,14/12/2017,Information Services,Information Services,Rainmaker Solutions Limited,825955,"£90,540.00",ICT Support
Department of Education,OFSTED,22/12/2017,Accommodation Service Charge,Finance and Resources,Food Standards Agency,826066,"£207,930.00",Accommodation Rent and Service Charge
Department of Education,OFSTED,05/12/2017,Managed Services,Information Services,CACI Ltd,825825,"£217,080.00",ICT Support
Department of Education,OFSTED,05/12/2017,Corporate Transactions,Information Services,Redfern Travel Ltd,825830,"£502,190.69",Travel and Overnight Accommodation
