Transparency Report January 2019 -  Spend over £25k,,,,,,,,
,,,,,,,,
,,,,,,,,
Department,Entity,Date,Expense Type,Expense Area,Supplier,Transaction No,Total Gross Value,Description
Department of Education,OFSTED,21/01/2019,Temporary Staff,Corporate Transactions,Alexander Mann Solutions Ltd,830148,"30,641.45",Contingent Labour
Department of Education,OFSTED,28/01/2019,Temporary Staff,Corporate Transactions,Alexander Mann Solutions Ltd,830220,"28,198.93",Contingent Labour
Department of Education,OFSTED,22/01/2019,Corporate Transactions,Corporate Transactions,Calder Conferences Ltd,830157,"36,282.47",Meeting and Conferencing Service
Department of Education,OFSTED,14/01/2019,Managed Services,Technology,CGI IT UK Ltd,830073,"68,221.09",ICT Support
Department of Education,OFSTED,15/01/2019,Managed Services,Technology,CGI IT UK Ltd,830088,"30,947.86",ICT Support
Department of Education,OFSTED,15/01/2019,Managed Services,Technology,CGI IT UK Ltd,830088,"27,422.39",ICT Support
Department of Education,OFSTED,04/01/2019,Corporate Transactions,Corporate Transactions,Corporate Travel Management,829991,"264,603.31",Travel and Overnight Accommodation
Department of Education,OFSTED,11/01/2019,Professional Services,Finance and Resources,Deloitte & Touche LLP,830054,"50,652.20",Professional Services
Department of Education,OFSTED,30/01/2019,Accommodation Rent and Service Charge,Finance and Resources,Highways England Com,830255,"36,961.15",Accommodation Rent and Service Charge
Department of Education,OFSTED,30/01/2019,Accommodation Rent and Service Charge,Finance and Resources,Highways England Com,830261,"35,431.52",Accommodation Rent and Service Charge
Department of Education,OFSTED,14/01/2019,Accommodation Service Charge,Finance and Resources,M J Mapp Ltd,830070,"39,555.38",Accommodation Rent and Service Charge
Department of Education,OFSTED,31/01/2019,Corporate Transactions,Corporate Transactions,Royal Bank of Scotland,132,36114.92,Corporate Purchasing Card
,,,,,,,,
