Transparency Report November 2018 -  Spend over £25k,,,,,,,,
,,,,,,,,
Department,Entity,Date,Expense Type,Expense Area,Supplier,Transaction No,Total Gross Value,Description
Department of Education,OFSTED,13/11/2018,Corporate Transactions,Corporate Transactions,Calder Conferences Ltd,829489,"72,976.87",Meeting and Conferencing Service
Department of Education,OFSTED,27/11/2018,Corporate Transactions,Corporate Transactions,Calder Conferences Ltd,829633,"43,382.09",Meeting and Conferencing Service
Department of Education,OFSTED,28/11/2018,Corporate Transactions,Corporate Transactions,Redfern Travel Ltd,829648,"413,670.10",Travel and Overnight Accommodation
Department of Education,OFSTED,01/11/2018,Managed Services,Technology,CACI Ltd,829397,"87,575.00",ICT Support
Department of Education,OFSTED,13/11/2018,Managed Services,Technology,CGI IT UK Ltd,829487,"68,221.09",ICT Support
Department of Education,OFSTED,29/11/2018,Managed Services,Technology,CGI IT UK Ltd,829667,"28,063.62",ICT Support
Department of Education,OFSTED,29/11/2018,Managed Services,Technology,CGI IT UK Ltd,829668,"38,701.75",ICT Support
Department of Education,OFSTED,02/11/2018,Corporate Transactions,Corporate Transactions,Enterprise Rent-a-Car,829411,"28,112.41",Vehicle Hire
Department of Education,OFSTED,21/11/2018,Managed Services,Technology,Cloud Direct,829577,"34,508.10",ICT Support
Department of Education,OFSTED,23/11/2018,Information Services,Operational Improvement & Project De,Rainmaker Solutions Limited,829609,"39,600.00",ICT Support
Department of Education,OFSTED,07/11/2018,Temporary Staff,Corporate Transactions,Alexander Mann Solutions Ltd,829435,"30,701.76",Contingent Labour
Department of Education,OFSTED,20/11/2018,Accommodation Service Charge,Property Division,Gva Grimley,829538,"129,246.52",Accommodation Rent and Service Charge
Department of Education,OFSTED,20/11/2018,Accommodation Service Charge,Property Division,Gva Grimley,829539,"129,647.38",Accommodation Rent and Service Charge
Department of Education,OFSTED,02/10/2018,Corporate Transactions,Corporate Transactions,Royal Bank of Scotland,131,"58,716.64",Corporate Purchasing Card
