Department,Entity,Date,Expense Type,Expense Area,Supplier,Transaction No,Total Gross Value,Description
Department of Education,OFSTED,03/02/2017,Temporary Staff,Corporate Transactions,Brook Street (Uk) Ltd,822263,"£40,351.15",Contingent Labour
Department of Education,OFSTED,13/02/2017,Temporary Staff,Corporate Transactions,Brook Street (Uk) Ltd,822365,"£38,035.92",Contingent Labour
Department of Education,OFSTED,20/02/2017,Temporary Staff,Corporate Transactions,Brook Street (Uk) Ltd,822437,"£39,460.42",Contingent Labour
Department of Education,OFSTED,27/02/2017,Temporary Staff,Corporate Transactions,Brook Street (Uk) Ltd,822536,"£41,496.02",Contingent Labour
Department of Education,OFSTED,02/02/2017,Managed Services,Information Services,Bytes Software Services Ltd,822219,"£25,225.92",ICT Support
Department of Education,OFSTED,02/02/2017,Managed Services,Information Services,Bytes Software Services Ltd,822223,"£33,350.40",ICT Support
Department of Education,OFSTED,09/02/2017,Managed Services,Information Services,CACI Ltd,822329,"£88,800.00",ICT Support
Department of Education,OFSTED,09/02/2017,Managed Services,Information Services,CACI Ltd,822330,"£63,090.00",ICT Support
Department of Education,OFSTED,07/02/2017,Managed Services,Information Services,CACI Ltd,822290,"£126,630.00",ICT Support
Department of Education,OFSTED,13/02/2017,Travel,Corporate Transactions,Calder Conferences Ltd,822361,"£45,021.10",Accommodation
Department of Education,OFSTED,27/02/2017,Travel,Corporate Transactions,Calder Conferences Ltd,822535,"£32,109.65",Accommodation
Department of Education,OFSTED,21/02/2017,Temporary Staff,Finance and Resources,Capita Business Services Ltd.,822451,"£26,915.47",Contingent Labour
Department of Education,OFSTED,06/02/2017,Travel,Corporate Transactions,Redfern Travel Ltd,822285,"£461,380.90",Travel and Overnight Accommodation
Department of Education,OFSTED,24/02/2017,Accommodation Service Charge,Property Division,Department for Education,822510,"£413,178.66",Accommodation Rent and Service Charge
Department of Education,OFSTED,24/02/2017,Accommodation Service Charge,Property Division,Department for Education,822510,"£27,306.03",Accommodation Rent and Service Charge
Department of Education,OFSTED,24/02/2017,Accommodation Service Charge,Property Division,Department for Education,822510,"£147,027.51",Accommodation Rent and Service Charge
Department of Education,OFSTED,24/02/2017,Accommodation Service Charge,Property Division,Department for Education,822510,"£117,300.54",Accommodation Rent and Service Charge
Department of Education,OFSTED,24/02/2017,Accommodation Service Charge,Property Division,Department for Education,822510,"£29,466.09",Accommodation Rent and Service Charge
Department of Education,OFSTED,14/02/2017,Information Services,Technology,Exponential-E Limited,822380,"£46,628.40",ICT Support
Department of Education,OFSTED,20/02/2017,ICT Commodities,Technology,IBM United Kingdom Ltd,822434,"£33,796.80",Software Licences
Department of Education,OFSTED,03/02/2017,Contracted Inspection Costs,ISP Contracts,Prospects Learning Services Lt,822259,"£870,000.00",Inspection Services
Department of Education,OFSTED,06/02/2017,Managed Services,Information Services,Rainmaker Solutions Limited,822279,"£47,853.00",ICT Support
Department of Education,OFSTED,01/02/2017,Managed Services,Inspection Data & Insight,RM Education,822184,"£33,307.64",ICT Support
