Consolidated Spend for April 2018,,,,,,,,
,,,,,,,,
,,,,,,,,
Department,Entity,Date,Expense Type ,Expense Area,Supplier,Transaction No,Total Gross Value,Description
Department of Education,OFSTED,12/04/2018,Managed Services,Information services,Ad Hoc Global Ltd,827510,"25,350.00",ICT Support
Department of Education,OFSTED,06/04/2018,Corporate Transactions,Corporate Transactions,Banner Business Services Ltd.,827444,"25,613.69",Office Solutions
Department of Education,OFSTED,09/04/2018,Temporary Staff,Corporate Transactions,Brook Street (Uk) Ltd,827445,"38,095.66",Contingent Labour
Department of Education,OFSTED,09/04/2018,Temporary Staff,Corporate Transactions,Brook Street (Uk) Ltd,827453,"28,718.44",Contingent Labour
Department of Education,OFSTED,25/04/2018,Temporary Staff,Corporate Transactions,Brook Street (Uk) Ltd,827643,"34,148.18",Contingent Labour
Department of Education,OFSTED,17/04/2018,Managed Services,Technology,CACI Ltd,827540,"122,250.00",ICT Support
Department of Education,OFSTED,17/04/2018,Managed Services,Technology,CACI Ltd,827555,"69,000.00",ICT Support
Department of Education,OFSTED,11/04/2018,Contracted Inspection Costs,Schools Development,Care Quality Commission,827478,"130,424.40",Inspection Services
Department of Education,OFSTED,05/04/2018,Managed Services,Technology,CGI IT UK Ltd,827387,"67,556.59",ICT Support
Department of Education,OFSTED,18/04/2018,Managed Services,Technology,Cloud Direct,827560,"35,292.19",ICT Support
Department of Education,OFSTED,05/04/2018,Corporate Transactions,Corporate Transactions,Enterprise Rent-a-Car,827394,"41,724.77",Vehicle Hire
Department of Education,OFSTED,03/04/2018,Managed Services,Technology,FlyingBinary Ltd,827327,"25,246.80",ICT Support
Department of Education,OFSTED,04/04/2018,Managed Services,Technology,Huddle (Ninian Solutions Ltd),827354,"31,824.00",ICT Support
Department of Education,OFSTED,18/04/2018,Managed Services,Technology,Informed Solutions Ltd,827571,"82,975.00",Digital Communications
Department of Education,OFSTED,26/04/2018,Building Maintenance,Property,Interserve FM Ltd,702453,"-85,453.94",Building Maintenance
Department of Education,OFSTED,10/04/2018,Building Maintenance,Property,Interserve FM Ltd,827468,"37,479.26",Building Maintenance
Department of Education,OFSTED,26/04/2018,Building Maintenance,Property,Interserve FM Ltd,827472,"326,989.01",Building Maintenance
Department of Education,OFSTED,19/04/2018,Accommodation Service Charge,Property,Manchester City Council,827582,"85,289.00",Accomodation Rent and Service Charge
Department of Education,OFSTED,19/04/2018,Accommodation Service Charge,Property,Manchester City Council,827583,"85,289.00",Accomodation Rent and Service Charge
Department of Education,OFSTED,26/04/2018,Corporate Transactions,Corporate Transactions,Redfern Travel Ltd,827649,"452,296.22",Travel and Overnight Accommodation
Department of Education,OFSTED,30/04/2018,Corporate Transactions,Corporate Transactions,Royal Bank of Scotland,124,"50,367.13",Company Credit Card
Department of Education,OFSTED,04/04/2018,Managed Services,Technology,SmartSurvey Ltd,827350,"21,150.00",ICT Support
Department of Education,OFSTED,03/04/2018,Managed Services,Technology,Specialist Computer Centres,827334,"34,896.24",ICT Support
Department of Education,OFSTED,23/04/2018,Managed Services,Programmes & Transformation,Tribal Education Ltd,827604,"44,391.53",ICT Support
Department of Education,OFSTED,04/04/2018,Managed Services,Technology,XMA Limited,827358,"59,367.68",ICT Support
