Spend over £25k - October 2017,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Department,Entity,Date,Expense Type ,Expense Area,Supplier,Transaction No,Total Gross Value,Description
Department of Education,OFSTED,12/10/2017,Managed Services,Information Serices,Ad Hoc Global Ltd,825231,"£28,380.00",Digital Support
Department of Education,OFSTED,02/10/2017,Temporary Staff,Corporate Transactions,Brook Street (Uk) Ltd,825114,"£30,606.54",Contingent Labour
Department of Education,OFSTED,11/10/2017,Temporary Staff,Corporate Transactions,Brook Street (Uk) Ltd,825211,"£32,258.02",Contingent Labour
Department of Education,OFSTED,16/10/2017,Temporary Staff,Corporate Transactions,Brook Street (Uk) Ltd,825274,"£31,603.55",Contingent Labour
Department of Education,OFSTED,23/10/2017,Temporary Staff,Corporate Transactions,Brook Street (Uk) Ltd,825349,"£34,004.14",Contingent Labour
Department of Education,OFSTED,30/10/2017,Temporary Staff,Corporate Transactions,Brook Street (Uk) Ltd,825408,"£29,765.86",Contingent Labour
Department of Education,OFSTED,17/10/2017,Managed Services,Information Services,CACI Ltd,825293,"£68,520.00",ICT Support
Department of Education,OFSTED,19/10/2017,Corporate Transactions,Corporate Transactions,Calder Conferences Ltd,825322,"£102,477.92",Meeting and Conferencing Service
Department of Education,OFSTED,03/10/2017,Managed Services,Information Services,CGI IT UK Ltd,825130,"£81,067.91",ICT Support
Department of Education,OFSTED,03/10/2017,Managed Services,Information Services,CGI IT UK Ltd,825132,"£49,745.50",ICT Support
Department of Education,OFSTED,03/10/2017,Managed Services,Information Services,CGI IT UK Ltd,825135,"£26,934.10",ICT Support
Department of Education,OFSTED,10/10/2017,Managed Services,Information Services,CGI IT UK Ltd,825192,"£45,271.02",ICT Support
Department of Education,OFSTED,04/10/2017,Managed Services,Information Services,Data Continuity Group Limited,825149,"£27,503.40",ICT Support
Department of Education,OFSTED,04/10/2017,Managed Services,Inspection Data & Insight,Sweet Associates Ltd,825153,"£26,400.00",ICT Support
Department of Education,OFSTED,13/10/2017,Corporate Transactions,Corporate Transactions,Enterprise Rent-a-Car,825263,"£30,572.59",Vehicle Hire
Department of Education,OFSTED,10/10/2017,Accommodation Service Charge,Finance and Resource,Food Standards Agency,825203,"£316,835.94",Accommdation Rent and Service Charge
Department of Education,OFSTED,27/10/2017,Accommodation Service Charge,Finance and Resource,Food Standards Agency,825401,"£57,974.51",Accommdation Rent and Service Charge
Department of Education,OFSTED,06/10/2017,Information Services,Information Services,Rainmaker Solutions Limited,825169,"£59,760.00",ICT Support
Department of Education,OFSTED,19/10/2017,Corporate Transactions,Corporate Transactions,Redfern Travel Ltd,825323,"£420,935.03",Travel and Overnight Accommodation
Department of Education,OFSTED,03/10/2017,Corporate Transactions,Corporate Transactions,Royal Bank of Scotland,117,"£35,888.47",Company Credit Card
Department of Education,OFSTED,03/10/2017,Managed Services,Information Services,Zoocha Limited,825126,"£31,200.00",ICT Support
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
