Spend over £25k - December 2015 ,,,,,,,,,,
,,,,,,,,,,
Department,Entity,Date,Expense Type,Expense Area,Supplier,Transaction No,Total Gross Value,Description,Supplier Postcode,Expenditure Type
Department of Education,OFSTED,08/12/2015,Temporary Staff,Finance and Resources,Brook Street (Uk) Ltd,817671,"£43,706.71",Contingent Labour,AL1 4ZX,Admin Class
Department of Education,OFSTED,08/12/2015,Temporary Staff,Finance and Resources,Brook Street (Uk) Ltd,817670,"£41,292.95",Contingent Labour,AL1 4ZX,Admin Class
Department of Education,OFSTED,15/12/2015,ICT Systems,Information Services,CACI Ltd,817736,"£48,396.00",ICT Support,W14 8TS,Admin Class
Department of Education,OFSTED,09/12/2015,Travel,Corporate Transactions,Calder Conferences Ltd,817677,"£51,818.53",Meeting and Conferencing Service,LS16 6RF,Admin Class
Department of Education,OFSTED,18/12/2015,Managed Services,Information Services,CGI IT UK Ltd,817793,"£283,518.98",ICT Support,RG2 6UA,Admin Class
Department of Education,OFSTED,18/12/2015,Managed Services,Information Services,CGI IT UK Ltd,817794,"£74,378.99",ICT Support,RG2 6UA,Admin Class
Department of Education,OFSTED,11/12/2015,Managed Services,Information Services,CGI IT UK Ltd,817709,"£36,172.26",ICT Support,RG2 6UA,Programme Class
Department of Education,OFSTED,18/12/2015,Managed Services,Information Services,CGI IT UK Ltd,817788,"£28,429.23",ICT Support,RG2 6UA,Programme Class
Department of Education,OFSTED,14/12/2015,Accommodation Service Charge,Finance and Resources,Dept for Communities & Local Govt,817720,"£225,211.80",Accomodation Rent and Service Charge,HP2 4XN,Programme Class
Department of Education,OFSTED,14/12/2015,Accommodation Service Charge,Finance and Resources,Dept for Communities & Local Govt,817721,"£225,211.80",Accomodation Rent and Service Charge,HP2 4XN,Programme Class
Department of Education,OFSTED,14/12/2015,Accommodation Service Charge,Finance and Resources,Dept for Communities & Local Govt,817719,"£150,966.13",Accomodation Rent and Service Charge,HP2 4XN,Programme Class
Department of Education,OFSTED,03/12/2015,Corporate Contracts,Corporate Transactions,Enterprise Rent-a-Car,817612,"£49,369.01",Vehicle Hire,TW20 9JY,Admin Class
Department of Education,OFSTED,24/12/2015,Accommodation Service Charge,Finance and Resources,Food Standards Agency,817837,"£316,835.92",Accomodation Rent and Service Charge,YO1 7PX,Programme Class
Department of Education,OFSTED,24/12/2015,Professional Services Other,HR Organisational Development,Gatenby Sanderson,817827,"£25,128.90",Senior Staff Recruitment,LS1 2HL,Admin Class
Department of Education,OFSTED,24/12/2015,Accommodation Service Charge,Finance and Resources,Gva Grimley,817824,"£120,068.88",Accomodation Rent and Service Charge,B1 2JJ,Admin Class
Department of Education,OFSTED,10/12/2015,Contracted Inspection Costs,Inspection Costs,Prospects Learning Services Lt,817701,"£2,914,245.00",Inspection Service Provider,BR1 1LT,Programme Class
Department of Education,OFSTED,14/12/2015,Contracted Inspection Costs,Inspection Costs,Prospects Learning Services Lt,817716,"£947,000.00",Inspection Service Provider,BR1 1LT,Programme Class
Department of Education,OFSTED,09/12/2015,Travel,Corporate Transactions,Redfern Travel Ltd,817679,"£361,074.75",Travel and Overnight Accommodation,BD1 3AZ,Admin Class
Department of Education,OFSTED,23/12/2015,Managed Services,Inspection Data & Insight,RM Education,817823,"£64,336.67",ICT Support,OX14 4SB,Programme Class
Department of Education,OFSTED,04/12/2015,Managed Services,Inspection Data & Insight,RM Education,817615,"£64,168.67",ICT Support,OX14 4SB,Programme Class
Department of Education,OFSTED,30/12/2015,Corporate Transactions,"North East, Yorkshire and Humber",Royal Bank of Scotland,95,"£43,004.76",Corporate Purchasing Card,EC2M 4RB,Programme Class
Department of Education,OFSTED,18/12/2015,Accommodation Service Charge,Finance and Resources,Think Contracts Limited,817796,"£52,200.08",Accommodation Service Charge,B69 3EG,Admin Class
Department of Education,OFSTED,18/12/2015,Contracted Inspection Costs,Inspection Costs,Tribal Education Ltd,817789,"£2,914,245.00",Inspection Service Provider,S2 4AN,Programme Class
Department of Education,OFSTED,18/12/2015,Contracted Inspection Costs,Inspection Costs,Tribal Education Ltd,817552,"£71,731.25",Inspection Service Provider,S2 4AN,Programme Class
Department of Education,OFSTED,18/12/2015,Contracted Inspection Costs,Inspection Costs,Tribal Education Ltd,702340,"-£44,716.00",Inspection Service Provider,S2 4AN,Programme Class
Department of Education,OFSTED,18/12/2015,Contracted Inspection Costs,Inspection Costs,Tribal Education Ltd,702335,"-£587,214.17",Inspection Service Provider,S2 4AN,Programme Class
Department of Education,OFSTED,24/12/2015,Accommodation Service Charge,Finance and Resources,Workman LLP,160311,"£163,588.20",Accommodation Service Charge,EC2v 6EE,Admin Class
