Spend over £25k - March 2016,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Department,Entity,Date,Expense Type,Expense Area,Supplier,Transaction No,Total Gross Value,Description,Supplier Postcode,Expenditure Type
Department of Education,OFSTED,31/03/2016,Legal,Finance and Resources,Beachcroft LLp,818888,"£28,458.00",Legal Services,BS99 7UR,Admin Class
Department of Education,OFSTED,31/03/2016,Legal,Finance and Resources,Beachcroft LLp,818889,"-£26,115.78",Legal Services,BS99 7UR,Admin Class
Department of Education,OFSTED,22/03/2016,Managed Services,Information Services,Bramble.cc Ltd,818789,"£30,000.00",ICT Support,SE1 7SP,Programme Class
Department of Education,OFSTED,16/03/2016,Temporary Staff,Finance and Resources,Brook Street (Uk) Ltd,818714,"£39,790.13",Contingent Labour,AL1 4ZX,Admin Class
Department of Education,OFSTED,01/03/2016,Temporary Staff,Finance and Resources,Brook Street (Uk) Ltd,818493,"£39,428.39",Contingent Labour,AL1 4ZX,Admin Class
Department of Education,OFSTED,10/03/2016,Temporary Staff,Finance and Resources,Brook Street (Uk) Ltd,818636,"£38,654.86",Contingent Labour,AL1 4ZX,Admin Class
Department of Education,OFSTED,31/03/2016,Temporary Staff,Finance and Resources,Brook Street (Uk) Ltd,818893,"£35,268.50",Contingent Labour,AL1 4ZX,Admin Class
Department of Education,OFSTED,15/03/2016,ICT Systems,Information Services,CACI Ltd,818699,"£64,230.00",ICT Support,W14 8TS,Admin Class
Department of Education,OFSTED,08/03/2016,ICT Systems,Information Services,CACI Ltd,818591,"£27,000.00",ICT Support,W14 8TS,Admin Class
Department of Education,OFSTED,04/03/2016,Travel,Corporate Transactions,Calder Conferences Ltd,818552,"£41,882.53",Meeting and Conferencing Service,LS16 6RF,Admin Class
Department of Education,OFSTED,18/03/2016,Managed Services,Information Services,CGI IT UK Ltd,818745,"£277,288.04",ICT Support,RG2 6UA,Admin Class
Department of Education,OFSTED,18/03/2016,Managed Services,Information Services,CGI IT UK Ltd,818746,"£73,664.16",ICT Support,RG2 6UA,Admin Class
Department of Education,OFSTED,22/03/2016,Managed Services,Early Years Development,CGI IT UK Ltd,818797,"£56,686.07",ICT Support,RG2 6UA,Programme Class
Department of Education,OFSTED,31/03/2016,Managed Services,Projects & Business Transformation,CGI IT UK Ltd,818873,"£35,345.75",ICT Support,RG2 6UA,Programme Class
Department of Education,OFSTED,23/03/2016,Managed Services,Information Services,CGI IT UK Ltd,818835,"£32,685.16",ICT Support,RG2 6UA,Programme Class
Department of Education,OFSTED,21/03/2016,Managed Services,Information Services,CGI IT UK Ltd,818762,"£29,978.24",ICT Support,RG2 6UA,Programme Class
Department of Education,OFSTED,03/03/2016,Managed Services,Information Services,Cherwell Software Ltd,818534,"£32,832.00",ICT Support,SN5 7XZ,Admin Class
Department of Education,OFSTED,07/03/2016,Corporate Contracts,Corporate Transactions,Enterprise Rent-a-Car,818564,"£43,630.20",Vehicle Hire,TW20 9JY,Admin Class
Department of Education,OFSTED,16/03/2016,Accommodation Service Charge,Property Division,Gva Grimley,818719,"£120,700.00",Accommodation Rent and Service Charge,B1 2JJ,Admin Class
Department of Education,OFSTED,16/03/2016,Accommodation Service Charge,Property Division,Gva Grimley,818720,"£120,068.87",Accommodation Rent and Service Charge,B1 2JJ,Admin Class
Department of Education,OFSTED,17/03/2016,Managed Services,Information Services,itelligence Business Solutions (UK),818728,"£66,000.00",ICT Support,SL5 7PW,Admin Class
Department of Education,OFSTED,17/03/2016,Managed Services,Information Services,itelligence Business Solutions (UK),818738,"£62,400.00",ICT Support,SL5 7PW,Admin Class
Department of Education,OFSTED,17/03/2016,Accommodation Non-Domestic Rates,Property Division,London Borough of Camden,818740,"£398,090.00",Accommodation Non-Domestic Rates,WC1H 9JE,Admin Class
Department of Education,OFSTED,22/03/2016,Accommodation Services,Property Division,Manchester City Council,818785,"£166,495.00",Accommodation Rates,M15 5TU,Programme Class
Department of Education,OFSTED,23/03/2016,Accommodation Service Charge,Property Division,Nottingham City Council,818831,"£72,562.00",Accommodation Rent and Service Charge,NG1 2DE,Programme Class
Department of Education,OFSTED,17/03/2016,Contracted Inspection Costs,ISP Contracts,Prospects Learning Services Lt,818724,"£947,000.00",Inspection Service Provider,BR1 1LT,Programme Class
Department of Education,OFSTED,01/03/2016,Managed Services,Inspection Data & Insight,RM Education,818500,"£33,307.64",ICT Support,OX14 4SB,Programme Class
Department of Education,OFSTED,14/03/2016,Miscellaneous Equipment,Finance and Resources,Specialist Computer Centres,818664,"£498,705.32",IT Hardware,B11 2LE,Admin Class
Department of Education,OFSTED,31/03/2016,Miscellaneous Equipment,Finance and Resources,Specialist Computer Centres,818881,"£40,254.65",IT Hardware,B11 2LE,Admin Class
Department of Education,OFSTED,31/03/2016,Miscellaneous Equipment,Finance and Resources,Specialist Computer Centres,818878,"£36,439.96",IT Hardware,B11 2LE,Admin Class
Department of Education,OFSTED,31/03/2016,Miscellaneous Equipment,Finance and Resources,Specialist Computer Centres,818876,"£36,399.96",IT Hardware,B11 2LE,Admin Class
Department of Education,OFSTED,17/03/2016,Contracted Inspection Costs,Inspection Costs,Tribal Education Ltd,818741,"£2,914,245.00",Inspection Service Provider,S2 4AN,Programme Class
Department of Education,OFSTED,17/03/2016,Contracted Inspection Costs,Inspection Costs,Tribal Education Ltd,702342,"-£72,783.00",Inspection Service Provider,S2 4AN,Programme Class
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
