"November 2015 - Spend over £25,000",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Department,Entity,Date,Expense Type,Expense Area,Supplier,Transaction No,Total Gross Value,Description,Supplier Postcode,Expenditure Type
Department of Education,OFSTED,23/11/2015,Temporary Staff,Finance and Resources,Brook Street (Uk) Ltd,817513,"£37,856.46",Contingent Labour,AL1 4ZX,Admin Class
Department of Education,OFSTED,23/11/2015,Temporary Staff,Finance and Resources,Brook Street (Uk) Ltd,817512,"£28,080.59",Contingent Labour,AL1 4ZX,Admin Class
Department of Education,OFSTED,23/11/2015,Temporary Staff,Finance and Resources,Brook Street (Uk) Ltd,817511,"£27,909.73",Contingent Labour,AL1 4ZX,Admin Class
Department of Education,OFSTED,04/11/2015,Temporary Staff,Finance and Resources,Brook Street (Uk) Ltd,817302,"£27,277.44",Contingent Labour,AL1 4ZX,Admin Class
Department of Education,OFSTED,13/11/2015,ICT Systems,Information Services,CACI Ltd,817442,"£63,432.00",ICT Support,W14 8TS,Admin Class
Department of Education,OFSTED,16/11/2015,ICT Systems,Information Services,CACI Ltd,817448,"£62,220.00",ICT Support,W14 8TS,Admin Class
Department of Education,OFSTED,18/11/2015,Travel,Corporate Transactions,Calder Conferences Ltd,817480,"£48,965.37",Meeting and Conferencing Service,LS16 6RF,Admin Class
Department of Education,OFSTED,10/11/2015,Travel,Corporate Transactions,Calder Conferences Ltd,817393,"£31,354.67",Meeting and Conferencing Service,LS16 6RF,Admin Class
Department of Education,OFSTED,23/11/2015,Managed Services,Information Services,CGI IT UK Ltd,817518,"£283,518.98",ICT Support,RG2 6UA,Admin Class
Department of Education,OFSTED,23/11/2015,Managed Services,Information Services,CGI IT UK Ltd,817517,"£74,284.49",ICT Support,RG2 6UA,Admin Class
Department of Education,OFSTED,02/11/2015,Managed Services,Information Services,CGI IT UK Ltd,817270,"£42,084.76",ICT Support,RG2 6UA,Programme Class
Department of Education,OFSTED,10/11/2015,Corporate Contracts,Corporate Transactions,Enterprise Rent-a-Car,817392,"£45,937.89",Vehicle Hire,TW20 9JY,Admin Class
Department of Education,OFSTED,26/11/2015,Accommodation Service Charge,Finance and Resources,Gva Grimley,817547,"£28,021.88",Accomodation Rent and Service Charge,B1 2JJ,Admin Class
Department of Education,OFSTED,26/11/2015,Accommodation Service Charge,Finance and Resources,Gva Grimley,817548,"£27,727.91",Accomodation Rent and Service Charge,B1 2JJ,Admin Class
Department of Education,OFSTED,26/11/2015,Contracted Inspection Costs,Inspection Costs,Prospects Learning Services Lt,817550,"£947,000.00",Inspection Service Provider,BR1 1LT,Programme Class
Department of Education,OFSTED,27/11/2015,Contracted Inspection Costs,Inspection Costs,Prospects Learning Services Lt,160262,"£43,260.00",Inspection Service Provider,BR1 1LT,Programme Class
Department of Education,OFSTED,09/11/2015,Travel,Corporate Transactions,Redfern Travel Ltd,817312,"£336,909.42",Travel and Overnight Accommodation,BD1 3AZ,Admin Class
Department of Education,OFSTED,02/11/2015,Managed Services,Inspection Data & Insight,RM Education,817281,"£71,076.64",ICT Support,OX14 4SB,Programme Class
Department of Education,OFSTED,30/11/2015,Corporate Transactions,West Midlands,Royal Bank of Scotland,94,"£47,063.40",Corporate Purchasing Card,EC2M 4RB,Programme Class
