October 2015 - Spend Above £25k,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Department,Entity,Date,Expense Type,Expense Area,Supplier,Transaction No,Total Gross Value,Description,Supplier Postcode,Expenditure Type
Department of Education,OFSTED,09/10/2015,Managed Services,Information Services,Bramble.cc Ltd,817066,"£30,888.00",ICT Support,SE1 7SP,Programme Class
Department of Education,OFSTED,27/10/2015,Temporary Staff,Finance and Resources,Brook Street (Uk) Ltd,817231,"£28,645.74",Contingent Labour,AL1 4ZX,Admin Class
Department of Education,OFSTED,20/10/2015,Temporary Staff,Finance and Resources,Brook Street (Uk) Ltd,817162,"£28,533.94",Contingent Labour,AL1 4ZX,Admin Class
Department of Education,OFSTED,13/10/2015,Temporary Staff,Finance and Resources,Brook Street (Uk) Ltd,817105,"£26,588.03",Contingent Labour,AL1 4ZX,Admin Class
Department of Education,OFSTED,01/10/2015,ICT Systems,Information Services,CACI Ltd,816947,"£94,350.00",ICT Support,W14 8TS,Admin Class
Department of Education,OFSTED,01/10/2015,ICT Systems,Information Services,CACI Ltd,816975,"£77,520.00",ICT Support,W14 8TS,Admin Class
Department of Education,OFSTED,07/10/2015,ICT Systems,Information Services,CACI Ltd,817034,"£38,232.00",ICT Support,W14 8TS,Admin Class
Department of Education,OFSTED,01/10/2015,ICT Systems,Information Services,CACI Ltd,816974,"£27,930.00",ICT Support,W14 8TS,Admin Class
Department of Education,OFSTED,01/10/2015,Travel,Corporate Transactions,Calder Conferences Ltd,816978,"£137,499.25",Meeting and Conferencing Service,LS16 6RF,Admin Class
Department of Education,OFSTED,06/10/2015,Travel,Corporate Transactions,Calder Conferences Ltd,817027,"£95,496.67",Meeting and Conferencing Service,LS16 6RF,Admin Class
Department of Education,OFSTED,23/10/2015,Travel,Corporate Transactions,Calder Conferences Ltd,817195,"£34,810.54",Meeting and Conferencing Service,LS16 6RF,Admin Class
Department of Education,OFSTED,28/10/2015,Managed Services,Information Services,CGI IT UK Ltd,817254,"£282,198.67",ICT Support,RG2 6UA,Admin Class
Department of Education,OFSTED,28/10/2015,Managed Services,Information Services,CGI IT UK Ltd,817251,"£75,349.14",ICT Support,RG2 6UA,Admin Class
Department of Education,OFSTED,27/10/2015,Managed Services,Information Services,CGI IT UK Ltd,817233,"£50,535.75",ICT Support,RG2 6UA,Programme Class
Department of Education,OFSTED,07/10/2015,Managed Services,Information Services,CGI IT UK Ltd,817042,"£46,347.60",ICT Support,RG2 6UA,Programme Class
Department of Education,OFSTED,19/10/2015,ICT Systems,Information Services,Cloud Technology Solutions Ltd,817151,"£35,628.00",ICT Support,M2 3AW,Programme Class
Department of Education,OFSTED,22/10/2015,Accommodation Service Charge,Finance and Resources,Food Standards Agency,817186,"£264,662.33",Accomodation Rent and Service Charge,YO1 7PX,Programme Class
Department of Education,OFSTED,26/10/2015,Accommodation Service Charge,Finance and Resources,Food Standards Agency,817218,"£61,332.22",Accomodation Rent and Service Charge,YO1 7PX,Programme Class
Department of Education,OFSTED,20/10/2015,Professional Services Other,HR Organisational Development,Gatenby Sanderson,817156,"£41,730.00",Senior Staff Recruitment,LS1 2HL,Programme Class
Department of Education,OFSTED,09/10/2015,Contracted Inspection Costs,Inspection Costs,Prospects Learning Services Lt,817085,"£947,000.00",Inspection Service Provider,BR1 1LT,Programme Class
Department of Education,OFSTED,16/10/2015,Contracted Inspection Costs,Inspection Costs,Prospects Learning Services Lt,160169,"£110,347.00",Inspection Service Provider,BR1 1LT,Admin Class
Department of Education,OFSTED,06/10/2015,Travel,Corporate Transactions,Redfern Travel Ltd,817026,"£383,856.27",Travel and Overnight Accommodation,BD1 3AZ,Admin Class
Department of Education,OFSTED,30/10/2015,Corporate Transactions,Corporate Transactions,Royal Bank of Scotland,93,"£52,718.99",Corporate Purchasing Card,EC2M 4RB,Programme Class
Department of Education,OFSTED,01/10/2015,Corporate Transactions,Corporate Transactions,Royal Bank of Scotland,92,"£38,691.42",Corporate Purchasing Card,EC2M 4RB,Programme Class
Department of Education,OFSTED,06/10/2015,Contracted Inspection Costs,Inspection Costs,Serco Limited,160154,"£38,877.00",Inspection Service Provider,RG27 7FR,Programme Class
