September 2015 - Spend over £25k,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Department,Entity,Date,Expense Type,Expense Area,Supplier,Transaction No,Total Gross Value,Description,Supplier Postcode,Expenditure Type
Department of Education,OFSTED,07/09/2015,Temporary Staff,Finance and Resources,Brook Street (Uk) Ltd,816688,"£30,157.15",Contingent Labour,AL1 4ZX,Admin Class
Department of Education,OFSTED,07/09/2015,Temporary Staff,Finance and Resources,Brook Street (Uk) Ltd,816687,"£31,306.52",Contingent Labour,AL1 4ZX,Admin Class
Department of Education,OFSTED,25/09/2015,Temporary Staff,Finance and Resources,Brook Street (Uk) Ltd,816921,"£32,507.99",Contingent Labour,AL1 4ZX,Admin Class
Department of Education,OFSTED,21/09/2015,ICT Systems,Information Services,CACI Ltd,816841,"£94,656.00",ICT Support,W14 8TS,Admin Class
Department of Education,OFSTED,15/09/2015,Travel,Corporate Transactions,Calder Conferences Ltd,816770,"£59,578.94",Meeting and Conferencing Service,LS16 6RF,Admin Class
Department of Education,OFSTED,09/09/2015,Professional Services Other,Finance and Resources,Capgemini Uk Plc,816710,"£25,578.00",FOM Project,GU21 6DB,Admin Class
Department of Education,OFSTED,10/09/2015,Contracted Inspection Costs,Inspection Costs,Cfbt,160134,"£27,790.00",Inspection Service Provider,RG1 4BS,Programme Class
Department of Education,OFSTED,10/09/2015,Contracted Inspection Costs,Inspection Costs,Cfbt,160135,"£28,215.00",Inspection Service Provider,RG1 4BS,Programme Class
Department of Education,OFSTED,15/09/2015,Contracted Inspection Costs,Inspection Costs,Cfbt,160138,"£35,297.00",Inspection Service Provider,RG1 4BS,Programme Class
Department of Education,OFSTED,23/09/2015,Managed Services,Information Services,CGI IT UK Ltd,816895,"£29,644.87",ICT Support,RG2 6UA,Programme Class
Department of Education,OFSTED,21/09/2015,Managed Services,Information Services,CGI IT UK Ltd,816847,"£41,606.60",ICT Support,RG2 6UA,Programme Class
Department of Education,OFSTED,23/09/2015,Managed Services,Information Services,CGI IT UK Ltd,816896,"£71,227.80",ICT Support,RG2 6UA,Admin Class
Department of Education,OFSTED,23/09/2015,Managed Services,Information Services,CGI IT UK Ltd,816897,"£281,994.58",ICT Support,RG2 6UA,Admin Class
Department of Education,OFSTED,02/09/2015,Internal Audit,Finance and Resources,Deloitte & Touche LLP,816649,"£39,368.00",Internal Audit Services,MK9 1FD,Admin Class
Department of Education,OFSTED,15/09/2015,Accommodation Service Charge,Finance and Resources,Gva Grimley,816753,"£106,336.72",Accomodation Rent and Service Charge,B1 2JJ,Admin Class
Department of Education,OFSTED,15/09/2015,Accommodation Service Charge,Finance and Resources,Gva Grimley,816752,"£106,822.30",Accomodation Rent and Service Charge,B1 2JJ,Admin Class
Department of Education,OFSTED,01/09/2015,Accommodation Service Charge,Finance and Resources,Highways England Company Ltd,816647,"£31,135.00",Accommodation Rent and Service Charge,B1 1RN,Programme Class
Department of Education,OFSTED,15/09/2015,Professional Services Other,HR Organisational Development,Penna Plc,816776,"£31,262.53",Recruitment,EC4M7RD,Programme Class
Department of Education,OFSTED,09/09/2015,Contracted Inspection Costs,Inspection Costs,Prospects Learning Services Lt,816713,"£29,760.00",Inspection Service Provider,BR1 1LT,Programme Class
Department of Education,OFSTED,02/09/2015,Contracted Inspection Costs,Inspection Costs,Prospects Learning Services Lt,160119,"£88,853.00",Inspection Service Provider,BR1 1LT,Programme Class
Department of Education,OFSTED,09/09/2015,Contracted Inspection Costs,Inspection Costs,Prospects Learning Services Lt,816714,"£988,000.00",Inspection Service Provider,BR1 1LT,Programme Class
Department of Education,OFSTED,15/09/2015,Travel,Corporate Transactions,Redfern Travel Ltd,816772,"£173,794.32",Travel and Overnight Accommodation,BD1 3AZ,Admin Class
Department of Education,OFSTED,29/09/2015,Managed Services,Inspection Data & Insight,RM Education,816933,"£33,307.64",ICT Support,OX14 4SB,Programme Class
Department of Education,OFSTED,18/09/2015,Accommodation Service Charge,Finance and Resources,Think Contracts Limited,816833,"£56,415.58",Accommodation Service Charge,B69 3EG,Admin Class
Department of Education,OFSTED,15/09/2015,Contracted Inspection Costs,Inspection Costs,Tribal Education Ltd,702329,"-£107,184.00",Inspection Service Provider,S2 4AN,Programme Class
Department of Education,OFSTED,15/09/2015,Contracted Inspection Costs,Inspection Costs,Tribal Education Ltd,160136,"£27,888.00",Inspection Service Provider,S2 4AN,Programme Class
Department of Education,OFSTED,09/09/2015,Contracted Inspection Costs,Inspection Costs,Tribal Education Ltd,160128,"£159,541.00",Inspection Service Provider,S2 4AN,Programme Class
Department of Education,OFSTED,15/09/2015,Contracted Inspection Costs,Inspection Costs,Tribal Education Ltd,160137,"£862,567.09",Inspection Service Provider,S2 4AN,Programme Class
Department of Education,OFSTED,15/09/2015,Contracted Inspection Costs,Inspection Costs,Tribal Education Ltd,160140,"£2,914,245.00",Inspection Service Provider,S2 4AN,Programme Class
Department of Education,OFSTED,28/09/2015,Accommodation Service Charge,Finance and Resources,Workman LLP,160147,"£163,588.20",Accomodation Rent and Service Charge,EC2v 6EE,Admin Class
