December 2014 - Above £25k Spend Report,,,,,,,,,,,
,,,,,,,,,,,
Department,Entity,Date,Expense Type,Expense Area,Supplier,Transaction No,Amount,Description,Supplier Postcode,Expenditure Type,
Department of Education,OFSTED,08/12/2014,Travel,Corporate Transactions,Calder Conferences Ltd,812844,"£28,397.97",Meeting and Conferencing Service,LS16 6RF,Admin Class,
Department of Education,OFSTED,19/12/2014,Contracted Inspection Costs,Inspection Costs,Cfbt,159798,"£650,462.50",Inspection Service Provider,RG1 4BS,Programme Class,
Department of Education,OFSTED,19/12/2014,Contracted Inspection Costs,Inspection Costs,Cfbt,159800,"£407,477.50",Inspection Service Provider,RG1 4BS,Programme Class,
Department of Education,OFSTED,08/12/2014,Contracted Inspection Costs,Inspection Costs,Cfbt,812842,"£309,521.83",Inspection Service Provider,RG1 4BS,Programme Class,
Department of Education,OFSTED,30/12/2014,Managed Services,Information Services,CGI IT UK Ltd,813118,"£337,476.85",ICT Support,RG2 6UA,Admin Class,
Department of Education,OFSTED,01/12/2014,Managed Services,Information Services,CGI IT UK Ltd,812717,"£333,814.09",ICT Support,RG2 6UA,Admin Class,
Department of Education,OFSTED,01/12/2014,Managed Services,Information Services,CGI IT UK Ltd,812713,"£53,447.54",ICT Support,RG2 6UA,Admin Class,
Department of Education,OFSTED,01/12/2014,Corporate Transactions,Corporate Transactions,Company Barclaycard,78,"£60,357.88",Corporate Purchasing Card,TS17 6YG,Programme Class,
Department of Education,OFSTED,02/12/2014,Legal,Performance & Projects,DLA Piper UK LLP,812761,"£32,314.30",Commercial Legal Support,EC2V 7EE,Admin Class,
Department of Education,OFSTED,10/12/2014,Corporate Contracts,Corporate Transactions,Enterprise Rent-a-Car,812887,"£45,857.08",Vehicle Hire,TW20 9JY,Admin Class,
Department of Education,OFSTED,10/12/2014,Accommodation Service Charge,Finance and Resources,F And C Property Asset Mgmt,812883,"£55,233.23",Accomodation Rent and Service Charge,RH4 1QP,Admin Class,
Department of Education,OFSTED,10/12/2014,Accommodation Service Charge,Finance and Resources,F And C Property Asset Mgmt,812882,"£55,168.75",Accomodation Rent and Service Charge,RH4 1QP,Admin Class,
Department of Education,OFSTED,10/12/2014,Accommodation Service Charge,Finance and Resources,F And C Property Asset Mgmt,812884,"£53,466.94",Accomodation Rent and Service Charge,RH4 1QP,Admin Class,
Department of Education,OFSTED,10/12/2014,Accommodation Service Charge,Finance and Resources,F And C Property Asset Mgmt,812881,"£42,153.88",Accomodation Rent and Service Charge,RH4 1QP,Admin Class,
Department of Education,OFSTED,01/12/2014,Accommodation Service Charge,Property Division,Food Standards Agency,812699,"£265,634.77",Accomodation Rent and Service Charge,YO1 7PX,Admin Class,
Department of Education,OFSTED,01/12/2014,Accommodation Service Charge,Property Division,Food Standards Agency,812668,"£64,540.18",Accomodation Rent and Service Charge,YO1 7PX,Admin Class,
Department of Education,OFSTED,15/12/2014,Contracted Inspection Costs,Inspection Costs,Prospects Learning Services Lt,812941,"£984,560.00",Inspection Service Provider,BR1 1LT,Programme Class,
Department of Education,OFSTED,10/12/2014,Travel,Corporate Transactions,Redfern Travel Ltd,812886,"£371,472.02",Travel and Overnight Accommodation,BD1 3AZ,Admin Class,
Department of Education,OFSTED,02/12/2014,Managed Services,Inspection Data & Insight,RM Education,812759,"£33,307.64",ICT Support,OX14 4SB,Programme Class,
Department of Education,OFSTED,19/12/2014,Contracted Inspection Costs,Inspection Costs,Serco Limited,159801,"£1,966,464.21",Inspection Service Provider,RG27 7FR,Balance Sheet Class,
Department of Education,OFSTED,19/12/2014,Contracted Inspection Costs,Inspection Costs,Serco Limited,159802,"£585,328.18",Inspection Service Provider,RG27 7FR,Programme Class,
Department of Education,OFSTED,19/12/2014,Contracted Inspection Costs,Inspection Costs,Serco Limited,159803,"-£284,230.62",Inspection Service Provider,RG27 7FR,Programme Class,
Department of Education,OFSTED,15/12/2014,Contracted Inspection Costs,Inspection Costs,Tribal Education Ltd,812952,"£2,819,845.66",Inspection Service Provider,S2 4AN,Programme Class,
Department of Education,OFSTED,15/12/2014,Contracted Inspection Costs,Inspection Costs,Tribal Education Ltd,550945,"£2,602,544.96",Inspection Service Provider,S2 4AN,Balance Sheet Class,
Department of Education,OFSTED,15/12/2014,Contracted Inspection Costs,Inspection Costs,Tribal Education Ltd,812953,"£1,013,085.68",Inspection Service Provider,S2 4AN,Programme Class,
Department of Education,OFSTED,15/12/2014,Contracted Inspection Costs,Inspection Costs,Tribal Education Ltd,159744,"£154,348.00",Inspection Service Provider,S2 4AN,Programme Class,
Department of Education,OFSTED,15/12/2014,Contracted Inspection Costs,Inspection Costs,Tribal Education Ltd,702307,"-£862,202.81",Inspection Service Provider,S2 4AN,Programme Class,
Department of Education,OFSTED,15/12/2014,Contracted Inspection Costs,Inspection Costs,Tribal Education Ltd,702303,"-£922,896.00",Inspection Service Provider,S2 4AN,Programme Class,
Department of Education,OFSTED,08/12/2014,ICT Systems,Information Services,Viglen Ltd,812829,"£43,423.96",IS Development,AL2 2DQ,Admin Class,
Department of Education,OFSTED,08/12/2014,ICT Systems,Information Services,Viglen Ltd,812830,"£25,420.24",IS Development,AL2 2DQ,Admin Class,
Department of Education,OFSTED,12/12/2014,Accommodation Service Charge,Finance and Resources,Workman LLP,812926,"£163,588.20",Accomodation Rent and Service Charge,EC2v 6EE,Admin Class,
