April 2015 - Consolidated Transaction Spend,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Department,Entity,Date,Expense Type,Expense Area,Supplier,Supplier Code,Cost Centre,Transaction No,Total Gross Value,Description,Supplier Postcode,Supplier Type,Expenditure Type,Document
Department of Education,OFSTED,01/04/2015,Accommodation Service Charge,Finance and Resources,Amas Ltd,T002255,532,814683,"£176,026.20",Accomodation Rent and Service Charge,E14 5WQ,,Programme Class,IMPINMAN
Department of Education,OFSTED,01/04/2015,Legal,Finance and Resources,Beachcroft LLp,T004789,478B,814854,"£28,224.00",Legal Services,BS99 7UR,,Admin Class,IMPINMAN
Department of Education,OFSTED,09/04/2015,Managed Services,Information Services,Big Blue Door,T007072,526,814954,"£26,250.00",ICT Support,LE1 1TG,SME,Admin Class,IMPINMAN
Department of Education,OFSTED,02/04/2015,Managed Services,Information Services,Bramble.cc Ltd,T007173,133G,814894,"£26,770.00",ICT Support,SE1 7SP,SME,Programme Class,IMPINMAN
Department of Education,OFSTED,02/04/2015,Managed Services,Information Services,Bramble.cc Ltd,T007173,133G,814897,"£44,330.00",ICT Support,SE1 7SP,SME,Programme Class,IMPINMAN
Department of Education,OFSTED,01/04/2015,Temporary Staff,Finance and Resources,Brook Street (Uk) Ltd,T001431,155,814620,"£26,110.10",Contingent Labour,AL1 4ZX,LE,Admin Class,IMPINMAN
Department of Education,OFSTED,01/04/2015,Temporary Staff,Finance and Resources,Brook Street (Uk) Ltd,T001431,155,814623,"£25,722.53",Contingent Labour,AL1 4ZX,LE,Admin Class,IMPINMAN
Department of Education,OFSTED,07/04/2015,Temporary Staff,Finance and Resources,Brook Street (Uk) Ltd,T001431,155,814909,"£25,527.52",Contingent Labour,AL1 4ZX,LE,Admin Class,IMPINMAN
Department of Education,OFSTED,01/04/2015,ICT Systems,Information Services,CACI Ltd,T007886,103C,814772,"£120,686.40",ICT Support,W14 8TS,LE,Programme Class,IMPINMAN
Department of Education,OFSTED,01/04/2015,ICT Systems,Information Services,CACI Ltd,T007886,103C,814773,"£166,668.00",ICT Support,W14 8TS,LE,Programme Class,IMPINMAN
Department of Education,OFSTED,01/04/2015,ICT Systems,Information Services,CACI Ltd,T007886,103C,814774,"£36,000.00",ICT Support,W14 8TS,LE,Programme Class,IMPINMAN
Department of Education,OFSTED,29/04/2015,ICT Systems,Information Services,CACI Ltd,T007886,103C,815202,"£46,728.00",ICT Support,W14 8TS,LE,Programme Class,IMPINMAN
Department of Education,OFSTED,14/04/2015,Travel,Corporate Transactions,Calder Conferences Ltd,T007370,155,815022,"£35,720.42",Meeting and Conferencing Service,LS16 6RF,SME,Admin Class,IMPINMAN
Department of Education,OFSTED,28/04/2015,Professional Services Other,Finance and Resources,Capgemini Uk Plc,T001467,103C,815173,"£35,000.00",FOM Project,GU21 6DB,,Admin Class,IMPINMAN
Department of Education,OFSTED,28/04/2015,Professional Services Other,Finance and Resources,Capgemini Uk Plc,T001467,103C,815175,"£39,883.00",FOM Project,GU21 6DB,,Admin Class,IMPINMAN
Department of Education,OFSTED,28/04/2015,Professional Services Other,Finance and Resources,Capgemini Uk Plc,T001467,103C,815176,"£55,138.00",FOM Project,GU21 6DB,,Admin Class,IMPINMAN
Department of Education,OFSTED,15/04/2015,Temporary Staff,Finance and Resources,Capita Business Services Ltd.,T001521,155,815053,"£30,227.80",Contingent Labour,DL1 9HN,,Admin Class,IMPINMAN
Department of Education,OFSTED,09/04/2015,Contracted Inspection Costs,Inspection Costs,Cfbt,T001471,546,159931,"£37,650.00",Inspection Service Provider,RG1 4BS,TS,Programme Class,PINMAN
Department of Education,OFSTED,21/04/2015,Contracted Inspection Costs,Inspection Costs,Cfbt,T001471,546,159958,"£42,125.00",Inspection Service Provider,RG1 4BS,TS,Programme Class,PINMAN
Department of Education,OFSTED,28/04/2015,Contracted Inspection Costs,Inspection Costs,Cfbt,T001471,531,159968,"£647,060.00",Inspection Service Provider,RG1 4BS,TS,Programme Class,PINMAN
