Spend over £25k - December 2016,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Department,Entity,Date,Expense Type,Expense Area,Supplier,Transaction No,Total Gross Value,Description,Supplier Postcode,Expenditure Type
Department of Education,OFSTED,09/12/2016,Contracted Inspection Costs,ISP Contracts,Tribal Education Ltd,821590,"£2,560,590.00",Inspection Services,S2 4AN,Programme Class
Department of Education,OFSTED,29/12/2016,Contracted Inspection Costs,ISP Contracts,Prospects Learning Services Lt,821769,"£870,000.00",Inspection Services,BR1 1LT,Programme Class
Department of Education,OFSTED,09/12/2016,Contracted Inspection Costs,ISP Contracts,Tribal Education Ltd,161098,"£663,542.42",Inspection Services,S2 4AN,Programme Class
Department of Education,OFSTED,05/12/2016,Travel,Finance and Resources,Redfern Travel Ltd,821504,"£462,729.36",Travel and Overnight Accommodation,BD1 3AZ,Admin Class
Department of Education,OFSTED,22/12/2016,Managed Services,Information Services,CGI IT UK Ltd,821761,"£277,734.08",ICT Support,RG2 6UA,Admin Class
Department of Education,OFSTED,14/12/2016,Managed Services,Information Services,Bytes Software Services Ltd,821629,"£141,847.20",ICT Support,KT22 7TW,Admin Class
Department of Education,OFSTED,07/12/2016,Managed Services,Information Services,CACI Ltd,821531,"£129,900.00",ICT Support,W14 8TS,Programme Class
Department of Education,OFSTED,05/12/2016,Accommodation Service Charge,Finance and Resources,Gva Grimley,821492,"£123,164.98",Accommodation Rent and Service Charge,B1 2JJ,Admin Class
Department of Education,OFSTED,05/12/2016,Accommodation Service Charge,Finance and Resources,Gva Grimley,821491,"£122,595.12",Accommodation Rent and Service Charge,B1 2JJ,Admin Class
Department of Education,OFSTED,07/12/2016,Managed Services,Information Services,CACI Ltd,821533,"£72,522.00",ICT Support,W14 8TS,Programme Class
Department of Education,OFSTED,06/12/2016,Managed Services,Information Services,CACI Ltd,821518,"£66,810.00",ICT Support,W14 8TS,Programme Class
Department of Education,OFSTED,22/12/2016,Managed Services,Information Services,CGI IT UK Ltd,821748,"£64,974.55",ICT Support,RG2 6UA,Admin Class
Department of Education,OFSTED,23/12/2016,Managed Services,Inspection Data & Insight,RM Education,821785,"£62,971.72",ICT Support,OX14 4SB,Programme Class
Department of Education,OFSTED,02/12/2016,Temporary Staff,Finance and Resources,Brook Street (Uk) Ltd,821483,"£39,832.82",Contingent Labour,AL1 4ZX,Admin Class
Department of Education,OFSTED,23/12/2016,Temporary Staff,Finance and Resources,Brook Street (Uk) Ltd,821781,"£37,995.91",Contingent Labour,AL1 4ZX,Admin Class
Department of Education,OFSTED,01/12/2016,Corporate Contracts,Finance and Resources,Enterprise Rent-a-Car,821466,"£37,723.13",Vehicle Hire,TW20 9JY,Admin Class
Department of Education,OFSTED,16/12/2016,Temporary Staff,Finance and Resources,Brook Street (Uk) Ltd,821671,"£37,614.93",Contingent Labour,AL1 4ZX,Admin Class
Department of Education,OFSTED,12/12/2016,Temporary Staff,Finance and Resources,Brook Street (Uk) Ltd,821602,"£34,570.42",Contingent Labour,AL1 4ZX,Admin Class
Department of Education,OFSTED,13/12/2016,Travel,Corporate Transactions,Calder Conferences Ltd,821605,"£32,290.98",Accommodation,LS16 6RF,Programme Class
Department of Education,OFSTED,12/12/2016,Managed Services,Information Services,Bytes Software Services Ltd,821596,"£26,848.80",ICT Support,KT22 7TW,Admin Class
