January 2015 - Spend Above £25k,,,,,,,,,,,
,,,,,,,,,,,
Department,Entity,Date,Expense Type,Expense Area,Supplier,Transaction No,Amount,Description,Supplier Postcode,Expenditure Type,Document
Department of Education,OFSTED,29/01/2015,Legal Fees,Finance and resources,Beachcroft LLp,813667,"£65,350.60",Legal Services,BS99 7UR,Admin Class,IMPINMAN
Department of Education,OFSTED,16/01/2015,ICT Systems,Information Services,CACI Ltd,813416,"£225,000.00",ICT Support,W14 8TS,Admin Class,IMPINMAN
Department of Education,OFSTED,26/01/2015,Travel,Corporate Transactions,Calder Conferences Ltd,813580,"£51,160.68",Meeting and Conferencing Service,LS16 6RF,Admin Class,IMPINMAN
Department of Education,OFSTED,08/01/2015,Travel,Corporate Transactions,Calder Conferences Ltd,813217,"£32,982.97",Meeting and Conferencing Service,LS16 6RF,Admin Class,IMPINMAN
Department of Education,OFSTED,28/01/2015,Contracted Inspection Costs,Inspection Costs,Cfbt,159843,"£752,327.00",Inspection Service Provider,RG1 4BS,Programme Class,PINMAN
Department of Education,OFSTED,09/01/2015,Contracted Inspection Costs,Inspection Costs,Cfbt,813250,"£309,521.83",Inspection Service Provider,RG1 4BS,Programme Class,IMPINMAN
Department of Education,OFSTED,28/01/2015,Contracted Inspection Costs,Inspection Costs,Cfbt,813636,"£309,521.83",Inspection Service Provider,RG1 4BS,Programme Class,IMPINMAN
Department of Education,OFSTED,05/01/2015,Managed Services,Information Services,CGI IT UK Ltd,813156,"£53,447.54",ICT Support,RG2 6UA,Admin Class,IMPINMAN
Department of Education,OFSTED,07/01/2015,Managed Services,Information Services,CGI IT UK Ltd,813190,"£28,541.47",ICT Support,RG2 6UA,Programme Class,IMPINMAN
Department of Education,OFSTED,05/01/2015,Corporate Transactions,Corporate Transactions,Company Barclaycard,79,"£40,537.67",Corporate Purchasing Card,TS17 6YG,Admin Class,PINCARD
Department of Education,OFSTED,16/01/2015,Corporate Contracts,Corporate Transactions,Enterprise Rent-a-Car,813418,"£40,025.05",Vehicle Hire,TW20 9JY,Admin Class,IMPINMAN
Department of Education,OFSTED,12/01/2015,Accommodation Service Charge,Property Division,Food Standards Agency,813306,"£266,906.87",Accomodation Rent and Service Charge,YO1 7PX,Admin Class,IMPINMAN
Department of Education,OFSTED,26/01/2015,Accommodation Service Charge,Property Division,Food Standards Agency,813571,"£61,320.88",Accomodation Rent and Service Charge,YO1 7PX,Admin Class,IMPINMAN
Department of Education,OFSTED,13/01/2015,Professional Services Other,HR Organisational Development,Gatenby Sanderson,813316,"£27,414.10",Senior Staff Recruitment,LS1 2HL,Admin Class,IMPINMAN
Department of Education,OFSTED,22/01/2015,Accommodation Service Charge,Finance and Resources,Gva Grimley,813514,"£106,251.41",Accomodation Rent and Service Charge,B1 2JJ,Admin Class,IMPINMAN
Department of Education,OFSTED,06/01/2015,Accommodation Service Charge,Finance and Resources,Gva Grimley,812714,"£105,117.97",Accomodation Rent and Service Charge,B1 2JJ,Admin Class,IMPINMAN
Department of Education,OFSTED,06/01/2015,Contracted Inspection Costs,Inspection Costs,Prospects Learning Services Lt,813189,"£984,560.00",Inspection Service Provider,BR1 1LT,Programme Class,IMPINMAN
Department of Education,OFSTED,06/01/2015,Contracted Inspection Costs,Inspection Costs,Prospects Learning Services Lt,159807,"£65,354.00",Inspection Service Provider,BR1 1LT,Programme Class,PINMAN
Department of Education,OFSTED,16/01/2015,Travel,Corporate Transactions,Redfern Travel Ltd,813394,"£289,837.60",Travel and Overnight Accommodation,BD1 3AZ,Admin Class,IMPINMAN
Department of Education,OFSTED,06/01/2015,Managed Services,Inspection Data & Insight,RM Education,813186,"£95,517.14",ICT Support,OX14 4SB,Programme Class,IMPINMAN
Department of Education,OFSTED,27/01/2015,Managed Services,Inspection Data & Insight,RM Education,813592,"£33,307.64",ICT Support,OX14 4SB,Programme Class,IMPINMAN
